技能id,等级,需要材料,需要银币,需求等级,
55,3,31=3,1000,10,1000
55,4,31=4,2000,15,2000
55,5,31=5,4000,20,4000
55,6,32=6,8000,25,8000
55,7,32=8,10000,30,10000
55,8,32=10,12000,35,12000
55,9,32=12,14000,40,14000
55,10,32=14,16000,45,16000
55,11,33=17,32000,50,32000
55,12,33=20,36000,55,36000
55,13,33=23,40000,60,40000
55,14,33=26,44000,65,44000
55,15,33=30,48000,70,48000
55,16,34=34,96000,75,96000
55,17,34=38,104000,80,104000
55,18,34=42,112000,85,112000
55,19,34=46,120000,90,120000
55,20,34=50,128000,95,128000
56,1,31=1,0,0,0
56,2,31=2,500,6,500
56,3,31=3,1000,10,1000
56,4,31=4,2000,15,2000
56,5,31=5,4000,20,4000
56,6,32=6,8000,25,8000
56,7,32=8,10000,30,10000
56,8,32=10,12000,35,12000
56,9,32=12,14000,40,14000
56,10,32=14,16000,45,16000
56,11,33=17,32000,50,32000
56,12,33=20,36000,55,36000
56,13,33=23,40000,60,40000
56,14,33=26,44000,65,44000
56,15,33=30,48000,70,48000
56,16,34=34,96000,75,96000
56,17,34=38,104000,80,104000
56,18,34=42,112000,85,112000
56,19,34=46,120000,90,120000
56,20,34=50,128000,95,128000
57,1,31=1,0,0,0
57,2,31=2,500,6,500
57,3,31=3,1000,10,1000
57,4,31=4,2000,15,2000
57,5,31=5,4000,20,4000
57,6,32=6,8000,25,8000
57,7,32=8,10000,30,10000
57,8,32=10,12000,35,12000
57,9,32=12,14000,40,14000
57,10,32=14,16000,45,16000
57,11,33=17,32000,50,32000
57,12,33=20,36000,55,36000
57,13,33=23,40000,60,40000
57,14,33=26,44000,65,44000
57,15,33=30,48000,70,48000
57,16,34=34,96000,75,96000
57,17,34=38,104000,80,104000
57,18,34=42,112000,85,112000
57,19,34=46,120000,90,120000
57,20,34=50,128000,95,128000
58,1,31=1,0,0,0
58,2,31=2,500,6,500
58,3,31=3,1000,10,1000
58,4,31=4,2000,15,2000
58,5,31=5,4000,20,4000
58,6,32=6,8000,25,8000
58,7,32=8,10000,30,10000
58,8,32=10,12000,35,12000
58,9,32=12,14000,40,14000
58,10,32=14,16000,45,16000
58,11,33=17,32000,50,32000
58,12,33=20,36000,55,36000
58,13,33=23,40000,60,40000
58,14,33=26,44000,65,44000
58,15,33=30,48000,70,48000
58,16,34=34,96000,75,96000
58,17,34=38,104000,80,104000
58,18,34=42,112000,85,112000
58,19,34=46,120000,90,120000
58,20,34=50,128000,95,128000
59,1,31=1,0,0,0
59,2,31=2,500,6,500
59,3,31=3,1000,10,1000
59,4,31=4,2000,15,2000
59,5,31=5,4000,20,4000
59,6,32=6,8000,25,8000
59,7,32=8,10000,30,10000
59,8,32=10,12000,35,12000
59,9,32=12,14000,40,14000
59,10,32=14,16000,45,16000
59,11,33=17,32000,50,32000
59,12,33=20,36000,55,36000
59,13,33=23,40000,60,40000
59,14,33=26,44000,65,44000
59,15,33=30,48000,70,48000
59,16,34=34,96000,75,96000
59,17,34=38,104000,80,104000
59,18,34=42,112000,85,112000
59,19,34=46,120000,90,120000
59,20,34=50,128000,95,128000
60,1,31=1,0,0,0
60,2,31=2,500,6,500
60,3,31=3,1000,10,1000
60,4,31=4,2000,15,2000
60,5,31=5,4000,20,4000
60,6,32=6,8000,25,8000
60,7,32=8,10000,30,10000
60,8,32=10,12000,35,12000
60,9,32=12,14000,40,14000
60,10,32=14,16000,45,16000
60,11,33=17,32000,50,32000
60,12,33=20,36000,55,36000
60,13,33=23,40000,60,40000
60,14,33=26,44000,65,44000
60,15,33=30,48000,70,48000
60,16,34=34,96000,75,96000
60,17,34=38,104000,80,104000
60,18,34=42,112000,85,112000
60,19,34=46,120000,90,120000
60,20,34=50,128000,95,128000
61,1,31=1,0,0,0
61,2,31=2,500,6,500
61,3,31=3,1000,10,1000
61,4,31=4,2000,15,2000
61,5,31=5,4000,20,4000
61,6,32=6,8000,25,8000
61,7,32=8,10000,30,10000
61,8,32=10,12000,35,12000
61,9,32=12,14000,40,14000
61,10,32=14,16000,45,16000
61,11,33=17,32000,50,32000
61,12,33=20,36000,55,36000
61,13,33=23,40000,60,40000
61,14,33=26,44000,65,44000
61,15,33=30,48000,70,48000
61,16,34=34,96000,75,96000
61,17,34=38,104000,80,104000
61,18,34=42,112000,85,112000
61,19,34=46,120000,90,120000
61,20,34=50,128000,95,128000
62,1,31=1,0,0,0
62,2,31=2,500,6,500
62,3,31=3,1000,10,1000
62,4,31=4,2000,15,2000
62,5,31=5,4000,20,4000
62,6,32=6,8000,25,8000
62,7,32=8,10000,30,10000
62,8,32=10,12000,35,12000
62,9,32=12,14000,40,14000
62,10,32=14,16000,45,16000
62,11,33=17,32000,50,32000
62,12,33=20,36000,55,36000
62,13,33=23,40000,60,40000
62,14,33=26,44000,65,44000
62,15,33=30,48000,70,48000
62,16,34=34,96000,75,96000
62,17,34=38,104000,80,104000
62,18,34=42,112000,85,112000
62,19,34=46,120000,90,120000
62,20,34=50,128000,95,128000
63,1,31=1,0,0,0
63,2,31=2,500,6,500
63,3,31=3,1000,10,1000
63,4,31=4,2000,15,2000
63,5,31=5,4000,20,4000
63,6,32=6,8000,25,8000
63,7,32=8,10000,30,10000
63,8,32=10,12000,35,12000
63,9,32=12,14000,40,14000
63,10,32=14,16000,45,16000
63,11,33=17,32000,50,32000
63,12,33=20,36000,55,36000
63,13,33=23,40000,60,40000
63,14,33=26,44000,65,44000
63,15,33=30,48000,70,48000
63,16,34=34,96000,75,96000
63,17,34=38,104000,80,104000
63,18,34=42,112000,85,112000
63,19,34=46,120000,90,120000
63,20,34=50,128000,95,128000
64,1,31=1,0,0,0
64,2,31=2,500,6,500
64,3,31=3,1000,10,1000
64,4,31=4,2000,15,2000
64,5,31=5,4000,20,4000
64,6,32=6,8000,25,8000
64,7,32=8,10000,30,10000
64,8,32=10,12000,35,12000
64,9,32=12,14000,40,14000
64,10,32=14,16000,45,16000
64,11,33=17,32000,50,32000
64,12,33=20,36000,55,36000
64,13,33=23,40000,60,40000
64,14,33=26,44000,65,44000
64,15,33=30,48000,70,48000
64,16,34=34,96000,75,96000
64,17,34=38,104000,80,104000
64,18,34=42,112000,85,112000
64,19,34=46,120000,90,120000
64,20,34=50,128000,95,128000
65,1,31=1,0,0,0
65,2,31=2,500,6,500
65,3,31=3,1000,10,1000
65,4,31=4,2000,15,2000
65,5,31=5,4000,20,4000
65,6,32=6,8000,25,8000
65,7,32=8,10000,30,10000
65,8,32=10,12000,35,12000
65,9,32=12,14000,40,14000
65,10,32=14,16000,45,16000
65,11,33=17,32000,50,32000
65,12,33=20,36000,55,36000
65,13,33=23,40000,60,40000
65,14,33=26,44000,65,44000
65,15,33=30,48000,70,48000
65,16,34=34,96000,75,96000
65,17,34=38,104000,80,104000
65,18,34=42,112000,85,112000
65,19,34=46,120000,90,120000
65,20,34=50,128000,95,128000
66,1,31=1,0,0,0
66,2,31=2,500,6,500
66,3,31=3,1000,10,1000
66,4,31=4,2000,15,2000
66,5,31=5,4000,20,4000
66,6,32=6,8000,25,8000
66,7,32=8,10000,30,10000
66,8,32=10,12000,35,12000
66,9,32=12,14000,40,14000
66,10,32=14,16000,45,16000
66,11,33=17,32000,50,32000
66,12,33=20,36000,55,36000
66,13,33=23,40000,60,40000
66,14,33=26,44000,65,44000
66,15,33=30,48000,70,48000
66,16,34=34,96000,75,96000
66,17,34=38,104000,80,104000
66,18,34=42,112000,85,112000
66,19,34=46,120000,90,120000
66,20,34=50,128000,95,128000
67,1,31=1,0,0,0
67,2,31=2,500,6,500
67,3,31=3,1000,10,1000
67,4,31=4,2000,15,2000
67,5,31=5,4000,20,4000
67,6,32=6,8000,25,8000
67,7,32=8,10000,30,10000
67,8,32=10,12000,35,12000
67,9,32=12,14000,40,14000
67,10,32=14,16000,45,16000
67,11,33=17,32000,50,32000
67,12,33=20,36000,55,36000
67,13,33=23,40000,60,40000
67,14,33=26,44000,65,44000
67,15,33=30,48000,70,48000
67,16,34=34,96000,75,96000
67,17,34=38,104000,80,104000
67,18,34=42,112000,85,112000
67,19,34=46,120000,90,120000
67,20,34=50,128000,95,128000
68,1,31=1,0,0,0
68,2,31=2,500,6,500
68,3,31=3,1000,10,1000
68,4,31=4,2000,15,2000
68,5,31=5,4000,20,4000
68,6,32=6,8000,25,8000
68,7,32=8,10000,30,10000
68,8,32=10,12000,35,12000
68,9,32=12,14000,40,14000
68,10,32=14,16000,45,16000
68,11,33=17,32000,50,32000
68,12,33=20,36000,55,36000
68,13,33=23,40000,60,40000
68,14,33=26,44000,65,44000
68,15,33=30,48000,70,48000
68,16,34=34,96000,75,96000
68,17,34=38,104000,80,104000
68,18,34=42,112000,85,112000
68,19,34=46,120000,90,120000
68,20,34=50,128000,95,128000
69,1,31=1,0,0,0
69,2,31=2,500,6,500
69,3,31=3,1000,10,1000
69,4,31=4,2000,15,2000
69,5,31=5,4000,20,4000
69,6,32=6,8000,25,8000
69,7,32=8,10000,30,10000
69,8,32=10,12000,35,12000
69,9,32=12,14000,40,14000
69,10,32=14,16000,45,16000
69,11,33=17,32000,50,32000
69,12,33=20,36000,55,36000
69,13,33=23,40000,60,40000
69,14,33=26,44000,65,44000
69,15,33=30,48000,70,48000
69,16,34=34,96000,75,96000
69,17,34=38,104000,80,104000
69,18,34=42,112000,85,112000
69,19,34=46,120000,90,120000
69,20,34=50,128000,95,128000
70,1,31=1,0,0,0
70,2,31=2,500,6,500
70,3,31=3,1000,10,1000
70,4,31=4,2000,15,2000
70,5,31=5,4000,20,4000
70,6,32=6,8000,25,8000
70,7,32=8,10000,30,10000
70,8,32=10,12000,35,12000
70,9,32=12,14000,40,14000
70,10,32=14,16000,45,16000
70,11,33=17,32000,50,32000
70,12,33=20,36000,55,36000
70,13,33=23,40000,60,40000
70,14,33=26,44000,65,44000
70,15,33=30,48000,70,48000
70,16,34=34,96000,75,96000
70,17,34=38,104000,80,104000
70,18,34=42,112000,85,112000
70,19,34=46,120000,90,120000
70,20,34=50,128000,95,128000
71,1,31=1,0,0,0
71,2,31=2,500,6,500
71,3,31=3,1000,10,1000
71,4,31=4,2000,15,2000
71,5,31=5,4000,20,4000
71,6,32=6,8000,25,8000
71,7,32=8,10000,30,10000
71,8,32=10,12000,35,12000
71,9,32=12,14000,40,14000
71,10,32=14,16000,45,16000
71,11,33=17,32000,50,32000
71,12,33=20,36000,55,36000
71,13,33=23,40000,60,40000
71,14,33=26,44000,65,44000
71,15,33=30,48000,70,48000
71,16,34=34,96000,75,96000
71,17,34=38,104000,80,104000
71,18,34=42,112000,85,112000
71,19,34=46,120000,90,120000
71,20,34=50,128000,95,128000
72,1,31=1,0,0,0
72,2,31=2,500,6,500
72,3,31=3,1000,10,1000
72,4,31=4,2000,15,2000
72,5,31=5,4000,20,4000
72,6,32=6,8000,25,8000
72,7,32=8,10000,30,10000
72,8,32=10,12000,35,12000
72,9,32=12,14000,40,14000
72,10,32=14,16000,45,16000
72,11,33=17,32000,50,32000
72,12,33=20,36000,55,36000
72,13,33=23,40000,60,40000
72,14,33=26,44000,65,44000
72,15,33=30,48000,70,48000
72,16,34=34,96000,75,96000
72,17,34=38,104000,80,104000
72,18,34=42,112000,85,112000
72,19,34=46,120000,90,120000
72,20,34=50,128000,95,128000
73,1,31=1,0,0,0
73,2,31=2,500,6,500
73,3,31=3,1000,10,1000
73,4,31=4,2000,15,2000
73,5,31=5,4000,20,4000
73,6,32=6,8000,25,8000
73,7,32=8,10000,30,10000
73,8,32=10,12000,35,12000
73,9,32=12,14000,40,14000
73,10,32=14,16000,45,16000
73,11,33=17,32000,50,32000
73,12,33=20,36000,55,36000
73,13,33=23,40000,60,40000
73,14,33=26,44000,65,44000
73,15,33=30,48000,70,48000
73,16,34=34,96000,75,96000
73,17,34=38,104000,80,104000
73,18,34=42,112000,85,112000
73,19,34=46,120000,90,120000
73,20,34=50,128000,95,128000
74,1,31=1,0,0,0
74,2,31=2,500,6,500
74,3,31=3,1000,10,1000
74,4,31=4,2000,15,2000
74,5,31=5,4000,20,4000
74,6,32=6,8000,25,8000
74,7,32=8,10000,30,10000
74,8,32=10,12000,35,12000
74,9,32=12,14000,40,14000
74,10,32=14,16000,45,16000
74,11,33=17,32000,50,32000
74,12,33=20,36000,55,36000
74,13,33=23,40000,60,40000
74,14,33=26,44000,65,44000
74,15,33=30,48000,70,48000
74,16,34=34,96000,75,96000
74,17,34=38,104000,80,104000
74,18,34=42,112000,85,112000
74,19,34=46,120000,90,120000
74,20,34=50,128000,95,128000
75,1,31=1,0,0,0
75,2,31=2,500,6,500
75,3,31=3,1000,10,1000
75,4,31=4,2000,15,2000
75,5,31=5,4000,20,4000
75,6,32=6,8000,25,8000
75,7,32=8,10000,30,10000
75,8,32=10,12000,35,12000
75,9,32=12,14000,40,14000
75,10,32=14,16000,45,16000
75,11,33=17,32000,50,32000
75,12,33=20,36000,55,36000
75,13,33=23,40000,60,40000
75,14,33=26,44000,65,44000
75,15,33=30,48000,70,48000
75,16,34=34,96000,75,96000
75,17,34=38,104000,80,104000
75,18,34=42,112000,85,112000
75,19,34=46,120000,90,120000
75,20,34=50,128000,95,128000
76,1,31=1,0,0,0
76,2,31=2,500,6,500
76,3,31=3,1000,10,1000
76,4,31=4,2000,15,2000
76,5,31=5,4000,20,4000
76,6,32=6,8000,25,8000
76,7,32=8,10000,30,10000
76,8,32=10,12000,35,12000
76,9,32=12,14000,40,14000
76,10,32=14,16000,45,16000
76,11,33=17,32000,50,32000
76,12,33=20,36000,55,36000
76,13,33=23,40000,60,40000
76,14,33=26,44000,65,44000
76,15,33=30,48000,70,48000
76,16,34=34,96000,75,96000
76,17,34=38,104000,80,104000
76,18,34=42,112000,85,112000
76,19,34=46,120000,90,120000
76,20,34=50,128000,95,128000
77,1,31=1,0,0,0
77,2,31=2,500,6,500
77,3,31=3,1000,10,1000
77,4,31=4,2000,15,2000
77,5,31=5,4000,20,4000
77,6,32=6,8000,25,8000
77,7,32=8,10000,30,10000
77,8,32=10,12000,35,12000
77,9,32=12,14000,40,14000
77,10,32=14,16000,45,16000
77,11,33=17,32000,50,32000
77,12,33=20,36000,55,36000
77,13,33=23,40000,60,40000
77,14,33=26,44000,65,44000
77,15,33=30,48000,70,48000
77,16,34=34,96000,75,96000
77,17,34=38,104000,80,104000
77,18,34=42,112000,85,112000
77,19,34=46,120000,90,120000
77,20,34=50,128000,95,128000
78,1,31=1,0,0,0
78,2,31=2,500,6,500
78,3,31=3,1000,10,1000
78,4,31=4,2000,15,2000
78,5,31=5,4000,20,4000
78,6,32=6,8000,25,8000
78,7,32=8,10000,30,10000
78,8,32=10,12000,35,12000
78,9,32=12,14000,40,14000
78,10,32=14,16000,45,16000
78,11,33=17,32000,50,32000
78,12,33=20,36000,55,36000
78,13,33=23,40000,60,40000
78,14,33=26,44000,65,44000
78,15,33=30,48000,70,48000
78,16,34=34,96000,75,96000
78,17,34=38,104000,80,104000
78,18,34=42,112000,85,112000
78,19,34=46,120000,90,120000
78,20,34=50,128000,95,128000
79,1,31=1,0,0,0
79,2,31=2,500,6,500
79,3,31=3,1000,10,1000
79,4,31=4,2000,15,2000
79,5,31=5,4000,20,4000
79,6,32=6,8000,25,8000
79,7,32=8,10000,30,10000
79,8,32=10,12000,35,12000
79,9,32=12,14000,40,14000
79,10,32=14,16000,45,16000
79,11,33=17,32000,50,32000
79,12,33=20,36000,55,36000
79,13,33=23,40000,60,40000
79,14,33=26,44000,65,44000
79,15,33=30,48000,70,48000
79,16,34=34,96000,75,96000
79,17,34=38,104000,80,104000
79,18,34=42,112000,85,112000
79,19,34=46,120000,90,120000
79,20,34=50,128000,95,128000
80,1,31=1,0,0,0
80,2,31=2,500,6,500
80,3,31=3,1000,10,1000
80,4,31=4,2000,15,2000
80,5,31=5,4000,20,4000
80,6,32=6,8000,25,8000
80,7,32=8,10000,30,10000
80,8,32=10,12000,35,12000
80,9,32=12,14000,40,14000
80,10,32=14,16000,45,16000
80,11,33=17,32000,50,32000
80,12,33=20,36000,55,36000
80,13,33=23,40000,60,40000
80,14,33=26,44000,65,44000
80,15,33=30,48000,70,48000
80,16,34=34,96000,75,96000
80,17,34=38,104000,80,104000
80,18,34=42,112000,85,112000
80,19,34=46,120000,90,120000
80,20,34=50,128000,95,128000
81,1,31=1,0,0,0
81,2,31=2,500,6,500
81,3,31=3,1000,10,1000
81,4,31=4,2000,15,2000
81,5,31=5,4000,20,4000
81,6,32=6,8000,25,8000
81,7,32=8,10000,30,10000
81,8,32=10,12000,35,12000
81,9,32=12,14000,40,14000
81,10,32=14,16000,45,16000
81,11,33=17,32000,50,32000
81,12,33=20,36000,55,36000
81,13,33=23,40000,60,40000
81,14,33=26,44000,65,44000
81,15,33=30,48000,70,48000
81,16,34=34,96000,75,96000
81,17,34=38,104000,80,104000
81,18,34=42,112000,85,112000
81,19,34=46,120000,90,120000
81,20,34=50,128000,95,128000
82,1,31=1,0,0,0
82,2,31=2,500,6,500
82,3,31=3,1000,10,1000
82,4,31=4,2000,15,2000
82,5,31=5,4000,20,4000
82,6,32=6,8000,25,8000
82,7,32=8,10000,30,10000
82,8,32=10,12000,35,12000
82,9,32=12,14000,40,14000
82,10,32=14,16000,45,16000
82,11,33=17,32000,50,32000
82,12,33=20,36000,55,36000
82,13,33=23,40000,60,40000
82,14,33=26,44000,65,44000
82,15,33=30,48000,70,48000
82,16,34=34,96000,75,96000
82,17,34=38,104000,80,104000
82,18,34=42,112000,85,112000
82,19,34=46,120000,90,120000
82,20,34=50,128000,95,128000
83,1,31=1,0,0,0
83,2,31=2,500,6,500
83,3,31=3,1000,10,1000
83,4,31=4,2000,15,2000
83,5,31=5,4000,20,4000
83,6,32=6,8000,25,8000
83,7,32=8,10000,30,10000
83,8,32=10,12000,35,12000
83,9,32=12,14000,40,14000
83,10,32=14,16000,45,16000
83,11,33=17,32000,50,32000
83,12,33=20,36000,55,36000
83,13,33=23,40000,60,40000
83,14,33=26,44000,65,44000
83,15,33=30,48000,70,48000
83,16,34=34,96000,75,96000
83,17,34=38,104000,80,104000
83,18,34=42,112000,85,112000
83,19,34=46,120000,90,120000
83,20,34=50,128000,95,128000
84,1,31=1,0,0,0
84,2,31=2,500,6,500
84,3,31=3,1000,10,1000
84,4,31=4,2000,15,2000
84,5,31=5,4000,20,4000
84,6,32=6,8000,25,8000
84,7,32=8,10000,30,10000
84,8,32=10,12000,35,12000
84,9,32=12,14000,40,14000
84,10,32=14,16000,45,16000
84,11,33=17,32000,50,32000
84,12,33=20,36000,55,36000
84,13,33=23,40000,60,40000
84,14,33=26,44000,65,44000
84,15,33=30,48000,70,48000
84,16,34=34,96000,75,96000
84,17,34=38,104000,80,104000
84,18,34=42,112000,85,112000
84,19,34=46,120000,90,120000
84,20,34=50,128000,95,128000
85,1,31=1,0,0,0
85,2,31=2,500,6,500
85,3,31=3,1000,10,1000
85,4,31=4,2000,15,2000
85,5,31=5,4000,20,4000
85,6,32=6,8000,25,8000
85,7,32=8,10000,30,10000
85,8,32=10,12000,35,12000
85,9,32=12,14000,40,14000
85,10,32=14,16000,45,16000
85,11,33=17,32000,50,32000
85,12,33=20,36000,55,36000
85,13,33=23,40000,60,40000
85,14,33=26,44000,65,44000
85,15,33=30,48000,70,48000
85,16,34=34,96000,75,96000
85,17,34=38,104000,80,104000
85,18,34=42,112000,85,112000
85,19,34=46,120000,90,120000
85,20,34=50,128000,95,128000
86,1,31=1,0,0,0
86,2,31=2,500,6,500
86,3,31=3,1000,10,1000
86,4,31=4,2000,15,2000
86,5,31=5,4000,20,4000
86,6,32=6,8000,25,8000
86,7,32=8,10000,30,10000
86,8,32=10,12000,35,12000
86,9,32=12,14000,40,14000
86,10,32=14,16000,45,16000
86,11,33=17,32000,50,32000
86,12,33=20,36000,55,36000
86,13,33=23,40000,60,40000
86,14,33=26,44000,65,44000
86,15,33=30,48000,70,48000
86,16,34=34,96000,75,96000
86,17,34=38,104000,80,104000
86,18,34=42,112000,85,112000
86,19,34=46,120000,90,120000
86,20,34=50,128000,95,128000
87,1,31=1,0,0,0
87,2,31=2,500,6,500
87,3,31=3,1000,10,1000
87,4,31=4,2000,15,2000
87,5,31=5,4000,20,4000
87,6,32=6,8000,25,8000
87,7,32=8,10000,30,10000
87,8,32=10,12000,35,12000
87,9,32=12,14000,40,14000
87,10,32=14,16000,45,16000
87,11,33=17,32000,50,32000
87,12,33=20,36000,55,36000
87,13,33=23,40000,60,40000
87,14,33=26,44000,65,44000
87,15,33=30,48000,70,48000
87,16,34=34,96000,75,96000
87,17,34=38,104000,80,104000
87,18,34=42,112000,85,112000
87,19,34=46,120000,90,120000
87,20,34=50,128000,95,128000
88,1,31=1,0,0,0
88,2,31=2,500,6,500
88,3,31=3,1000,10,1000
88,4,31=4,2000,15,2000
88,5,31=5,4000,20,4000
88,6,32=6,8000,25,8000
88,7,32=8,10000,30,10000
88,8,32=10,12000,35,12000
88,9,32=12,14000,40,14000
88,10,32=14,16000,45,16000
88,11,33=17,32000,50,32000
88,12,33=20,36000,55,36000
88,13,33=23,40000,60,40000
88,14,33=26,44000,65,44000
88,15,33=30,48000,70,48000
88,16,34=34,96000,75,96000
88,17,34=38,104000,80,104000
88,18,34=42,112000,85,112000
88,19,34=46,120000,90,120000
88,20,34=50,128000,95,128000
89,1,31=1,0,0,0
89,2,31=2,500,6,500
89,3,31=3,1000,10,1000
89,4,31=4,2000,15,2000
89,5,31=5,4000,20,4000
89,6,32=6,8000,25,8000
89,7,32=8,10000,30,10000
89,8,32=10,12000,35,12000
89,9,32=12,14000,40,14000
89,10,32=14,16000,45,16000
89,11,33=17,32000,50,32000
89,12,33=20,36000,55,36000
89,13,33=23,40000,60,40000
89,14,33=26,44000,65,44000
89,15,33=30,48000,70,48000
89,16,34=34,96000,75,96000
89,17,34=38,104000,80,104000
89,18,34=42,112000,85,112000
89,19,34=46,120000,90,120000
89,20,34=50,128000,95,128000
90,1,31=1,0,0,0
90,2,31=2,500,6,500
90,3,31=3,1000,10,1000
90,4,31=4,2000,15,2000
90,5,31=5,4000,20,4000
90,6,32=6,8000,25,8000
90,7,32=8,10000,30,10000
90,8,32=10,12000,35,12000
90,9,32=12,14000,40,14000
90,10,32=14,16000,45,16000
90,11,33=17,32000,50,32000
90,12,33=20,36000,55,36000
90,13,33=23,40000,60,40000
90,14,33=26,44000,65,44000
90,15,33=30,48000,70,48000
90,16,34=34,96000,75,96000
90,17,34=38,104000,80,104000
90,18,34=42,112000,85,112000
90,19,34=46,120000,90,120000
90,20,34=50,128000,95,128000
91,1,31=1,0,0,0
91,2,31=2,500,6,500
91,3,31=3,1000,10,1000
91,4,31=4,2000,15,2000
91,5,31=5,4000,20,4000
91,6,32=6,8000,25,8000
91,7,32=8,10000,30,10000
91,8,32=10,12000,35,12000
91,9,32=12,14000,40,14000
91,10,32=14,16000,45,16000
91,11,33=17,32000,50,32000
91,12,33=20,36000,55,36000
91,13,33=23,40000,60,40000
91,14,33=26,44000,65,44000
91,15,33=30,48000,70,48000
91,16,34=34,96000,75,96000
91,17,34=38,104000,80,104000
91,18,34=42,112000,85,112000
91,19,34=46,120000,90,120000
91,20,34=50,128000,95,128000
92,1,31=1,0,0,0
92,2,31=2,500,6,500
92,3,31=3,1000,10,1000
92,4,31=4,2000,15,2000
92,5,31=5,4000,20,4000
92,6,32=6,8000,25,8000
92,7,32=8,10000,30,10000
92,8,32=10,12000,35,12000
92,9,32=12,14000,40,14000
92,10,32=14,16000,45,16000
92,11,33=17,32000,50,32000
92,12,33=20,36000,55,36000
92,13,33=23,40000,60,40000
92,14,33=26,44000,65,44000
92,15,33=30,48000,70,48000
92,16,34=34,96000,75,96000
92,17,34=38,104000,80,104000
92,18,34=42,112000,85,112000
92,19,34=46,120000,90,120000
92,20,34=50,128000,95,128000
93,1,31=1,0,0,0
93,2,31=2,500,6,500
93,3,31=3,1000,10,1000
93,4,31=4,2000,15,2000
93,5,31=5,4000,20,4000
93,6,32=6,8000,25,8000
93,7,32=8,10000,30,10000
93,8,32=10,12000,35,12000
93,9,32=12,14000,40,14000
93,10,32=14,16000,45,16000
93,11,33=17,32000,50,32000
93,12,33=20,36000,55,36000
93,13,33=23,40000,60,40000
93,14,33=26,44000,65,44000
93,15,33=30,48000,70,48000
93,16,34=34,96000,75,96000
93,17,34=38,104000,80,104000
93,18,34=42,112000,85,112000
93,19,34=46,120000,90,120000
93,20,34=50,128000,95,128000
94,1,31=1,0,0,0
94,2,31=2,500,6,500
94,3,31=3,1000,10,1000
94,4,31=4,2000,15,2000
94,5,31=5,4000,20,4000
94,6,32=6,8000,25,8000
94,7,32=8,10000,30,10000
94,8,32=10,12000,35,12000
94,9,32=12,14000,40,14000
94,10,32=14,16000,45,16000
94,11,33=17,32000,50,32000
94,12,33=20,36000,55,36000
94,13,33=23,40000,60,40000
94,14,33=26,44000,65,44000
94,15,33=30,48000,70,48000
94,16,34=34,96000,75,96000
94,17,34=38,104000,80,104000
94,18,34=42,112000,85,112000
94,19,34=46,120000,90,120000
94,20,34=50,128000,95,128000
95,1,31=1,0,0,0
95,2,31=2,500,6,500
95,3,31=3,1000,10,1000
95,4,31=4,2000,15,2000
95,5,31=5,4000,20,4000
95,6,32=6,8000,25,8000
95,7,32=8,10000,30,10000
95,8,32=10,12000,35,12000
95,9,32=12,14000,40,14000
95,10,32=14,16000,45,16000
95,11,33=17,32000,50,32000
95,12,33=20,36000,55,36000
95,13,33=23,40000,60,40000
95,14,33=26,44000,65,44000
95,15,33=30,48000,70,48000
95,16,34=34,96000,75,96000
95,17,34=38,104000,80,104000
95,18,34=42,112000,85,112000
95,19,34=46,120000,90,120000
95,20,34=50,128000,95,128000
96,1,31=1,0,0,0
96,2,31=2,500,6,500
96,3,31=3,1000,10,1000
96,4,31=4,2000,15,2000
96,5,31=5,4000,20,4000
96,6,32=6,8000,25,8000
96,7,32=8,10000,30,10000
96,8,32=10,12000,35,12000
96,9,32=12,14000,40,14000
96,10,32=14,16000,45,16000
96,11,33=17,32000,50,32000
96,12,33=20,36000,55,36000
96,13,33=23,40000,60,40000
96,14,33=26,44000,65,44000
96,15,33=30,48000,70,48000
96,16,34=34,96000,75,96000
96,17,34=38,104000,80,104000
96,18,34=42,112000,85,112000
96,19,34=46,120000,90,120000
96,20,34=50,128000,95,128000
97,1,31=1,0,0,0
97,2,31=2,500,6,500
97,3,31=3,1000,10,1000
97,4,31=4,2000,15,2000
97,5,31=5,4000,20,4000
97,6,32=6,8000,25,8000
97,7,32=8,10000,30,10000
97,8,32=10,12000,35,12000
97,9,32=12,14000,40,14000
97,10,32=14,16000,45,16000
97,11,33=17,32000,50,32000
97,12,33=20,36000,55,36000
97,13,33=23,40000,60,40000
97,14,33=26,44000,65,44000
97,15,33=30,48000,70,48000
97,16,34=34,96000,75,96000
97,17,34=38,104000,80,104000
97,18,34=42,112000,85,112000
97,19,34=46,120000,90,120000
97,20,34=50,128000,95,128000
98,1,31=1,0,0,0
98,2,31=2,500,6,500
98,3,31=3,1000,10,1000
98,4,31=4,2000,15,2000
98,5,31=5,4000,20,4000
98,6,32=6,8000,25,8000
98,7,32=8,10000,30,10000
98,8,32=10,12000,35,12000
98,9,32=12,14000,40,14000
98,10,32=14,16000,45,16000
98,11,33=17,32000,50,32000
98,12,33=20,36000,55,36000
98,13,33=23,40000,60,40000
98,14,33=26,44000,65,44000
98,15,33=30,48000,70,48000
98,16,34=34,96000,75,96000
98,17,34=38,104000,80,104000
98,18,34=42,112000,85,112000
98,19,34=46,120000,90,120000
98,20,34=50,128000,95,128000
99,1,31=1,0,0,0
99,2,31=2,500,6,500
99,3,31=3,1000,10,1000
99,4,31=4,2000,15,2000
99,5,31=5,4000,20,4000
99,6,32=6,8000,25,8000
