道具ID,道具名称,道具说明,星级,道具类型,礼包掉落ID,随机道具,金币,元宝,卡牌,装备,装备碎片,经验,战功,声望,将魂,体力,好感度,使用类型,开放等级,道具icon,道具资源,可堆叠,堆叠上限,权值,内含道具,元宝价格,银币价格,产地,产出描述1,产出副本1,产出关卡1,产出描述2,产出副本2,产出关卡2,产出描述3,产出副本3,产出关卡3,产出描述4,产出副本4,产出关卡4,产出描述5,产出副本5,产出关卡5,产出描述6,产出副本6,产出关卡6
1058,贾诩,魏国3星军师贾诩,2,7,,,,,58,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1059,徐庶,蜀国1星军师徐庶,1,7,,,,,59,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1060,庞统,蜀国3星军师庞统,2,7,,,,,60,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1061,凌统,吴国1星弓兵凌统,1,7,,,,,61,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1062,孙鲁班,吴国1星弓兵孙鲁班,1,7,,,,,62,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1063,韩当,吴国1星弓兵韩当,1,7,,,,,63,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1064,太史慈,吴国1星弓兵太史慈,2,7,,,,,64,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1065,黄忠,蜀国2星弓兵黄忠,2,7,,,,,65,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1066,于禁,魏国1星弓兵于禁,2,7,,,,,66,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1067,陆抗,吴国1星弓兵陆抗,1,7,,,,,67,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1068,孟获,蜀国1星步兵孟获,1,7,,,,,68,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1069,徐晃,魏国2星步兵徐晃,3,7,,,,,69,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1070,魏延,蜀国2星步兵魏延,2,7,,,,,70,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1071,周泰,吴国1星步兵周泰,1,7,,,,,71,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1072,黄盖,吴国1星步兵黄盖,1,7,,,,,72,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1073,典韦,魏国1星步兵典韦,2,7,,,,,73,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1074,曹丕,魏国1星弓兵曹丕,1,7,,,,,74,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1075,法正,蜀国1星军师法正,1,7,,,,,75,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1076,穆皇后,蜀国1星军师穆皇后,1,7,,,,,76,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1077,敬哀皇后,蜀国1星军师敬哀皇后,1,7,,,,,77,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1078,卞夫人,魏国1星军师卞夫人,1,7,,,,,78,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1079,曹彰,魏国1星步兵曹彰,1,7,,,,,79,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1080,马腾,群雄1星骑兵马腾,1,7,,,,,80,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1081,郭汜,群雄1星步兵郭汜,1,7,,,,,81,,,,,,,,,,,,,,,,,,,6 4 5,,,,,,,,,,,,,,,,,,
1082,马良,蜀国1星步兵马良,1,7,,,,,82,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1083,马谡,蜀国1星步兵马谡,1,7,,,,,83,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1084,关索,蜀国1星步兵关索,1,7,,,,,84,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1085,马忠,吴国1星骑兵马忠,1,7,,,,,85,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1086,吕范,吴国1星骑兵吕范,1,7,,,,,86,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1087,陈武,吴国1星骑兵陈武,1,7,,,,,87,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1088,陈登,魏国1星骑兵陈登,1,7,,,,,88,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1089,郭淮,魏国1星骑兵郭淮,1,7,,,,,89,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1090,王双,魏国1星骑兵王双,1,7,,,,,90,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1091,李异,吴国1星骑兵李异,1,7,,,,,91,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1092,庞德,魏国1星骑兵庞德,1,7,,,,,92,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1093,邓艾,魏国1星骑兵邓艾,1,7,,,,,93,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1094,周仓,蜀国1星骑兵周仓,1,7,,,,,94,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1095,陈到,蜀国1星骑兵陈到,1,7,,,,,95,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1096,关平,蜀国1星骑兵关平,1,7,,,,,96,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1097,马岱,蜀国1星骑兵马岱,1,7,,,,,97,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1098,华雄,群雄1星骑兵华雄,2,7,,,,,98,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1099,糜夫人,蜀国1星军师糜夫人,1,7,,,,,99,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1100,杨修,魏国1星军师杨修,1,7,,,,,100,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1101,孔融,魏国1星军师孔融,1,7,,,,,101,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1102,祢衡,魏国1星军师祢衡,1,7,,,,,102,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1103,杨仪,蜀国1星军师杨仪,1,7,,,,,103,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1104,杜氏,魏国1星弓兵杜氏,1,7,,,,,104,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1105,樊氏,群雄1星军师樊氏,1,7,,,,,105,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1106,蔡氏,群雄1星军师蔡氏,1,7,,,,,106,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1107,丁夫人,魏国1星弓兵丁夫人,1,7,,,,,107,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1108,简雍,蜀国1星弓兵简雍,1,7,,,,,108,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1109,李典,魏国1星骑兵李典,2,7,,,,,109,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1110,袁术,群雄1星弓兵袁术,1,7,,,,,110,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1111,公孙瓒,群雄2星骑兵公孙瓒,1,7,,,,,111,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1112,蒋钦,吴国1星弓兵蒋钦,1,7,,,,,112,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1113,徐盛,吴国1星弓兵徐盛,1,7,,,,,113,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1114,丁奉,吴国1星步兵丁奉,1,7,,,,,114,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1115,宋谦,吴国1星弓兵宋谦,1,7,,,,,115,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1116,沙摩柯,蜀国1星弓兵沙摩柯,1,7,,,,,116,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1117,吴国太,吴国1星弓兵吴国太,1,7,,,,,117,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1118,羊徽瑜,魏国1星弓兵羊徽瑜,1,7,,,,,118,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1119,夏侯徽,魏国1星弓兵夏侯徽,1,7,,,,,119,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1120,邹氏,群雄1星弓兵邹氏,1,7,,,,,120,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1121,曹洪,魏国1星步兵曹洪,1,7,,,,,121,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1122,曹昂,魏国1星步兵曹昂,1,7,,,,,122,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1123,袁绍,群雄1星步兵袁绍,2,7,,,,,123,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1124,邓芝,蜀国1星步兵邓芝,1,7,,,,,124,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1125,刘禅,蜀国1星步兵刘禅,1,7,,,,,125,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1126,吕岱,吴国1星步兵吕岱,1,7,,,,,126,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1127,潘璋,吴国1星步兵潘璋,1,7,,,,,127,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1128,夏侯霸,魏国1星骑兵夏侯霸,1,7,,,,,128,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1129,孙乾,蜀国1星弓兵孙乾,1,7,,,,,129,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1130,蒋琬,蜀国1星骑兵蒋琬,1,7,,,,,130,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1131,钟会,魏国1星弓兵钟会,1,7,,,,,131,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1132,廖化,蜀国1星军师廖化,1,7,,,,,132,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1133,华歆,魏国1星步兵华歆,1,7,,,,,133,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1134,文钦,吴国1星骑兵文钦,1,7,,,,,134,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1135,李傕,群雄1星骑兵李傕,1,7,,,,,135,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1136,文鸯,吴国1星弓兵文鸯,1,7,,,,,136,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1137,文聘,魏国1星骑兵文聘,1,7,,,,,137,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1138,蔡瑁,魏国1星弓兵蔡瑁,1,7,,,,,138,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1139,张燕,群雄1星步兵张燕,1,7,,,,,139,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1140,韩浩,魏国1星步兵韩浩,1,7,,,,,140,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1141,花蔓,蜀国1星军师花蔓,1,7,,,,,141,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1142,吕玲绮,群雄1星军师吕玲绮,1,7,,,,,142,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1143,太史昭容,吴国1星军师太史昭容,1,7,,,,,143,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1144,顾雍,吴国1星军师顾雍,1,7,,,,,144,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1145,诸葛瑾,吴国1星军师诸葛瑾,1,7,,,,,145,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1146,荀攸,魏国1星军师荀攸,1,7,,,,,146,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1147,程昱,魏国1星军师程昱,1,7,,,,,147,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1148,曹植,魏国1星军师曹植,1,7,,,,,148,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1149,许攸,魏国1星军师许攸,1,7,,,,,149,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1150,李严,蜀国1星军师李严,1,7,,,,,150,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1151,张角,群雄1星军师张角,1,7,,,,,151,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1152,郭女王,魏国1星弓兵郭女王,1,7,,,,,152,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1153,诸葛果,蜀国1星军师诸葛果,1,7,,,,,153,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1154,文蕊,群雄1星弓兵文蕊,1,7,,,,,154,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1155,糜竺,蜀国1星弓兵糜竺,1,7,,,,,155,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1156,蒋干,魏国1星步兵蒋干,1,7,,,,,156,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1157,兀突骨,蜀国1星步兵兀突骨,1,7,,,,,157,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1158,祖茂,吴国1星骑兵祖茂,1,7,,,,,158,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1159,皇甫嵩,群雄1星骑兵皇甫嵩,1,7,,,,,159,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1160,陈琳,魏国1星弓兵陈琳,1,7,,,,,160,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1161,张松,群雄1星弓兵张松,1,7,,,,,161,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1162,孙翊,吴国1星弓兵孙翊,1,7,,,,,162,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1163,孙韶,吴国1星弓兵孙韶,1,7,,,,,163,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1164,陈表,吴国1星弓兵陈表,1,7,,,,,164,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1165,董允,蜀国1星弓兵董允,1,7,,,,,165,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1166,张梁,群雄1星骑兵张梁,1,7,,,,,166,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1167,韩德,魏国1星骑兵韩德,1,7,,,,,167,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1168,臧霸,魏国1星骑兵臧霸,1,7,,,,,168,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1169,陈纪,群雄1星骑兵陈纪,1,7,,,,,169,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1170,韩猛,群雄1星骑兵韩猛,1,7,,,,,170,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1171,黄祖,群雄1星骑兵黄祖,1,7,,,,,171,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1172,刘璋,群雄1星骑兵刘璋,1,7,,,,,172,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1173,孙桓,吴国1星骑兵孙桓,1,7,,,,,173,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1174,朱异,吴国1星骑兵朱异,1,7,,,,,174,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1175,陈宫,群雄2星军师陈宫,1,7,,,,,175,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1176,高顺,群雄1星步兵高顺,1,7,,,,,176,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1177,麴义,群雄1星骑兵麴义,1,7,,,,,177,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1178,张勋,群雄1星骑兵张勋,1,7,,,,,178,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1179,高览,群雄1星骑兵高览,1,7,,,,,179,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1180,淳于琼,群雄1星骑兵淳于琼,1,7,,,,,180,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1181,曹真,魏国1星骑兵曹真,1,7,,,,,181,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1182,韩遂,群雄1星骑兵韩遂,1,7,,,,,182,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1183,骆统,吴国1星军师骆统,1,7,,,,,183,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1184,朱然,吴国1星军师朱然,1,7,,,,,184,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1185,蒯越,魏国1星军师蒯越,1,7,,,,,185,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1186,董昭,魏国1星军师董昭,1,7,,,,,186,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1187,陈群,魏国1星军师陈群,1,7,,,,,187,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1188,田丰,群雄1星军师田丰,1,7,,,,,188,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1189,费祎,蜀国1星军师费祎,1,7,,,,,189,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1190,郭攸之,蜀国1星军师郭攸之,1,7,,,,,190,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1191,孙峻,吴国1星弓兵孙峻,1,7,,,,,191,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1192,董袭,吴国1星弓兵董袭,1,7,,,,,192,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1193,司马徽,群雄1星弓兵司马徽,1,7,,,,,193,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1194,沮授,群雄1星弓兵沮授,1,7,,,,,194,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1195,曹休,魏国1星弓兵曹休,1,7,,,,,195,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1196,曹爽,魏国1星弓兵曹爽,1,7,,,,,196,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1197,曹睿,魏国1星弓兵曹睿,1,7,,,,,197,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1198,刘封,蜀国1星弓兵刘封,1,7,,,,,198,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1199,张鲁,群雄1星弓兵张鲁,1,7,,,,,199,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1200,张允,魏国1星弓兵张允,1,7,,,,,200,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1201,张宝,群雄1星步兵张宝,1,7,,,,,201,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1202,刘表,群雄1星步兵刘表,1,7,,,,,202,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1203,朱桓,吴国1星步兵朱桓,1,7,,,,,203,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1204,曹纯,魏国1星步兵曹纯,1,7,,,,,204,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1205,夏侯尚,魏国1星步兵夏侯尚,1,7,,,,,205,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1206,张任,群雄1星步兵张任,1,7,,,,,206,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1207,严颜,蜀国1星步兵严颜,1,7,,,,,207,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1208,木鹿大王,蜀国1星步兵木鹿大王,1,7,,,,,208,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1209,苏飞,吴国1星弓兵苏飞,1,7,,,,,209,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1210,王粲,魏国1星弓兵王粲,1,7,,,,,210,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1211,蒯良,群雄1星军师蒯良,1,7,,,,,211,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1212,带来洞主,蜀国1星弓兵带来洞主,1,7,,,,,212,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1213,孟优,蜀国1星弓兵孟优,1,7,,,,,213,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1214,朵思大王,蜀国1星弓兵朵思大王,1,7,,,,,214,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1215,车胄,魏国1星步兵车胄,1,7,,,,,215,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1216,程银,群雄1星步兵程银,1,7,,,,,216,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1217,成宜,群雄1星步兵成宜,1,7,,,,,217,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1218,雷薄,群雄1星步兵雷薄,1,7,,,,,218,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1219,陈兰,群雄1星步兵陈兰,1,7,,,,,219,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1220,孟坦,魏国1星步兵孟坦,1,7,,,,,220,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1221,孟达,蜀国1星步兵孟达,1,7,,,,,221,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1222,马玩,群雄1星步兵马玩,1,7,,,,,222,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1223,糜芳,蜀国1星步兵糜芳,1,7,,,,,223,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1224,孙河,吴国1星骑兵孙河,1,7,,,,,224,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1225,韩福,魏国1星骑兵韩福,1,7,,,,,225,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1226,秦琪,魏国1星骑兵秦琪,1,7,,,,,226,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1227,金环三节,蜀国1星骑兵金环三节,1,7,,,,,227,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1228,刘琦,蜀国1星骑兵刘琦,1,7,,,,,228,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1229,韩玄,群雄1星骑兵韩玄,1,7,,,,,229,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1230,金旋,群雄1星骑兵金旋,1,7,,,,,230,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1231,袁耀,群雄1星骑兵袁耀,1,7,,,,,231,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1232,孙静,吴国1星军师孙静,1,7,,,,,232,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1233,全琮,吴国1星军师全琮,1,7,,,,,233,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1234,刘琮,群雄1星军师刘琮,1,7,,,,,234,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1235,杨弘,群雄1星军师杨弘,1,7,,,,,235,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1236,孙綝,吴国1星弓兵孙綝,1,7,,,,,236,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1237,卞喜,魏国1星弓兵卞喜,1,7,,,,,237,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1238,董荼那,蜀国1星弓兵董荼那,1,7,,,,,238,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1239,阿会喃,蜀国1星弓兵阿会喃,1,7,,,,,239,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1240,傅士仁,蜀国1星弓兵傅士仁,1,7,,,,,240,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1241,侯选,群雄1星弓兵侯选,1,7,,,,,241,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1242,张横,群雄1星弓兵张横,1,7,,,,,242,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1243,袁胤,群雄1星弓兵袁胤,1,7,,,,,243,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1244,阎象,群雄1星弓兵阎象,1,7,,,,,244,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1245,田楷,群雄1星弓兵田楷,1,7,,,,,245,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1246,孙匡,吴国1星步兵孙匡,1,7,,,,,246,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1247,孙瑜,吴国1星步兵孙瑜,1,7,,,,,247,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
