副本ID,剧情ID,名称,阶段,类型,玩家对话,武将ID,武将名,剧情
20002,2,出生将,1,2,,1,张飞,俺叫张飞，俺大哥是刘备！
20002,3,出生将,1,2,,1,张飞,俺大哥被妖怪抓走了（哪来的妖怪 →_→，看你这长相，是至尊宝穿越过来的吧）
20002,4,出生将,1,2,,1,张飞,主公，俺以后跟你混啦！我们先去打黄巾军吧~
,,,,,,,,
20003,1,出生将,1,2,,1,张飞,好久没出手，实（累）力（死）仍（我）在（了）……呼呼
20003,2,出生将,1,2,,1,张飞,想要争霸天下，貌似靠现有的大军（其实只有我1个）实力还不够，多收集几个武将，打架一起上才是王道！
20003,3,出生将,1,2,,1,张飞,先去【商城-抽卡】看看，说不定能依靠王霸之气，吸引点名将过来，呵呵~
,,,,,,,,
20004,1,出生将,1,1,,25,蔡文姬,主公，通过进化可以提升成吨的属性，还可以激活被动技哦（好期待...\(^o^)/）
20004,2,,1,2,,1,张飞,哎呦，不错哦~我们赶快去试试~先拿我开刀吧
,,,,,,,,
20005,1,出生将,1,2,,1,张飞,乡亲们，为主公效力的时候到了！
20005,2,,1,1,,98,华雄,在精英副本中，可以获得武将碎片呢~
20005,3,,1,1,,25,蔡文姬,出击吧，治疗交给我了（跑慢点，奶不上你可不要怪我小……）
,,,,,,,,
20006,1,出生将,1,2,,1,张飞,报~张角来投奔主公，共图大业~
20006,2,,1,1,,25,蔡文姬,收集足够的碎片，就可以合成武将了~
20006,3,,1,1,,98,华雄,还可以升星呢，升星之后更加更加强大呢~
,,,,,,,,
20007,1,出生将,1,2,,1,张飞,乡亲们，为主公效力的时候又到了！（咦，我为什么要说“又”）
20007,2,,1,1,,25,蔡文姬,在地狱副本，可以获得装备~
20007,3,,1,1,,98,华雄,哇！我要大宝剑~
,,,,,,,,
20008,1,出生将,1,2,,1,张飞,主公，我们发啦！好多装备
20008,2,,1,1,,25,蔡文姬,快给武将穿戴装备，提升成吨的战斗力！
20008,3,,1,1,,98,华雄,装备还可以升级、炼化呢~
,,,,,,,,
20009,1,出生将,1,2,,1,张飞,主公，引导暂时告一段落~
20009,2,,1,1,,25,蔡文姬,快快升级哦~我会想你的
,,,,,,,,
20010,1,出生将,1,2,,1,张飞,主公，战场开放了，可以跟其他主公较量了！
20010,2,,1,1,,25,蔡文姬,对，让他们见识一下咱们的厉害！
20010,3,,1,1,,98,华雄,不要让我失望哦~
,,,,,,,,
20011,1,出生将,1,2,,1,张飞,科技系统，提升 步 / 骑 / 弓 / 军师 4个职业的科技，这一职业的所有武将属性都将得到提升！
20011,2,,1,1,,25,蔡文姬,升级科技需要消耗令牌，令牌从副本中的星级宝箱里可以获得~商城里也可以购买令牌
20011,3,,1,1,,98,华雄,那么问题来了，先从哪个职业的科技开始呢
,,,,,,,,
20012,1,,1,2,,1,张飞,哇！美人！（主公，你懂的！）
20012,2,,1,1,,25,蔡文姬,招募美人并使之出战，提升所有武将的属性！还有……
20012,3,,1,2,,1,张飞,主公，我们快去招募吧！
20012,4,,1,1,,25,蔡文姬,又打断我的话，人呢（走没影了……）
,,,,,,,,
20013,1,出生将,1,2,,1,张飞,有新的玩法啦【过关斩将】
20013,2,,1,1,,25,蔡文姬,据说，只要有足够的实力，就能获得丰厚的奖励，还会获得稀有的 [ 星魂 ]哦
20013,3,,1,1,,1,张飞,我要过50关，斩60将！！
,,,,,,,,
20014,1,出生将,1,2,,1,张飞,打到了[ 星魂 ]，去【将星】系统点星星吧~
20014,2,,1,1,,25,蔡文姬,【将星】系统，为 群雄/魏/蜀/吴 4个阵营的所有武将提升属性哦~
20014,3,,1,1,,1,张飞,来自星星的你（花痴ing...）
,,,,,,,,
20015,1,出生将,1,2,,1,张飞,名将系统开启了，这里出产各种稀有的武将碎片哦！
20015,2,,1,2,,25,蔡文姬,快去收集名将吧~
,,,,,,,,
20016,1,出生将,1,2,,1,张飞,主公，特殊副本【五大财团】开放了，它能提供大量的游戏币！
20016,2,,1,1,,25,蔡文姬,另外，击杀的武将越多，奖励越丰厚呢！
,,,,,,,,
20017,1,,1,2,,1,张飞,主公，特殊副本【南蛮入侵】开放了，它是重要的经验卡牌产出途径！
20017,2,,1,1,,25,蔡文姬,是的，主公。坚持的时间越长，奖励也就越丰富哦！
,,,,,,,,
20018,1,出生将,1,2,,1,张飞,各路主公已经雄踞塞外，等着我们去一决高下！
20018,2,,1,1,,25,蔡文姬,20级以上的武将即可轮番上阵，可用集体实力碾压他们！
,,,,,,,,
20019,1,出生将,1,2,,1,张飞,主公可以把武将添加到【小伙伴】中，为上阵的武将激活更多的情缘~
20019,2,,1,1,,25,蔡文姬,情缘多多，战力高高哦~
,,,,,,,,
20020,1,出生将,1,2,,1,张飞,主公，我们发啦！好多装备
20020,2,,1,1,,25,蔡文姬,快给武将穿戴装备，提升成吨的战斗力！
20020,2,,1,1,,98,华雄,装备还可以升级、炼化呢~
