副本ID,怪物ID,掉落描述,掉落物品名称,道具掉落
20603,,真·火烧濮阳,普掉,2066=1=40=1 13=1=40=0 32=2=50=0 3052=1=20=0
20604,,真·张绣降曹,普掉,2058=1=40=1 13=1=40=0 32=2=50=0 3153=1=20=0
20605,,真·古之恶来 ,普掉,2007=1=40=1 13=1=40=0 32=2=50=0 3001=1=20=0
20701,,真·徐州之危,普掉,2151=1=40=1 14=1=40=0 32=2=50=0 3001=1=20=0
20702,,真·辕门射戟,普掉,2042=1=40=1 13=1=40=0 32=2=50=0 3103=1=20=0
20703,,真·陷阵营,普掉,2006=1=40=1 14=1=40=0 32=2=50=0 3004=1=20=0
20704,,真·水淹下邳,普掉,2028=1=40=1 13=1=40=0 32=2=50=0 3002=1=20=0
20705,,真·白门楼星陨,普掉,2175=1=40=1 14=1=40=0 32=2=50=0 3003=1=20=0
20801,,真·孙坚之死,普掉,2028=1=40=1 13=1=40=0 32=2=50=0 3005=1=20=0
20802,,真·大小乔1,普掉,2023=1=40=1 13=1=40=0 32=2=50=0 3001=1=20=0
20803,,真·大小乔2,普掉,2026=1=40=1 14=1=40=0 32=2=50=0 3102=1=20=0
20804,,真·神亭酣战,普掉,2064=1=40=1 13=1=40=0 32=2=50=0 3005=1=20=0
20805,,真·平江东,普掉,2051=1=40=1 13=1=40=0 32=2=50=0 3053=1=20=0
20901,,真·再降曹,普掉,2058=1=40=1 14=1=40=0 32=2=50=0 3005=1=20=0
20902,,真·才女无双,普掉,2025=1=40=1 13=1=40=0 32=2=50=0 3153=1=20=0
20903,,真·煮酒论英雄,普掉,2007=1=40=1 14=1=40=0 32=2=50=0 3101=1=20=0
20904,,真·十胜论,普掉,2066=1=40=1 14=1=40=0 32=2=50=0 3053=1=20=0
20905,,真·兵进徐州,普掉,2018=1=40=1 14=1=40=0 32=2=50=0 3005=1=20=0
21001,,真·败投袁绍1,普掉,2069=1=40=1 13=1=40=0 32=2=50=0 3052=1=20=0
21002,,真·败投袁绍2,普掉,2070=1=40=1 14=1=40=0 32=2=50=0 3052=1=20=0
21003,,真·降关羽,普掉,2031=1=40=1 14=1=40=0 32=2=50=0 3102=1=20=0
21004,,真·白马之围,普掉,2066=1=40=1 14=1=40=0 32=2=50=0 3103=1=20=0
21005,,真·河北庭柱,普掉,2050=1=40=1 14=1=40=0 32=2=50=0 3152=1=20=0
21101,,真·斩颜良1,普掉,2151=1=40=1 13=1=40=0 33=2=50=0 3053=1=20=0
21102,,真·斩颜良2,普掉,2051=1=40=1 14=1=40=0 33=2=50=0 3002=1=20=0
21103,,真·诛文丑,普掉,2042=1=40=1 13=1=40=0 33=2=50=0 3003=1=20=0
21104,,真·火烧乌巢,普掉,2069=1=40=1 14=1=40=0 33=2=50=0 3101=1=20=0
21105,,真·官渡决战,普掉,2001=1=40=1 13=1=40=0 33=2=50=0 3152=1=20=0
21201,,真·千里走单骑,普掉,2031=1=40=1 14=1=40=0 33=2=50=0 3051=1=20=0
21202,,真·卧龙凤雏1,普掉,2098=1=40=1 14=1=40=0 33=2=50=0 3153=1=20=0
21203,,真·卧龙凤雏2,普掉,2060=1=40=1 13=1=40=0 33=2=50=0 3002=1=20=0
21204,,真·三顾茅庐,普掉,2070=1=40=1 14=1=40=0 33=2=50=0 3001=1=20=0
21205,,真·隆中对,普掉,2026=1=40=1 13=1=40=0 33=2=50=0 3001=1=20=0
21301,,真·拥立新主1,普掉,2004=1=40=1 14=1=40=0 33=2=50=0 3152=1=20=0
21302,,真·拥立新主2,普掉,2064=1=40=1 14=1=40=0 33=2=50=0 3153=1=20=0
21303,,真·兴霸归吴,普掉,2006=1=40=1 14=1=40=0 33=2=50=0 3005=1=20=0
21304,,真·大都督,普掉,2028=1=40=1 14=1=40=0 33=2=50=0 3151=1=20=0
21305,,真·稳固江东,普掉,2051=1=40=1 13=1=40=0 33=2=50=0 3001=1=20=0
21401,,真·子龙归来1,普掉,2023=1=40=1 13=1=40=0 33=2=50=0 3051=1=20=0
21402,,真·子龙归来2,普掉,2004=1=40=1 14=1=40=0 33=2=50=0 3102=1=20=0
21403,,真·新野之战,普掉,2069=1=40=1 14=1=40=0 33=2=50=0 3001=1=20=0
21404,,真·火烧博望坡,普掉,2259=1=40=1 13=1=40=0 33=2=50=0 3053=1=20=0
21405,,真·运筹帷幄,普掉,2007=1=40=1 14=1=40=0 33=2=50=0 3153=1=20=0
21501,,真·南下荆州1,普掉,2042=1=40=1 13=1=40=0 33=2=50=0 3002=1=20=0
21502,,真·南下荆州2,普掉,2044=1=40=1 14=1=40=0 33=2=50=0 3101=1=20=0
21503,,真·单骑救主,普掉,2001=1=40=1 14=1=40=0 33=2=50=0 3101=1=20=0
21504,,真·大闹长坂桥,普掉,2026=1=40=1 13=1=40=0 33=2=50=0 3052=1=20=0
21505,,真·败走汉津口,普掉,2070=1=40=1 14=1=40=0 33=2=50=0 3101=1=20=0
21601,,真·舌战群儒,普掉,14=1=40=0 21=1=15=0 24=1=15=0 25=1=15=0 3051=1=15=0
21602,,真·智激周瑜,普掉,14=1=40=0 22=1=15=0 23=1=15=0 24=1=15=0 3003=1=15=0
21603,,真·群英会1,普掉,14=1=40=0 22=1=15=0 24=1=15=0 23=1=15=0 3004=1=15=0
21604,,真·群英会2,普掉,14=1=40=0 23=1=15=0 21=1=15=0 25=1=15=0 3102=1=15=0
21605,,真·草船借箭,普掉,14=1=40=0 21=1=15=0 22=1=15=0 25=1=15=0 3051=1=15=0
21701,,真·苦肉计,普掉,14=1=40=0 21=1=15=0 24=1=15=0 25=1=15=0 3151=1=15=0
21702,,真·阚泽献书,普掉,14=1=40=0 22=1=15=0 23=1=15=0 24=1=15=0 3102=1=15=0
21703,,真·连环计1,普掉,14=1=40=0 22=1=15=0 24=1=15=0 23=1=15=0 3153=1=15=0
21704,,真·连环计2,普掉,13=1=40=0 23=1=15=0 21=1=15=0 25=1=15=0 3152=1=15=0
21705,,真·借东风,普掉,14=1=40=0 21=1=15=0 22=1=15=0 25=1=15=0 3005=1=15=0
21801,,真·火船计,普掉,14=1=40=0 21=1=15=0 24=1=15=0 25=1=15=0 3051=1=15=0
21802,,真·各展神威,普掉,13=1=40=0 22=1=15=0 23=1=15=0 24=1=15=0 3005=1=15=0
21803,,真·势如破竹1,普掉,14=1=40=0 22=1=15=0 24=1=15=0 23=1=15=0 3001=1=15=0
21804,,真·势如破竹2,普掉,13=1=40=0 23=1=15=0 21=1=15=0 25=1=15=0 3152=1=15=0
21805,,真·败投华容,普掉,13=1=40=0 21=1=15=0 22=1=15=0 25=1=15=0 3101=1=15=0
21901,,真·翼德逞凶,普掉,13=1=40=0 21=1=15=0 24=1=15=0 25=1=15=0 3051=1=15=0
21902,,真·子龙夺旗,普掉,13=1=40=0 22=1=15=0 23=1=15=0 24=1=15=0 3002=1=15=0
21903,,真·华容道1,普掉,13=1=40=0 22=1=15=0 24=1=15=0 23=1=15=0 3153=1=15=0
21904,,真·华容道2,普掉,13=1=40=0 23=1=15=0 21=1=15=0 25=1=15=0 3101=1=15=0
21905,,真·义释曹操,普掉,14=1=40=0 21=1=15=0 22=1=15=0 25=1=15=0 3002=1=15=0
22001,,真·南郡之战,普掉,14=1=40=0 21=1=15=0 24=1=15=0 25=1=15=0 3151=1=15=0
22002,,真·巧借荆州,普掉,13=1=40=0 22=1=15=0 23=1=15=0 24=1=15=0 3051=1=15=0
22003,,真·平定南阳1,普掉,14=1=40=0 22=1=15=0 24=1=15=0 23=1=15=0 3002=1=15=0
22004,,真·平定南阳2,普掉,13=1=40=0 23=1=15=0 21=1=15=0 25=1=15=0 3151=1=15=0
22005,,真·刘备娶亲,普掉,13=1=40=0 21=1=15=0 22=1=15=0 25=1=15=0 3052=1=15=0
