武将ID,武将名称,阵营,职业ID,职业名称,星级,初始生命,初始攻击,初始防御,生命成长,攻击成长,防御成长,初始闪避,初始命中,初始格挡,初始破击,初始暴击,初始韧性,初始爆伤,初始抵抗,移动速度,攻击速度,攻击距离,普攻子弹ID,必杀技ID,必杀技CD,技能配音ID,进化1材料,进化2材料,进化3材料,进化4材料,进化5材料,进化6材料,进化7材料,进化8材料,进化9材料,进化10材料,进化11材料,进化12材料,武将简介,头像资源,人物资源,卡牌资源,骨骼动画,通用模型技能动作,骨骼比例,骨骼特效,骨骼特效比例,权值,掉落区域,性别,被动技能1,被动技能2,被动技能3,首轮顺序,循环顺序,情缘,图鉴开关
52,鲁肃,4,5,军师,1,1288,398,180,130,40.3,18.2,0,0,0,0,0,0,0,0,,100,,271,45,15000,126,6004 6003 6002 6002 6001 6001,6025 6022 6014 6012 6012 6001,6076 6042 6022 6013 6011 6001,6097 6091 6046 6042 6026 6012,6097 6094 6074 6043 6042 6022,6147 6097 6096 6074 6048 6047,6148 6141 6096 6077 6073 6041,6193 6146 6125 6092 6074 6043,6191 6171 6147 6096 6093 6047,6198 6191 6121 6097 6093 6077,6225 6212 6195 6176 6146 6123,6225 6224 6191 6178 6148 6123,鲁肃，字子敬，临淮郡东城县人。鲁肃相貌才华出众且乐善好施，因此而与周瑜交好。孙权常常单独请鲁肃同榻共饮，商议国策。鲁肃谏议孙权割据江东，造成鼎足之势，然后称帝并根据形势谋图天下之策。赤壁大战之后，鲁肃审时度事谏议东吴将荆州借给刘备，以便联合对付曹操，曹操闻讯时曾经大惊失色。周瑜病危时推荐鲁肃接替他负责防务，鲁肃先后任奋武校尉、偏将军、汉昌太守。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,4,,1172,1173,1174,0=0=1=0,0=1=0=0,,
53,祝融夫人,3,1,步兵,1,2268,268,297,228.8,27.2,29.9,112,37,75,75,62,50,0,12,,100,,126,20,15000,179,6004 6003 6003 6002 6001 6001,6028 6026 6014 6012 6012 6001,6074 6048 6027 6014 6011 6001,6098 6096 6046 6044 6021 6012,6097 6094 6075 6042 6041 6025,6144 6095 6094 6074 6044 6043,6148 6146 6094 6078 6077 6046,6194 6142 6123 6093 6075 6045,6196 6176 6147 6097 6092 6044,6198 6191 6128 6097 6093 6073,6223 6212 6194 6175 6144 6128,6226 6225 6196 6177 6147 6127,祝融夫人，南蛮大王孟获之妻，传说为火神祝融氏之后裔。祝融善使飞刀，百发百中，临阵擒获蜀将张嶷、马忠。诸葛亮即唤马岱、赵云、魏延受计，先用赵云、魏延诈败，马岱埋伏，终于擒获祝融换回张嶷、马忠二将。后来诸葛亮七擒七纵孟获，孟获表示永不再反，夫人亦随之投降。,resource/head_pic/ZhuRongFuRen.png,resource/hero_pic/ZhuRongFuRenA.jpg,resource/card_pic/ZhuRongFuRen.jpg,resource/bones/ZhuRongFuRen,skill,80,resource/bones/ZhuRongFuRen_e,100,150,4,1,1175,1176,1177,3=0=2=0,3=0=2=0,1=68=1=24=0=南蛮入侵 1=109=3=19=0=固若金汤 1=35;11=2=30=0;0=女汉子 2=9=2=24=0=火云刀 2=66=3=18=0=狂龙火胄,
54,关银屏,3,3,骑兵,1,1956,310,244,196.8,31.4,24.6,0,0,0,0,0,0,0,0,,100,,259,63,15000,167,6004 6004 6003 6003 6002 6002,6027 6024 6014 6013 6012 6003,6075 6047 6024 6014 6013 6002,6097 6096 6047 6044 6028 6014,6096 6094 6076 6047 6044 6023,6145 6098 6098 6078 6046 6044,6143 6142 6092 6076 6072 6044,6191 6146 6121 6092 6072 6043,6193 6178 6146 6097 6093 6047,6195 6194 6123 6096 6096 6076,6224 6216 6192 6174 6143 6124,6225 6224 6193 6172 6148 6127,关羽之女,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/qibing2_y,skill,65,,,,4,1,1079,1080,1081,0=0=1=0,0=1=0=0,,
55,张星彩,3,1,步兵,1,2213,246,290,223.3,25,29.2,150,12,87,50,62,25,10,12,,100,,136,19,15000,177,6004 6004 6003 6002 6002 6001,6024 6023 6014 6014 6012 6004,6073 6041 6027 6013 6012 6002,6094 6094 6048 6045 6024 6011,6097 6095 6078 6048 6043 6028,6142 6095 6095 6071 6045 6044,6148 6142 6097 6074 6072 6047,6194 6141 6127 6093 6073 6048,6191 6172 6145 6098 6091 6046,6198 6198 6127 6097 6092 6074,6226 6211 6198 6172 6143 6128,6222 6221 6193 6177 6145 6124,张飞之女,resource/head_pic/ZhangXingCai.png,resource/hero_pic/ZhangXingCaiA.jpg,resource/card_pic/ZhangXingCai.jpg,resource/bones/ZhangXingCai,skill,80,resource/bones/ZhangXingCai_e,110,,4,1,1082,1083,1084,0=0=1=2,0=1=0=2,1=1=1=20=0=将门虎女 1=36=3=21=0=彪悍人生 1=153=2=21=0=蜀汉之花 2=20=2=18=0=丈八蛇矛 2=160=1=21=0=灰烬战靴,
56,鲍三娘,3,1,步兵,1,2254,258,304,227.5,26.2,30.6,0,0,0,0,0,0,0,0,,100,,253,53,15000,161,6004 6004 6002 6002 6001 6001,6027 6026 6013 6013 6011 6002,6074 6045 6021 6014 6014 6001,6096 6092 6044 6041 6021 6013,6098 6091 6076 6045 6041 6022,6143 6094 6092 6078 6043 6041,6144 6142 6093 6076 6074 6047,6191 6148 6123 6094 6078 6048,6197 6177 6145 6097 6096 6041,6191 6191 6125 6095 6092 6077,6225 6214 6198 6174 6142 6128,6227 6224 6194 6174 6145 6121,关索的妻子,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,4,1,1178,1179,1180,0=0=1=0,0=1=0=0,,
57,荀彧,2,5,军师,1,1267,387,180,127.9,39.1,18.2,0,0,0,0,0,0,0,0,,100,,271,46,15000,127,6003 6003 6002 6002 6001 6001,6026 6023 6014 6012 6011 6004,6075 6047 6027 6011 6011 6004,6093 6091 6046 6043 6025 6013,6094 6092 6078 6046 6045 6027,6142 6098 6093 6074 6047 6045,6148 6144 6093 6076 6075 6047,6198 6148 6123 6095 6076 6042,6193 6172 6146 6097 6094 6042,6198 6191 6121 6097 6092 6073,6227 6211 6196 6177 6146 6126,6226 6224 6193 6172 6143 6127,荀彧，字文若，颍川颍阴人。荀攸之叔父，从小就被人认为有王佐之才，董卓入京后辞官回乡带领族人迁到冀州。因为荀彧多次推荐优秀人才给曹操如戏志才、郭嘉等，所以曹操敬重荀彧，每有大事都先与他商议。官渡之战时回信坚定了曹操的意志，最后得已击败袁绍统一中原。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,4,,1181,1182,1183,0=0=1=0,0=1=0=0,,
58,贾诩,2,5,军师,3,1222,422,179,123.4,42.8,18.1,25,37,87,37,87,62,5,75,,100,,555,79,15000,151,6004 6003 6003 6002 6002 6001,6028 6027 6014 6014 6012 6003,6073 6042 6023 6012 6011 6004,6093 6092 6043 6042 6024 6011,6098 6097 6072 6047 6042 6028,6145 6097 6096 6077 6046 6044,6147 6144 6094 6078 6071 6048,6191 6142 6128 6098 6076 6045,6193 6176 6142 6097 6095 6043,6198 6197 6127 6097 6097 6078,6225 6214 6195 6173 6148 6122,6226 6225 6191 6176 6142 6125,贾诩，字文和，武威姑臧人。贾诩原为董卓部下。董卓灭亡后，贾诩为求自保，建议李傕、郭汜等人袭击长安，造成大乱，又先后依附段煨、张绣，屡献妙计。后劝张绣投降于曹操，成为曹操手下重要谋士，在战官渡、平马超以及立嗣等问题上多有建议，为曹操所器重。曹丕即位后，贾诩升任太尉，数年后病逝。贾诩极有智慧，擅于自保，是当时公认的智谋之士。,resource/head_pic/JiaXu.png,resource/hero_pic/JiaXuA.jpg,resource/card_pic/JiaXu.jpg,resource/bones/JiaXu,skill,90,resource/bones/JiaXu_e,90,150,4,,1184,1185,1186,0=2=1=3,0=1=2=3,1=40=1=18=0=宛城旧主 1=73=3=22=0=古之恶来 1=188;175=2=30=0;0=诡异之才 2=30=2=22=0=天师符 2=116=1=24=0=无双鬼才冠,1
59,徐庶,3,5,军师,1,1232,420,174,124.4,42.6,17.6,0,0,0,0,0,0,0,0,,100,,271,84,15000,155,6004 6003 6002 6002 6001 6001,6025 6024 6014 6014 6013 6003,6072 6045 6021 6014 6013 6004,6098 6091 6042 6041 6026 6014,6098 6094 6078 6047 6042 6024,6146 6095 6091 6074 6047 6045,6147 6146 6095 6075 6074 6045,6195 6143 6124 6091 6076 6042,6197 6171 6142 6094 6093 6045,6192 6191 6124 6098 6095 6075,6224 6215 6194 6173 6147 6122,6228 6227 6193 6178 6144 6123,徐庶，字符直，颍川人。中平末年，徐庶替人报仇而杀人，在被官府缉拿之后由朋友暗中解救出来。徐庶闻知刘备仁德便化名单福而投奔刘备，被刘备拜为军师。曹操攻打荆州时，徐庶献计击败曹军并占领樊城。曹操设计骗得徐庶母亲并将徐庶诓诈到曹营，徐母因此而气愤自杀。徐庶在曹营不受一物，不献一计。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,4,,1085,1086,1087,0=0=1=0,0=1=0=0,,
60,庞统,3,5,军师,3,1229,414,175,124.1,42,17.7,87,50,0,87,125,12,5,50,,100,,109,81,15000,153,6004 6004 6003 6002 6001 6001,6024 6023 6014 6013 6011 6004,6075 6045 6025 6014 6013 6003,6097 6095 6048 6043 6022 6013,6097 6095 6076 6047 6042 6026,6148 6098 6092 6078 6042 6042,6147 6147 6096 6075 6072 6047,6196 6144 6124 6091 6071 6048,6193 6172 6143 6096 6094 6042,6198 6193 6128 6096 6096 6074,6224 6216 6196 6176 6141 6121,6225 6223 6192 6173 6143 6128,庞统，字士元，襄阳人。庞统人称“凤雏”，初任襄阳功曹，虽然颇有名气，但是因为相貌丑陋而没有受到孙权重用。刘备占领荆州时，诸葛亮推荐庞统，庞统受到刘备重视并和诸葛亮一起担任军师中郎将。建安十六年（公元２１１年），庞统献计刘备消灭西川刘璋，占领成都，在攻打雒城时庞统中箭身亡。卒后追赠关内侯，谥号靖侯。,resource/head_pic/PangTong.png,resource/hero_pic/PangTongA.jpg,resource/card_pic/PangTong.jpg,resource/bones/PangTong,skill,80,resource/bones/PangTong_e,90,150,4,,1187,1188,1189,1=0=2=0,0=1=2=0,1=16=3=22=0=龙飞凤舞 1=20=1=21=0=道法自然 1=9;7;2=2=35=0;0=智囊团 2=30=2=19=0=天师符 2=163=1=20=0=怒涛法履,1
61,凌统,4,4,弓兵,1,1126,445,160,113.8,44.9,16.5,0,0,0,0,0,0,0,0,,100,,265,42,15000,125,6004 6004 6003 6003 6002 6001,6028 6028 6014 6014 6012 6004,6073 6041 6023 6014 6012 6003,6098 6093 6042 6041 6025 6014,6097 6097 6072 6048 6044 6022,6143 6098 6091 6077 6046 6045,6147 6144 6091 6075 6071 6047,6198 6147 6128 6094 6075 6041,6197 6174 6145 6097 6095 6044,6195 6191 6125 6095 6094 6074,6221 6215 6195 6176 6146 6126,6223 6221 6198 6173 6148 6126,凌统，字公绩，吴郡余杭人。凌统十五岁时，其父凌操征战黄祖时被甘宁射死，凌统出任孙权军的别部司马，代理破贼都尉，管理其父的军队。后来凌统出任先锋率军攻打黄祖，大获全胜，升任承烈都尉，赤壁大战之后升任校尉。在吴魏交战于合肥期间，凌统先后出任沛国相、右都督，封荡寇中郎将、偏将军。凌统轻财重义，善待军士。病死时四十九岁。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,4,,1190,1191,1192,0=0=1=0,0=1=0=0,,
62,孙鲁班,4,4,弓兵,1,1131,436,157,114.4,44,16.2,0,0,0,0,0,0,0,0,,100,,265,23,15000,171,6004 6004 6003 6002 6001 6001,6028 6027 6013 6011 6011 6001,6075 6041 6023 6012 6011 6001,6095 6093 6044 6041 6024 6012,6095 6094 6078 6048 6046 6026,6142 6093 6092 6076 6044 6041,6147 6142 6095 6072 6072 6047,6196 6146 6124 6096 6077 6046,6197 6172 6142 6097 6092 6046,6195 6192 6121 6092 6091 6072,6227 6211 6194 6172 6147 6125,6223 6222 6198 6171 6143 6121,孙权之女,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,4,1,1193,1194,1195,0=0=1=0,0=1=0=0,,
63,韩当,4,4,弓兵,1,1095,431,169,110.7,43.5,17.4,0,0,0,0,0,0,0,0,,100,,265,21,15000,106,6004 6004 6003 6002 6002 6001,6028 6025 6014 6014 6013 6001,6074 6042 6022 6012 6011 6004,6096 6093 6045 6043 6022 6011,6097 6096 6073 6048 6046 6023,6142 6098 6095 6077 6045 6042,6146 6141 6098 6075 6075 6043,6198 6141 6127 6091 6076 6047,6195 6171 6145 6092 6092 6046,6195 6192 6122 6095 6093 6071,6223 6213 6193 6176 6148 6124,6226 6225 6197 6174 6143 6123,韩当，字义公，辽西令支人。韩当膂力过人，精熟弓马，深得孙坚赏识，初随孙坚四处征讨，任别部司马。孙策称霸江东时期，韩当出任先登校尉、安乐县令。赤壁大战期间，先后出任中郎将、偏将军、永昌太守。在抗击刘备伐吴之师期间，升任威烈将军，封都亭侯。黄武二年（公元２２３年），韩当率军平定丹阳叛军，后来病死。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,4,,1196,1197,1198,0=0=1=0,0=1=0=0,,
64,太史慈,4,4,弓兵,1,1135,445,158,114.7,44.9,16.3,0,62,0,12,200,25,45,0,,100,,121,26,15000,110,6004 6003 6002 6002 6001 6001,6025 6024 6014 6014 6013 6003,6077 6043 6024 6012 6011 6003,6095 6093 6047 6041 6023 6014,6097 6091 6071 6047 6045 6021,6143 6098 6097 6074 6045 6042,6141 6141 6098 6076 6075 6043,6198 6145 6122 6095 6073 6041,6196 6174 6148 6095 6092 6042,6197 6192 6126 6094 6092 6078,6224 6217 6194 6174 6141 6125,6228 6226 6191 6176 6142 6127,太史慈，字子义，东莱黄人。弓马熟练，箭法精良。年轻时受母亲之命救援北海孔融的危机。后为刘繇效力，曾与孙策交手数次，后因刘繇为孙策所败被俘。孙策爱才而拜慈为折冲中郎将。荆州刘表的侄子刘盘，骁勇善战，经常侵扰江东的于艾、西安诸县。慈前往拒敌，平定了刘盘之乱。,resource/head_pic/TaiShiCi.png,resource/hero_pic/TaiShiCiA.jpg,resource/card_pic/TaiShiCi.jpg,resource/bones/TaiShiCi,skill,80,resource/bones/TaiShiCi_e,90,150,4,,1088,1089,1090,0=0=1=3,1=0=3=0,1=25=1=18=0=文韬武略 1=41;65=2=30=0;0=百步穿杨 1=44;6;51;71=1;3=25;25=0;0=江东柱石 2=31=2=20=0=麒麟弓 2=164=3=21=0=流星斗靴,1
65,黄忠,3,4,弓兵,2,1097,453,158,110.9,45.7,16.3,87,50,0,50,162,12,20,0,,100,,180,14,15000,102,6004 6003 6003 6002 6001 6001,6026 6024 6014 6013 6012 6003,6076 6046 6023 6013 6011 6003,6096 6093 6048 6041 6023 6012,6094 6091 6071 6047 6042 6028,6147 6092 6091 6072 6047 6042,6146 6144 6093 6077 6076 6042,6192 6145 6126 6096 6071 6046,6197 6176 6148 6096 6093 6043,6197 6191 6122 6097 6094 6078,6221 6217 6192 6178 6144 6125,6224 6224 6194 6172 6146 6124,黄忠，字汉升，南阳人。原为刘表手下，和刘盘一同镇守长沙。刘表死后，黄忠先归属曹操、后随刘备入西川。夺西川战斗中总是冲锋在前，奋勇杀敌，勇冠三军。忠领兵争夺汉中，定军山战役，黄忠率众军斩杀魏名将夏侯渊，夺取汉中。黄忠因功被升为后将军，与关羽、张飞、马超并列。,resource/head_pic/HuangZhong.png,resource/hero_pic/HuangZhongA.jpg,resource/card_pic/HuangZhong.jpg,resource/bones/HuangZhong,skill,70,resource/bones/HuangZhong_e,90,150,4,,1091,1092,1093,0=2=1=0,0=1=0=2,1=70=1=24=0=生死之交 1=64;41=2=30=0;0=百步穿杨 1=15;1;16;17=3;1=25;25=0;0=五虎上将 2=31=2=23=0=麒麟弓 2=72=3=18=0=北地苍狼甲,1
66,于禁,2,4,弓兵,1,1101,427,156,111.3,43.1,16,62,25,100,0,125,37,25,0,,100,,511,22,15000,107,6004 6004 6003 6002 6002 6001,6028 6025 6012 6011 6011 6002,6076 6042 6027 6014 6013 6004,6095 6091 6047 6042 6027 6014,6096 6093 6076 6043 6042 6022,6145 6098 6091 6075 6047 6044,6147 6143 6096 6073 6071 6047,6198 6148 6126 6092 6077 6048,6194 6177 6145 6097 6095 6044,6194 6191 6123 6096 6095 6078,6224 6214 6193 6174 6145 6126,6225 6222 6196 6172 6146 6128,于禁，字文则，泰山鉅平人，三国时曹魏名将。弓马熟练，武艺出众。初在鲍信手下剿灭黄巾军，后归附曹操。参加过攻打吕布、张绣、袁绍的战事，因战功拜虎威将军、左将军。建安二十四（公元二一九年），助曹仁守樊城，不听庞德的进言，适遇大雨，被关羽水淹七军，兵败投降关羽。孙权夺取荆州后，被送还魏国，不久病死。,resource/head_pic/YuJin.png,resource/hero_pic/YuJinA.jpg,resource/card_pic/YuJin.jpg,resource/bones/YuJin,skill,70,resource/bones/YuJin_e,90,150,4,,1199,1200,1201,3=1=0=2,0=3=0=1,1=98=2=24=0=箭与狂刀 1=41=1=20=0=勇力绝人 1=18;46;69;39=1;3=25;25=0;0=五子良将 2=28=2=20=0=倚天剑 2=72=3=23=0=北地苍狼甲,1
67,陆抗,4,4,弓兵,1,1119,426,159,113.1,43,16.4,0,0,0,0,0,0,0,0,,100,,265,87,15000,158,6004 6003 6003 6002 6002 6001,6026 6022 6014 6013 6011 6004,6073 6048 6026 6014 6013 6002,6096 6094 6047 6043 6027 6011,6098 6097 6071 6044 6042 6028,6144 6097 6094 6078 6043 6043,6145 6145 6093 6077 6073 6043,6194 6147 6126 6093 6073 6042,6191 6174 6145 6093 6091 6044,6193 6192 6125 6095 6091 6075,6223 6218 6194 6171 6143 6123,6226 6225 6192 6172 6141 6124,陆抗，字幼节，陆逊次子，吴郡吴人。陆抗足智多谋，率众平定了西陵步阐的叛乱。又奉命屯兵江口，以图襄阳。晋派羊祜镇守襄阳，陆抗与羊祜英雄相惜，自守疆界，不动干戈。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,4,,1202,1203,1204,0=0=1=0,0=1=0=0,,
68,孟获,3,1,步兵,1,2241,253,297,226.1,25.7,29.9,112,25,75,62,50,37,0,62,,100,,162,36,15000,119,6004 6004 6003 6003 6002 6001,6025 6022 6014 6011 6011 6003,6073 6041 6027 6013 6011 6001,6095 6093 6042 6042 6025 6012,6094 6091 6072 6046 6042 6025,6143 6094 6092 6077 6043 6043,6145 6145 6092 6074 6071 6043,6197 6147 6127 6097 6072 6045,6197 6178 6145 6097 6097 6048,6196 6191 6128 6094 6094 6078,6222 6218 6197 6176 6144 6121,6228 6226 6195 6177 6147 6122,孟获，南蛮大王。于建兴三年大起蛮兵十万造反。诸葛亮引军五月渡泸，深入不毛之地，诸葛亮以孟获在当地夷、汉人中威望甚高，乃采马谡“攻心为上”之策，定计将其生俘，智破蛮军，七擒七纵孟获。孟获自知羞惭，乃心服，遂举族拜降，永不复反。自此终诸葛亮之世，南方无大叛乱。,resource/head_pic/MengHuo.png,resource/hero_pic/MengHuoA.jpg,resource/card_pic/MengHuo.jpg,resource/bones/MengHuo,skill,80,resource/bones/MengHuo_e,90,150,4,,1205,1206,1207,1=2=0=0,1=0=2=0,1=53=1=18=0=南蛮入侵 1=9=2=24=0=七擒七纵 1=98;176;43=3=35=0;0=野蛮硬汉 2=66=3=19=0=狂龙火胄 2=104=1=21=0=牛魔面甲,
69,徐晃,2,1,步兵,2,2335,259,300,235.6,26.3,30.2,50,37,162,37,37,62,0,37,,100,,515,60,15000,139,6004 6004 6003 6002 6002 6001,6027 6027 6014 6013 6013 6004,6078 6046 6024 6013 6011 6003,6096 6091 6048 6047 6027 6011,6095 6093 6074 6045 6043 6023,6148 6097 6097 6071 6047 6041,6146 6142 6097 6073 6072 6042,6192 6143 6125 6093 6073 6048,6197 6175 6146 6093 6092 6042,6196 6192 6125 6092 6091 6078,6222 6217 6194 6175 6142 6122,6227 6224 6196 6175 6143 6121,徐晃，字公明，河东杨郡人。原为杨奉部将，后归附曹操，深得曹操喜爱。个性审慎多思虑，有勇有谋又公私分明，曾在官渡之战、征讨乌桓时立下功劳，乃曹操手下难得将才。他治军纪律之严明，为魏国之冠，在阵上杀敌时，又常能身先士卒、勇冠三军，连曹操亦不禁赞叹他：『徐将军可谓有周亚夫之风矣』。,resource/head_pic/XuHuang.png,resource/hero_pic/XuHuangA.jpg,resource/card_pic/XuHuang.jpg,resource/bones/XuHuang,skill,80,resource/bones/XuHuang_e,90,150,4,,1208,1209,1210,0=1=2=0,0=1=2=0,1=6=1=20=0=刀斧相拼 1=4=3=23=0=曹魏健将 1=18;46;66;39=1;2=25;25=0;0=五子良将 2=17=2=18=0=贯石斧 2=69=3=23=0=亮银狮子铠,1
70,魏延,3,1,步兵,2,2201,269,291,222,27.3,29.3,112,12,75,62,75,50,10,12,,100,,501,54,15000,133,6003 6003 6002 6002 6001 6001,6021 6021 6014 6012 6011 6004,6077 6041 6024 6014 6014 6001,6097 6094 6042 6041 6022 6013,6095 6092 6073 6046 6043 6028,6145 6097 6094 6077 6048 6046,6141 6141 6094 6074 6073 6045,6192 6148 6128 6098 6072 6047,6193 6176 6144 6096 6092 6042,6194 6192 6126 6093 6091 6072,6228 6212 6191 6171 6148 6121,6228 6223 6192 6171 6145 6125,魏延，字文长，义阳人。蜀汉名将，他跟随刘备入川后表现突出，得到刘备器重，屡次被委以重任。诸葛亮北伐时期，魏延作为诸葛亮的左膀右臂，为蜀汉立下了汗马功劳。魏延为人孤高，善养兵卒，勇猛过人，但是和蜀汉重臣杨仪不和。诸葛亮死后，魏延率军欲杀杨仪，反被杨仪派马岱杀死。,resource/head_pic/WeiYan.png,resource/hero_pic/WeiYanA.jpg,resource/card_pic/WeiYan.jpg,resource/bones/WeiYan,skill,80,resource/bones/WeiYan_e,90,150,4,,1211,1212,1213,0=1=2=0,0=1=2=0,1=65=1=21=0=生死之交 1=9=2=19=0=脑后反骨 1=71=3=30=0=巍然不动 2=32=2=21=0=亢龙锏 2=61=3=19=0=连环甲,1
71,周泰,4,1,步兵,1,2212,250,312,223.2,25.4,31.4,25,75,75,25,112,37,25,12,,100,,517,88,15000,159,6004 6004 6003 6003 6002 6001,6025 6024 6014 6013 6013 6001,6071 6041 6025 6014 6012 6002,6095 6095 6046 6043 6024 6012,6096 6091 6077 6046 6041 6028,6148 6095 6094 6077 6047 6044,6145 6142 6097 6073 6072 6047,6197 6146 6126 6095 6078 6048,6194 6172 6147 6092 6092 6042,6198 6191 6125 6098 6097 6071,6228 6214 6198 6171 6142 6124,6226 6223 6193 6173 6145 6124,周泰，字幼平，九江郡下蔡人。周泰与蒋钦一起追随孙策，为左右重臣。孙策占领会稽之后，周泰任别部司马，孙权喜欢周泰为人，让周泰归到自己部下，曾因舍命救孙权而任春古县令。在战黄祖，拒曹操，征南郡等战役中，因功而升任平虏将军。孙权消灭关羽之后，封周泰为汉中太守、奋威将军，封陵阳侯。黄武年间，周泰去世。,resource/head_pic/ZhouTai.png,resource/hero_pic/ZhouTaiA.jpg,resource/card_pic/ZhouTai.jpg,resource/bones/ZhouTai,skill,80,resource/bones/ZhouTai_e,90,,3,,1214,1215,1216,0=0=1=0,0=1=0=0,1=5=2=20=0=拼死救主 1=70=1=18=0=巍然不动 1=44;64;6;51=2;3=25;25=0;0=江东柱石 2=117=1=21=0=鎏金盔 2=74=3=23=0=仁王盾,1
72,黄盖,4,1,步兵,1,2185,255,291,220.5,25.9,29.3,0,0,0,0,0,0,0,0,,100,,253,71,15000,146,6004 6004 6003 6003 6001 6001,6027 6026 6014 6014 6012 6001,6071 6044 6024 6013 6012 6001,6095 6094 6047 6045 6025 6012,6096 6091 6072 6047 6043 6027,6148 6095 6093 6076 6044 6043,6147 6146 6093 6078 6077 6047,6191 6142 6125 6095 6072 6045,6193 6173 6148 6094 6092 6042,6197 6192 6122 6096 6093 6074,6224 6214 6191 6178 6145 6123,6228 6227 6193 6176 6143 6124,黄盖，字公覆，零陵郡泉陵人。黄盖从小历尽艰辛，虽处贫贱而不愿平庸，常在砍柴间隙读书识字，研习兵书。黄盖初为郡衙差役，后举孝廉。后在辅佐孙策、孙权期间亦屡立战功。赤壁大战期间使用苦肉计成功烧毁曹操水军，被封为武锋中郎将。曾经平定武陵少数民族反叛，任武陵太守、偏将军。在任期间病死。黄盖为人严肃，善于教育士众。据载，黄盖死后，吴国臣民四季供奉其画像。,resource/head_pic/HuangGai.png,resource/hero_pic/HuangGaiA.jpg,resource/card_pic/HuangGai.jpg,resource/bones/bubing2_y,skill2,65,,,,4,,1217,1218,1219,0=0=1=0,0=1=0=0,,
73,典韦,2,1,步兵,1,2243,256,289,226.3,26,29.1,50,12,200,50,12,87,0,12,,100,,253,55,15000,134,6004 6004 6003 6003 6002 6001,6027 6024 6014 6013 6013 6004,6073 6048 6027 6014 6012 6002,6098 6092 6045 6041 6028 6012,6098 6094 6076 6045 6043 6021,6146 6098 6096 6072 6046 6042,6144 6143 6096 6077 6076 6045,6196 6141 6123 6093 6074 6046,6193 6175 6144 6096 6094 6045,6197 6192 6124 6097 6092 6071,6221 6218 6196 6172 6142 6122,6228 6224 6194 6177 6142 6127,典韦，陈留己吾人。三国时曹魏猛将。擅使大双戟，为人壮猛任侠。初属张邈，后属夏侯惇。曹操讨吕布于濮阳时，典韦奋力勇战，为曹操所异，韦既壮武，其所将皆选率。因其人忠诚谨重，被曹操任为近侍，迁为都尉，置之于左右。宛城之役，遭受张绣夜袭曹营，典韦死守辕门，奋力迎敌，拚命挡在门前，让曹操得以逃离，终壮烈殉主。,resource/head_pic/DianWei.png,resource/hero_pic/DianWeiA.jpg,resource/card_pic/DianWei.jpg,resource/bones/bubing2_y,skill2,65,,,,3,,1220,1221,1222,0=0=1=0,0=1=0=0,,
