将星点ID,将星点名称,类型ID,阵营ID,属性ID,属性名,属性值,消耗,银币消耗,x坐标,y坐标,,
3304,朱雀六_4,3,4,1,生命,240,3076,19887,-215,45,,
3305,朱雀六_5,3,1,2,攻击,60,3091,20063,-90,110,,
3306,朱雀六_6,3,2,3,防御,150,3106,20240,-80,-10,,
3307,朱雀六_7,3,3,1,生命,240,3121,20419,0,-140,,
3308,朱雀六_8,3,4,2,攻击,60,3136,20599,110,-65,,
3309,朱雀六_9,3,1,3,防御,150,3151,20781,75,80,,
3310,朱雀六_10,3,2,1,生命,240,3166,20965,215,-65,,
3311,朱雀六_11,3,3,2,攻击,60,3181,21150,230,60,,
3312,朱雀六_12,3,4,3,防御,150,3196,21337,350,-70,,
3401,玄武六_1,4,1,1,生命,240,3211,21525,-345,-140,,
3402,玄武六_2,4,2,2,攻击,60,3226,21715,-295,0,,
3403,玄武六_3,4,3,3,防御,150,3241,21907,-175,-115,,
3404,玄武六_4,4,4,1,生命,240,3257,22100,-215,45,,
3405,玄武六_5,4,1,2,攻击,60,3272,22295,-90,110,,
3406,玄武六_6,4,2,3,防御,150,3287,22491,-80,-10,,
3407,玄武六_7,4,3,1,生命,240,3303,22690,0,-140,,
3408,玄武六_8,4,4,2,攻击,60,3318,22890,110,-65,,
3409,玄武六_9,4,1,3,防御,150,3334,23092,75,80,,
3410,玄武六_10,4,2,1,生命,240,3349,23295,215,-65,,
3411,玄武六_11,4,3,2,攻击,60,3365,23500,230,60,,
3412,玄武六_12,4,4,3,防御,150,3380,23708,350,-70,,
3501,天狼六_1,5,1,1,生命,240,3396,23917,-345,-140,,
3502,天狼六_2,5,2,2,攻击,60,3411,24127,-295,0,,
3503,天狼六_3,5,3,3,防御,150,3427,24340,-175,-115,,
3504,天狼六_4,5,4,1,生命,240,3443,24554,-215,45,,
3505,天狼六_5,5,1,2,攻击,60,3458,24771,-90,110,,
3506,天狼六_6,5,2,3,防御,150,3474,24989,-80,-10,,
3507,天狼六_7,5,3,1,生命,240,3490,25209,0,-140,,
3508,天狼六_8,5,4,2,攻击,60,3506,25431,110,-65,,
3509,天狼六_9,5,1,3,防御,150,3522,25655,75,80,,
3510,天狼六_10,5,2,1,生命,240,3538,25880,215,-65,,
3511,天狼六_11,5,3,2,攻击,60,3554,26108,230,60,,
3512,天狼六_12,5,4,3,防御,150,3570,26338,350,-70,,
3601,麒麟六_1,6,1,1,生命,240,3586,26570,-345,-140,,
3602,麒麟六_2,6,2,2,攻击,60,3602,26804,-295,0,,
3603,麒麟六_3,6,3,3,防御,150,3618,27039,-175,-115,,
3604,麒麟六_4,6,4,1,生命,240,3634,27277,-215,45,,
3605,麒麟六_5,6,1,2,攻击,60,3650,27517,-90,110,,
3606,麒麟六_6,6,2,3,防御,150,3666,27759,-80,-10,,
3607,麒麟六_7,6,3,1,生命,240,3682,28003,0,-140,,
3608,麒麟六_8,6,4,2,攻击,60,3699,28250,110,-65,,
3609,麒麟六_9,6,1,3,防御,150,3715,28498,75,80,,
3610,麒麟六_10,6,2,1,生命,240,3731,28749,215,-65,,
3611,麒麟六_11,6,3,2,攻击,60,3748,29001,230,60,,
3612,麒麟六_12,6,4,3,防御,150,3764,29256,350,-70,,
3701,青龙七_1,1,1,1,生命,264,3781,29514,-345,-140,,
3702,青龙七_2,1,2,2,攻击,66,3797,29773,-295,0,,
3703,青龙七_3,1,3,3,防御,165,3814,30035,-175,-115,,
3704,青龙七_4,1,4,1,生命,264,3830,30299,-215,45,,
3705,青龙七_5,1,1,2,攻击,66,3847,30565,-90,110,,
3706,青龙七_6,1,2,3,防御,165,3863,30833,-80,-10,,
3707,青龙七_7,1,3,1,生命,264,3880,31104,0,-140,,
3708,青龙七_8,1,4,2,攻击,66,3897,31377,110,-65,,
3709,青龙七_9,1,1,3,防御,165,3913,31653,75,80,,
3710,青龙七_10,1,2,1,生命,264,3930,31931,215,-65,,
3711,青龙七_11,1,3,2,攻击,66,3947,32211,230,60,,
3712,青龙七_12,1,4,3,防御,165,3964,32494,350,-70,,
3801,白虎七_1,2,1,1,生命,264,3981,32780,-345,-140,,
3802,白虎七_2,2,2,2,攻击,66,3998,33067,-295,0,,
3803,白虎七_3,2,3,3,防御,165,4015,33358,-175,-115,,
3804,白虎七_4,2,4,1,生命,264,4032,33651,-215,45,,
3805,白虎七_5,2,1,2,攻击,66,4049,33946,-90,110,,
3806,白虎七_6,2,2,3,防御,165,4066,34244,-80,-10,,
3807,白虎七_7,2,3,1,生命,264,4083,34545,0,-140,,
3808,白虎七_8,2,4,2,攻击,66,4100,34848,110,-65,,
3809,白虎七_9,2,1,3,防御,165,4117,35154,75,80,,
3810,白虎七_10,2,2,1,生命,264,4134,35462,215,-65,,
3811,白虎七_11,2,3,2,攻击,66,4151,35773,230,60,,
3812,白虎七_12,2,4,3,防御,165,4169,36087,350,-70,,
3901,朱雀七_1,3,1,1,生命,264,4186,36404,-345,-140,,
3902,朱雀七_2,3,2,2,攻击,66,4203,36723,-295,0,,
3903,朱雀七_3,3,3,3,防御,165,4221,37045,-175,-115,,
3904,朱雀七_4,3,4,1,生命,264,4238,37370,-215,45,,
3905,朱雀七_5,3,1,2,攻击,66,4256,37698,-90,110,,
3906,朱雀七_6,3,2,3,防御,165,4273,38028,-80,-10,,
3907,朱雀七_7,3,3,1,生命,264,4291,38362,0,-140,,
3908,朱雀七_8,3,4,2,攻击,66,4308,38698,110,-65,,
3909,朱雀七_9,3,1,3,防御,165,4326,39038,75,80,,
3910,朱雀七_10,3,2,1,生命,264,4343,39380,215,-65,,
3911,朱雀七_11,3,3,2,攻击,66,4361,39725,230,60,,
3912,朱雀七_12,3,4,3,防御,165,4379,40073,350,-70,,
4001,玄武七_1,4,1,1,生命,264,4396,40425,-345,-140,,
4002,玄武七_2,4,2,2,攻击,66,4414,40779,-295,0,,
4003,玄武七_3,4,3,3,防御,165,4432,41137,-175,-115,,
4004,玄武七_4,4,4,1,生命,264,4450,41497,-215,45,,
4005,玄武七_5,4,1,2,攻击,66,4468,41861,-90,110,,
4006,玄武七_6,4,2,3,防御,165,4486,42228,-80,-10,,
4007,玄武七_7,4,3,1,生命,264,4504,42598,0,-140,,
4008,玄武七_8,4,4,2,攻击,66,4522,42971,110,-65,,
4009,玄武七_9,4,1,3,防御,165,4540,43348,75,80,,
4010,玄武七_10,4,2,1,生命,264,4558,43727,215,-65,,
4011,玄武七_11,4,3,2,攻击,66,4576,44111,230,60,,
4012,玄武七_12,4,4,3,防御,165,4594,44497,350,-70,,
4101,天狼七_1,5,1,1,生命,264,4612,44887,-345,-140,,
4102,天狼七_2,5,2,2,攻击,66,4630,45280,-295,0,,
4103,天狼七_3,5,3,3,防御,165,4648,45677,-175,-115,,
4104,天狼七_4,5,4,1,生命,264,4667,46077,-215,45,,
4105,天狼七_5,5,1,2,攻击,66,4685,46480,-90,110,,
4106,天狼七_6,5,2,3,防御,165,4703,46887,-80,-10,,
4107,天狼七_7,5,3,1,生命,264,4722,47298,0,-140,,
4108,天狼七_8,5,4,2,攻击,66,4740,47712,110,-65,,
4109,天狼七_9,5,1,3,防御,165,4759,48130,75,80,,
4110,天狼七_10,5,2,1,生命,264,4777,48552,215,-65,,
4111,天狼七_11,5,3,2,攻击,66,4796,48977,230,60,,
4112,天狼七_12,5,4,3,防御,165,4814,49406,350,-70,,
4201,麒麟七_1,6,1,1,生命,264,4833,49838,-345,-140,,
4202,麒麟七_2,6,2,2,攻击,66,4851,50275,-295,0,,
4203,麒麟七_3,6,3,3,防御,165,4870,50715,-175,-115,,
4204,麒麟七_4,6,4,1,生命,264,4889,51159,-215,45,,
4205,麒麟七_5,6,1,2,攻击,66,4907,51607,-90,110,,
4206,麒麟七_6,6,2,3,防御,165,4926,52058,-80,-10,,
4207,麒麟七_7,6,3,1,生命,264,4945,52514,0,-140,,
4208,麒麟七_8,6,4,2,攻击,66,4964,52974,110,-65,,
4209,麒麟七_9,6,1,3,防御,165,4983,53438,75,80,,
4210,麒麟七_10,6,2,1,生命,264,5002,53905,215,-65,,
4211,麒麟七_11,6,3,2,攻击,66,5021,54377,230,60,,
4212,麒麟七_12,6,4,3,防御,165,5040,54853,350,-70,,
4301,青龙八_1,1,1,1,生命,288,5059,55333,-345,-140,,
4302,青龙八_2,1,2,2,攻击,72,5078,55817,-295,0,,
4303,青龙八_3,1,3,3,防御,180,5097,56306,-175,-115,,
4304,青龙八_4,1,4,1,生命,288,5116,56799,-215,45,,
4305,青龙八_5,1,1,2,攻击,72,5135,57296,-90,110,,
4306,青龙八_6,1,2,3,防御,180,5154,57797,-80,-10,,
4307,青龙八_7,1,3,1,生命,288,5173,58303,0,-140,,
4308,青龙八_8,1,4,2,攻击,72,5193,58813,110,-65,,
4309,青龙八_9,1,1,3,防御,180,5212,59327,75,80,,
4310,青龙八_10,1,2,1,生命,288,5231,59847,215,-65,,
4311,青龙八_11,1,3,2,攻击,72,5251,60370,230,60,,
4312,青龙八_12,1,4,3,防御,180,5270,60898,350,-70,,
4401,白虎八_1,2,1,1,生命,288,5290,61431,-345,-140,,
4402,白虎八_2,2,2,2,攻击,72,5309,61969,-295,0,,
4403,白虎八_3,2,3,3,防御,180,5329,62511,-175,-115,,
4404,白虎八_4,2,4,1,生命,288,5348,63058,-215,45,,
4405,白虎八_5,2,1,2,攻击,72,5368,63609,-90,110,,
4406,白虎八_6,2,2,3,防御,180,5387,64166,-80,-10,,
4407,白虎八_7,2,3,1,生命,288,5407,64727,0,-140,,
4408,白虎八_8,2,4,2,攻击,72,5427,65293,110,-65,,
4409,白虎八_9,2,1,3,防御,180,5446,65864,75,80,,
4410,白虎八_10,2,2,1,生命,288,5466,66440,215,-65,,
4411,白虎八_11,2,3,2,攻击,72,5486,67021,230,60,,
4412,白虎八_12,2,4,3,防御,180,5506,67608,350,-70,,
4501,朱雀八_1,3,1,1,生命,288,5526,68199,-345,-140,,
4502,朱雀八_2,3,2,2,攻击,72,5546,68795,-295,0,,
4503,朱雀八_3,3,3,3,防御,180,5566,69397,-175,-115,,
4504,朱雀八_4,3,4,1,生命,288,5586,70004,-215,45,,
4505,朱雀八_5,3,1,2,攻击,72,5606,70616,-90,110,,
4506,朱雀八_6,3,2,3,防御,180,5626,71234,-80,-10,,
4507,朱雀八_7,3,3,1,生命,288,5646,71857,0,-140,,
4508,朱雀八_8,3,4,2,攻击,72,5666,72485,110,-65,,
4509,朱雀八_9,3,1,3,防御,180,5686,73119,75,80,,
4510,朱雀八_10,3,2,1,生命,288,5706,73759,215,-65,,
4511,朱雀八_11,3,3,2,攻击,72,5726,74404,230,60,,
4512,朱雀八_12,3,4,3,防御,180,5747,75054,350,-70,,
4601,玄武八_1,4,1,1,生命,288,5767,75710,-345,-140,,
4602,玄武八_2,4,2,2,攻击,72,5787,76373,-295,0,,
4603,玄武八_3,4,3,3,防御,180,5808,77040,-175,-115,,
4604,玄武八_4,4,4,1,生命,288,5828,77714,-215,45,,
4605,玄武八_5,4,1,2,攻击,72,5849,78394,-90,110,,
4606,玄武八_6,4,2,3,防御,180,5869,79079,-80,-10,,
4607,玄武八_7,4,3,1,生命,288,5890,79770,0,-140,,
4608,玄武八_8,4,4,2,攻击,72,5910,80468,110,-65,,
4609,玄武八_9,4,1,3,防御,180,5931,81172,75,80,,
4610,玄武八_10,4,2,1,生命,288,5951,81881,215,-65,,
4611,玄武八_11,4,3,2,攻击,72,5972,82597,230,60,,
4612,玄武八_12,4,4,3,防御,180,5993,83319,350,-70,,
4701,天狼八_1,5,1,1,生命,288,6013,84048,-345,-140,,
4702,天狼八_2,5,2,2,攻击,72,6034,84783,-295,0,,
4703,天狼八_3,5,3,3,防御,180,6055,85524,-175,-115,,
4704,天狼八_4,5,4,1,生命,288,6076,86272,-215,45,,
4705,天狼八_5,5,1,2,攻击,72,6097,87026,-90,110,,
4706,天狼八_6,5,2,3,防御,180,6118,87787,-80,-10,,
4707,天狼八_7,5,3,1,生命,288,6139,88554,0,-140,,
4708,天狼八_8,5,4,2,攻击,72,6160,89329,110,-65,,
4709,天狼八_9,5,1,3,防御,180,6181,90109,75,80,,
4710,天狼八_10,5,2,1,生命,288,6202,90897,215,-65,,
4711,天狼八_11,5,3,2,攻击,72,6223,91692,230,60,,
4712,天狼八_12,5,4,3,防御,180,6244,92494,350,-70,,
4801,麒麟八_1,6,1,1,生命,288,6265,93302,-345,-140,,
4802,麒麟八_2,6,2,2,攻击,72,6286,94118,-295,0,,
4803,麒麟八_3,6,3,3,防御,180,6307,94941,-175,-115,,
4804,麒麟八_4,6,4,1,生命,288,6329,95771,-215,45,,
4805,麒麟八_5,6,1,2,攻击,72,6350,96608,-90,110,,
4806,麒麟八_6,6,2,3,防御,180,6371,97453,-80,-10,,
4807,麒麟八_7,6,3,1,生命,288,6393,98305,0,-140,,
4808,麒麟八_8,6,4,2,攻击,72,6414,99164,110,-65,,
4809,麒麟八_9,6,1,3,防御,180,6436,100031,75,80,,
4810,麒麟八_10,6,2,1,生命,288,6457,100905,215,-65,,
4811,麒麟八_11,6,3,2,攻击,72,6479,101788,230,60,,
4812,麒麟八_12,6,4,3,防御,180,6500,102677,350,-70,,
4901,青龙九_1,1,1,1,生命,312,6522,103575,-345,-140,,
4902,青龙九_2,1,2,2,攻击,78,6543,104481,-295,0,,
4903,青龙九_3,1,3,3,防御,195,6565,105394,-175,-115,,
4904,青龙九_4,1,4,1,生命,312,6587,106315,-215,45,,
4905,青龙九_5,1,1,2,攻击,78,6608,107245,-90,110,,
4906,青龙九_6,1,2,3,防御,195,6630,108182,-80,-10,,
4907,青龙九_7,1,3,1,生命,312,6652,109128,0,-140,,
4908,青龙九_8,1,4,2,攻击,78,6674,110082,110,-65,,
4909,青龙九_9,1,1,3,防御,195,6696,111045,75,80,,
4910,青龙九_10,1,2,1,生命,312,6718,112015,215,-65,,
4911,青龙九_11,1,3,2,攻击,78,6740,112995,230,60,,
4912,青龙九_12,1,4,3,防御,195,6762,113982,350,-70,,
5001,白虎九_1,2,1,1,生命,312,6784,114979,-345,-140,,
5002,白虎九_2,2,2,2,攻击,78,6806,115984,-295,0,,
5003,白虎九_3,2,3,3,防御,195,6828,116998,-175,-115,,
5004,白虎九_4,2,4,1,生命,312,6850,118021,-215,45,,
5005,白虎九_5,2,1,2,攻击,78,6872,119053,-90,110,,
5006,白虎九_6,2,2,3,防御,195,6894,120094,-80,-10,,
5007,白虎九_7,2,3,1,生命,312,6916,121144,0,-140,,
5008,白虎九_8,2,4,2,攻击,78,6939,122203,110,-65,,
5009,白虎九_9,2,1,3,防御,195,6961,123271,75,80,,
5010,白虎九_10,2,2,1,生命,312,6983,124349,215,-65,,
5011,白虎九_11,2,3,2,攻击,78,7006,125436,230,60,,
5012,白虎九_12,2,4,3,防御,195,7028,126533,350,-70,,
5101,朱雀九_1,3,1,1,生命,312,7051,127639,-345,-140,,
5102,朱雀九_2,3,2,2,攻击,78,7073,128755,-295,0,,
5103,朱雀九_3,3,3,3,防御,195,7096,129881,-175,-115,,
5104,朱雀九_4,3,4,1,生命,312,7118,131017,-215,45,,
5105,朱雀九_5,3,1,2,攻击,78,7141,132162,-90,110,,
5106,朱雀九_6,3,2,3,防御,195,7163,133318,-80,-10,,
5107,朱雀九_7,3,3,1,生命,312,7186,134483,0,-140,,
5108,朱雀九_8,3,4,2,攻击,78,7209,135659,110,-65,,
5109,朱雀九_9,3,1,3,防御,195,7231,136845,75,80,,
5110,朱雀九_10,3,2,1,生命,312,7254,138042,215,-65,,
5111,朱雀九_11,3,3,2,攻击,78,7277,139249,230,60,,
5112,朱雀九_12,3,4,3,防御,195,7300,140467,350,-70,,
5201,玄武九_1,4,1,1,生命,312,7323,141695,-345,-140,,
5202,玄武九_2,4,2,2,攻击,78,7346,142934,-295,0,,
5203,玄武九_3,4,3,3,防御,195,7369,144184,-175,-115,,
5204,玄武九_4,4,4,1,生命,312,7392,145445,-215,45,,
5205,玄武九_5,4,1,2,攻击,78,7415,146717,-90,110,,
5206,玄武九_6,4,2,3,防御,195,7438,148000,-80,-10,,
5207,玄武九_7,4,3,1,生命,312,7461,149294,0,-140,,
5208,玄武九_8,4,4,2,攻击,78,7484,150599,110,-65,,
5209,玄武九_9,4,1,3,防御,195,7507,151916,75,80,,
5210,玄武九_10,4,2,1,生命,312,7530,153245,215,-65,,
5211,玄武九_11,4,3,2,攻击,78,7553,154585,230,60,,
5212,玄武九_12,4,4,3,防御,195,7577,155937,350,-70,,
5301,天狼九_1,5,1,1,生命,312,7600,157301,-345,-140,,
5302,天狼九_2,5,2,2,攻击,78,7623,158677,-295,0,,
5303,天狼九_3,5,3,3,防御,195,7647,160064,-175,-115,,
5304,天狼九_4,5,4,1,生命,312,7670,161464,-215,45,,
5305,天狼九_5,5,1,2,攻击,78,7694,162876,-90,110,,
5306,天狼九_6,5,2,3,防御,195,7717,164301,-80,-10,,
5307,天狼九_7,5,3,1,生命,312,7741,165738,0,-140,,
5308,天狼九_8,5,4,2,攻击,78,7764,167188,110,-65,,
5309,天狼九_9,5,1,3,防御,195,7788,168650,75,80,,
5310,天狼九_10,5,2,1,生命,312,7811,170125,215,-65,,
5311,天狼九_11,5,3,2,攻击,78,7835,171613,230,60,,
5312,天狼九_12,5,4,3,防御,195,7859,173114,350,-70,,
5401,麒麟九_1,6,1,1,生命,312,7882,174629,-345,-140,,
5402,麒麟九_2,6,2,2,攻击,78,7906,176156,-295,0,,
5403,麒麟九_3,6,3,3,防御,195,7930,177697,-175,-115,,
5404,麒麟九_4,6,4,1,生命,312,7954,179252,-215,45,,
5405,麒麟九_5,6,1,2,攻击,78,7978,180820,-90,110,,
5406,麒麟九_6,6,2,3,防御,195,8002,182402,-80,-10,,
5407,麒麟九_7,6,3,1,生命,312,8026,183997,0,-140,,
5408,麒麟九_8,6,4,2,攻击,78,8050,185607,110,-65,,
5409,麒麟九_9,6,1,3,防御,195,8074,187231,75,80,,
5410,麒麟九_10,6,2,1,生命,312,8098,188869,215,-65,,
5411,麒麟九_11,6,3,2,攻击,78,8122,190521,230,60,,
5412,麒麟九_12,6,4,3,防御,195,8146,192188,350,-70,,
5501,青龙十_1,1,1,1,生命,336,8170,193870,-345,-140,,
5502,青龙十_2,1,2,2,攻击,84,8194,195566,-295,0,,
5503,青龙十_3,1,3,3,防御,210,8218,197277,-175,-115,,
5504,青龙十_4,1,4,1,生命,336,8243,199003,-215,45,,
5505,青龙十_5,1,1,2,攻击,84,8267,200745,-90,110,,
5506,青龙十_6,1,2,3,防御,210,8291,202501,-80,-10,,
5507,青龙十_7,1,3,1,生命,336,8316,204273,0,-140,,
5508,青龙十_8,1,4,2,攻击,84,8340,206061,110,-65,,
5509,青龙十_9,1,1,3,防御,210,8365,207864,75,80,,
5510,青龙十_10,1,2,1,生命,336,8389,209683,215,-65,,
5511,青龙十_11,1,3,2,攻击,84,8414,211518,230,60,,
5512,青龙十_12,1,4,3,防御,210,8438,213369,350,-70,,
5601,白虎十_1,2,1,1,生命,336,8463,215237,-345,-140,,
5602,白虎十_2,2,2,2,攻击,84,8487,217120,-295,0,,
5603,白虎十_3,2,3,3,防御,210,8512,219021,-175,-115,,
5604,白虎十_4,2,4,1,生命,336,8537,220938,-215,45,,
5605,白虎十_5,2,1,2,攻击,84,8561,222871,-90,110,,
5606,白虎十_6,2,2,3,防御,210,8586,224822,-80,-10,,
5607,白虎十_7,2,3,1,生命,336,8611,226790,0,-140,,
5608,白虎十_8,2,4,2,攻击,84,8636,228775,110,-65,,
5609,白虎十_9,2,1,3,防御,210,8661,230778,75,80,,
5610,白虎十_10,2,2,1,生命,336,8686,232798,215,-65,,
5611,白虎十_11,2,3,2,攻击,84,8711,234836,230,60,,
5612,白虎十_12,2,4,3,防御,210,8736,236891,350,-70,,
5701,朱雀十_1,3,1,1,生命,336,8761,238965,-345,-140,,
5702,朱雀十_2,3,2,2,攻击,84,8786,241057,-295,0,,
5703,朱雀十_3,3,3,3,防御,210,8811,243168,-175,-115,,
5704,朱雀十_4,3,4,1,生命,336,8836,245296,-215,45,,
5705,朱雀十_5,3,1,2,攻击,84,8861,247444,-90,110,,
5706,朱雀十_6,3,2,3,防御,210,8886,249611,-80,-10,,
5707,朱雀十_7,3,3,1,生命,336,8911,251796,0,-140,,
5708,朱雀十_8,3,4,2,攻击,84,8937,254001,110,-65,,
5709,朱雀十_9,3,1,3,防御,210,8962,256225,75,80,,
5710,朱雀十_10,3,2,1,生命,336,8987,258468,215,-65,,
5711,朱雀十_11,3,3,2,攻击,84,9013,260732,230,60,,
5712,朱雀十_12,3,4,3,防御,210,9038,263015,350,-70,,
5801,玄武十_1,4,1,1,生命,336,9064,265318,-345,-140,,
5802,玄武十_2,4,2,2,攻击,84,9089,267642,-295,0,,
5803,玄武十_3,4,3,3,防御,210,9115,269985,-175,-115,,
5804,玄武十_4,4,4,1,生命,336,9140,272350,-215,45,,
5805,玄武十_5,4,1,2,攻击,84,9166,274735,-90,110,,
5806,玄武十_6,4,2,3,防御,210,9191,277141,-80,-10,,
5807,玄武十_7,4,3,1,生命,336,9217,279569,0,-140,,
5808,玄武十_8,4,4,2,攻击,84,9243,282017,110,-65,,
5809,玄武十_9,4,1,3,防御,210,9268,284488,75,80,,
5810,玄武十_10,4,2,1,生命,336,9294,286980,215,-65,,
5811,玄武十_11,4,3,2,攻击,84,9320,289493,230,60,,
5812,玄武十_12,4,4,3,防御,210,9346,292029,350,-70,,
5901,天狼十_1,5,1,1,生命,336,9372,294588,-345,-140,,
5902,天狼十_2,5,2,2,攻击,84,9398,297168,-295,0,,
5903,天狼十_3,5,3,3,防御,210,9424,299772,-175,-115,,
5904,天狼十_4,5,4,1,生命,336,9450,302398,-215,45,,
5905,天狼十_5,5,1,2,攻击,84,9476,305047,-90,110,,
5906,天狼十_6,5,2,3,防御,210,9502,307720,-80,-10,,
5907,天狼十_7,5,3,1,生命,336,9528,310416,0,-140,,
5908,天狼十_8,5,4,2,攻击,84,9554,313136,110,-65,,
5909,天狼十_9,5,1,3,防御,210,9580,315880,75,80,,
5910,天狼十_10,5,2,1,生命,336,9606,318648,215,-65,,
5911,天狼十_11,5,3,2,攻击,84,9632,321440,230,60,,
5912,天狼十_12,5,4,3,防御,210,9659,324257,350,-70,,
6001,麒麟十_1,6,1,1,生命,336,9685,327098,-345,-140,,
6002,麒麟十_2,6,2,2,攻击,84,9711,329965,-295,0,,
6003,麒麟十_3,6,3,3,防御,210,9738,332856,-175,-115,,
6004,麒麟十_4,6,4,1,生命,336,9764,335774,-215,45,,
6005,麒麟十_5,6,1,2,攻击,84,9791,338717,-90,110,,
6006,麒麟十_6,6,2,3,防御,210,9817,341685,-80,-10,,
6007,麒麟十_7,6,3,1,生命,336,9844,344680,0,-140,,
6008,麒麟十_8,6,4,2,攻击,84,9870,347701,110,-65,,
6009,麒麟十_9,6,1,3,防御,210,9897,350749,75,80,,
6010,麒麟十_10,6,2,1,生命,336,9923,353824,215,-65,,
6011,麒麟十_11,6,3,2,攻击,84,9950,356926,230,60,,
6012,麒麟十_12,6,4,3,防御,210,9977,360055,350,-70,,
