技能id,等级,需要材料,需要银币,需求等级
1053,20,34=50,128000,95
1054,1,31=1,0,0
1054,2,31=2,500,6
1054,3,31=3,1000,10
1054,4,31=4,2000,15
1054,5,31=5,4000,20
1054,6,32=6,8000,25
1054,7,32=8,10000,30
1054,8,32=10,12000,35
1054,9,32=12,14000,40
1054,10,32=14,16000,45
1054,11,33=17,32000,50
1054,12,33=20,36000,55
1054,13,33=23,40000,60
1054,14,33=26,44000,65
1054,15,33=30,48000,70
1054,16,34=34,96000,75
1054,17,34=38,104000,80
1054,18,34=42,112000,85
1054,19,34=46,120000,90
1054,20,34=50,128000,95
1055,1,31=1,0,0
1055,2,31=2,500,6
1055,3,31=3,1000,10
1055,4,31=4,2000,15
1055,5,31=5,4000,20
1055,6,32=6,8000,25
1055,7,32=8,10000,30
1055,8,32=10,12000,35
1055,9,32=12,14000,40
1055,10,32=14,16000,45
1055,11,33=17,32000,50
1055,12,33=20,36000,55
1055,13,33=23,40000,60
1055,14,33=26,44000,65
1055,15,33=30,48000,70
1055,16,34=34,96000,75
1055,17,34=38,104000,80
1055,18,34=42,112000,85
1055,19,34=46,120000,90
1055,20,34=50,128000,95
1056,1,31=1,0,0
1056,2,31=2,500,6
1056,3,31=3,1000,10
1056,4,31=4,2000,15
1056,5,31=5,4000,20
1056,6,32=6,8000,25
1056,7,32=8,10000,30
1056,8,32=10,12000,35
1056,9,32=12,14000,40
1056,10,32=14,16000,45
1056,11,33=17,32000,50
1056,12,33=20,36000,55
1056,13,33=23,40000,60
1056,14,33=26,44000,65
1056,15,33=30,48000,70
1056,16,34=34,96000,75
1056,17,34=38,104000,80
1056,18,34=42,112000,85
1056,19,34=46,120000,90
1056,20,34=50,128000,95
1057,1,31=1,0,0
1057,2,31=2,500,6
1057,3,31=3,1000,10
1057,4,31=4,2000,15
1057,5,31=5,4000,20
1057,6,32=6,8000,25
1057,7,32=8,10000,30
1057,8,32=10,12000,35
1057,9,32=12,14000,40
1057,10,32=14,16000,45
1057,11,33=17,32000,50
1057,12,33=20,36000,55
1057,13,33=23,40000,60
1057,14,33=26,44000,65
1057,15,33=30,48000,70
1057,16,34=34,96000,75
1057,17,34=38,104000,80
1057,18,34=42,112000,85
1057,19,34=46,120000,90
1057,20,34=50,128000,95
1058,1,31=1,0,0
1058,2,31=2,500,6
1058,3,31=3,1000,10
1058,4,31=4,2000,15
1058,5,31=5,4000,20
1058,6,32=6,8000,25
1058,7,32=8,10000,30
1058,8,32=10,12000,35
1058,9,32=12,14000,40
1058,10,32=14,16000,45
1058,11,33=17,32000,50
1058,12,33=20,36000,55
1058,13,33=23,40000,60
1058,14,33=26,44000,65
1058,15,33=30,48000,70
1058,16,34=34,96000,75
1058,17,34=38,104000,80
1058,18,34=42,112000,85
1058,19,34=46,120000,90
1058,20,34=50,128000,95
1059,1,31=1,0,0
1059,2,31=2,500,6
1059,3,31=3,1000,10
1059,4,31=4,2000,15
1059,5,31=5,4000,20
1059,6,32=6,8000,25
1059,7,32=8,10000,30
1059,8,32=10,12000,35
1059,9,32=12,14000,40
1059,10,32=14,16000,45
1059,11,33=17,32000,50
1059,12,33=20,36000,55
1059,13,33=23,40000,60
1059,14,33=26,44000,65
1059,15,33=30,48000,70
1059,16,34=34,96000,75
1059,17,34=38,104000,80
1059,18,34=42,112000,85
1059,19,34=46,120000,90
1059,20,34=50,128000,95
1060,1,31=1,0,0
1060,2,31=2,500,6
1060,3,31=3,1000,10
1060,4,31=4,2000,15
1060,5,31=5,4000,20
1060,6,32=6,8000,25
1060,7,32=8,10000,30
1060,8,32=10,12000,35
1060,9,32=12,14000,40
1060,10,32=14,16000,45
1060,11,33=17,32000,50
1060,12,33=20,36000,55
1060,13,33=23,40000,60
1060,14,33=26,44000,65
1060,15,33=30,48000,70
1060,16,34=34,96000,75
1060,17,34=38,104000,80
1060,18,34=42,112000,85
1060,19,34=46,120000,90
1060,20,34=50,128000,95
1061,1,31=1,0,0
1061,2,31=2,500,6
1061,3,31=3,1000,10
1061,4,31=4,2000,15
1061,5,31=5,4000,20
1061,6,32=6,8000,25
1061,7,32=8,10000,30
1061,8,32=10,12000,35
1061,9,32=12,14000,40
1061,10,32=14,16000,45
1061,11,33=17,32000,50
1061,12,33=20,36000,55
1061,13,33=23,40000,60
1061,14,33=26,44000,65
1061,15,33=30,48000,70
1061,16,34=34,96000,75
1061,17,34=38,104000,80
1061,18,34=42,112000,85
1061,19,34=46,120000,90
1061,20,34=50,128000,95
1062,1,31=1,0,0
1062,2,31=2,500,6
1062,3,31=3,1000,10
1062,4,31=4,2000,15
1062,5,31=5,4000,20
1062,6,32=6,8000,25
1062,7,32=8,10000,30
1062,8,32=10,12000,35
1062,9,32=12,14000,40
1062,10,32=14,16000,45
1062,11,33=17,32000,50
1062,12,33=20,36000,55
1062,13,33=23,40000,60
1062,14,33=26,44000,65
1062,15,33=30,48000,70
1062,16,34=34,96000,75
1062,17,34=38,104000,80
1062,18,34=42,112000,85
1062,19,34=46,120000,90
1062,20,34=50,128000,95
1063,1,31=1,0,0
1063,2,31=2,500,6
1063,3,31=3,1000,10
1063,4,31=4,2000,15
1063,5,31=5,4000,20
1063,6,32=6,8000,25
1063,7,32=8,10000,30
1063,8,32=10,12000,35
1063,9,32=12,14000,40
1063,10,32=14,16000,45
1063,11,33=17,32000,50
1063,12,33=20,36000,55
1063,13,33=23,40000,60
1063,14,33=26,44000,65
1063,15,33=30,48000,70
1063,16,34=34,96000,75
1063,17,34=38,104000,80
1063,18,34=42,112000,85
1063,19,34=46,120000,90
1063,20,34=50,128000,95
1064,1,31=1,0,0
1064,2,31=2,500,6
1064,3,31=3,1000,10
1064,4,31=4,2000,15
1064,5,31=5,4000,20
1064,6,32=6,8000,25
1064,7,32=8,10000,30
1064,8,32=10,12000,35
1064,9,32=12,14000,40
1064,10,32=14,16000,45
1064,11,33=17,32000,50
1064,12,33=20,36000,55
1064,13,33=23,40000,60
1064,14,33=26,44000,65
1064,15,33=30,48000,70
1064,16,34=34,96000,75
1064,17,34=38,104000,80
1064,18,34=42,112000,85
1064,19,34=46,120000,90
1064,20,34=50,128000,95
1065,1,31=1,0,0
1065,2,31=2,500,6
1065,3,31=3,1000,10
1065,4,31=4,2000,15
1065,5,31=5,4000,20
1065,6,32=6,8000,25
1065,7,32=8,10000,30
1065,8,32=10,12000,35
1065,9,32=12,14000,40
1065,10,32=14,16000,45
1065,11,33=17,32000,50
1065,12,33=20,36000,55
1065,13,33=23,40000,60
1065,14,33=26,44000,65
1065,15,33=30,48000,70
1065,16,34=34,96000,75
1065,17,34=38,104000,80
1065,18,34=42,112000,85
1065,19,34=46,120000,90
1065,20,34=50,128000,95
1066,1,31=1,0,0
1066,2,31=2,500,6
1066,3,31=3,1000,10
1066,4,31=4,2000,15
1066,5,31=5,4000,20
1066,6,32=6,8000,25
1066,7,32=8,10000,30
1066,8,32=10,12000,35
1066,9,32=12,14000,40
1066,10,32=14,16000,45
1066,11,33=17,32000,50
1066,12,33=20,36000,55
1066,13,33=23,40000,60
1066,14,33=26,44000,65
1066,15,33=30,48000,70
1066,16,34=34,96000,75
1066,17,34=38,104000,80
1066,18,34=42,112000,85
1066,19,34=46,120000,90
1066,20,34=50,128000,95
1067,1,31=1,0,0
1067,2,31=2,500,6
1067,3,31=3,1000,10
1067,4,31=4,2000,15
1067,5,31=5,4000,20
1067,6,32=6,8000,25
1067,7,32=8,10000,30
1067,8,32=10,12000,35
1067,9,32=12,14000,40
1067,10,32=14,16000,45
1067,11,33=17,32000,50
1067,12,33=20,36000,55
1067,13,33=23,40000,60
1067,14,33=26,44000,65
1067,15,33=30,48000,70
1067,16,34=34,96000,75
1067,17,34=38,104000,80
1067,18,34=42,112000,85
1067,19,34=46,120000,90
1067,20,34=50,128000,95
1068,1,31=1,0,0
1068,2,31=2,500,6
1068,3,31=3,1000,10
1068,4,31=4,2000,15
1068,5,31=5,4000,20
1068,6,32=6,8000,25
1068,7,32=8,10000,30
1068,8,32=10,12000,35
1068,9,32=12,14000,40
1068,10,32=14,16000,45
1068,11,33=17,32000,50
1068,12,33=20,36000,55
1068,13,33=23,40000,60
1068,14,33=26,44000,65
1068,15,33=30,48000,70
1068,16,34=34,96000,75
1068,17,34=38,104000,80
1068,18,34=42,112000,85
1068,19,34=46,120000,90
1068,20,34=50,128000,95
1069,1,31=1,0,0
1069,2,31=2,500,6
1069,3,31=3,1000,10
1069,4,31=4,2000,15
1069,5,31=5,4000,20
1069,6,32=6,8000,25
1069,7,32=8,10000,30
1069,8,32=10,12000,35
1069,9,32=12,14000,40
1069,10,32=14,16000,45
1069,11,33=17,32000,50
1069,12,33=20,36000,55
1069,13,33=23,40000,60
1069,14,33=26,44000,65
1069,15,33=30,48000,70
1069,16,34=34,96000,75
1069,17,34=38,104000,80
1069,18,34=42,112000,85
1069,19,34=46,120000,90
1069,20,34=50,128000,95
1070,1,31=1,0,0
1070,2,31=2,500,6
1070,3,31=3,1000,10
1070,4,31=4,2000,15
1070,5,31=5,4000,20
1070,6,32=6,8000,25
1070,7,32=8,10000,30
1070,8,32=10,12000,35
1070,9,32=12,14000,40
1070,10,32=14,16000,45
1070,11,33=17,32000,50
1070,12,33=20,36000,55
1070,13,33=23,40000,60
1070,14,33=26,44000,65
1070,15,33=30,48000,70
1070,16,34=34,96000,75
1070,17,34=38,104000,80
1070,18,34=42,112000,85
1070,19,34=46,120000,90
1070,20,34=50,128000,95
1071,1,31=1,0,0
1071,2,31=2,500,6
1071,3,31=3,1000,10
1071,4,31=4,2000,15
1071,5,31=5,4000,20
1071,6,32=6,8000,25
1071,7,32=8,10000,30
1071,8,32=10,12000,35
1071,9,32=12,14000,40
1071,10,32=14,16000,45
1071,11,33=17,32000,50
1071,12,33=20,36000,55
1071,13,33=23,40000,60
1071,14,33=26,44000,65
1071,15,33=30,48000,70
1071,16,34=34,96000,75
1071,17,34=38,104000,80
1071,18,34=42,112000,85
1071,19,34=46,120000,90
1071,20,34=50,128000,95
1072,1,31=1,0,0
1072,2,31=2,500,6
1072,3,31=3,1000,10
1072,4,31=4,2000,15
1072,5,31=5,4000,20
1072,6,32=6,8000,25
1072,7,32=8,10000,30
1072,8,32=10,12000,35
1072,9,32=12,14000,40
1072,10,32=14,16000,45
1072,11,33=17,32000,50
1072,12,33=20,36000,55
1072,13,33=23,40000,60
1072,14,33=26,44000,65
1072,15,33=30,48000,70
1072,16,34=34,96000,75
1072,17,34=38,104000,80
1072,18,34=42,112000,85
1072,19,34=46,120000,90
1072,20,34=50,128000,95
1073,1,31=1,0,0
1073,2,31=2,500,6
1073,3,31=3,1000,10
1073,4,31=4,2000,15
1073,5,31=5,4000,20
1073,6,32=6,8000,25
1073,7,32=8,10000,30
1073,8,32=10,12000,35
1073,9,32=12,14000,40
1073,10,32=14,16000,45
1073,11,33=17,32000,50
1073,12,33=20,36000,55
1073,13,33=23,40000,60
1073,14,33=26,44000,65
1073,15,33=30,48000,70
1073,16,34=34,96000,75
1073,17,34=38,104000,80
1073,18,34=42,112000,85
1073,19,34=46,120000,90
1073,20,34=50,128000,95
1074,1,31=1,0,0
1074,2,31=2,500,6
1074,3,31=3,1000,10
1074,4,31=4,2000,15
1074,5,31=5,4000,20
1074,6,32=6,8000,25
1074,7,32=8,10000,30
1074,8,32=10,12000,35
1074,9,32=12,14000,40
1074,10,32=14,16000,45
1074,11,33=17,32000,50
1074,12,33=20,36000,55
1074,13,33=23,40000,60
1074,14,33=26,44000,65
1074,15,33=30,48000,70
1074,16,34=34,96000,75
1074,17,34=38,104000,80
1074,18,34=42,112000,85
1074,19,34=46,120000,90
1074,20,34=50,128000,95
1075,1,31=1,0,0
1075,2,31=2,500,6
1075,3,31=3,1000,10
1075,4,31=4,2000,15
1075,5,31=5,4000,20
1075,6,32=6,8000,25
1075,7,32=8,10000,30
1075,8,32=10,12000,35
1075,9,32=12,14000,40
1075,10,32=14,16000,45
1075,11,33=17,32000,50
1075,12,33=20,36000,55
1075,13,33=23,40000,60
1075,14,33=26,44000,65
1075,15,33=30,48000,70
1075,16,34=34,96000,75
1075,17,34=38,104000,80
1075,18,34=42,112000,85
1075,19,34=46,120000,90
1075,20,34=50,128000,95
1076,1,31=1,0,0
1076,2,31=2,500,6
1076,3,31=3,1000,10
1076,4,31=4,2000,15
1076,5,31=5,4000,20
1076,6,32=6,8000,25
1076,7,32=8,10000,30
1076,8,32=10,12000,35
1076,9,32=12,14000,40
1076,10,32=14,16000,45
1076,11,33=17,32000,50
1076,12,33=20,36000,55
1076,13,33=23,40000,60
1076,14,33=26,44000,65
1076,15,33=30,48000,70
1076,16,34=34,96000,75
1076,17,34=38,104000,80
1076,18,34=42,112000,85
1076,19,34=46,120000,90
1076,20,34=50,128000,95
1077,1,31=1,0,0
1077,2,31=2,500,6
1077,3,31=3,1000,10
1077,4,31=4,2000,15
1077,5,31=5,4000,20
1077,6,32=6,8000,25
1077,7,32=8,10000,30
1077,8,32=10,12000,35
1077,9,32=12,14000,40
1077,10,32=14,16000,45
1077,11,33=17,32000,50
1077,12,33=20,36000,55
1077,13,33=23,40000,60
1077,14,33=26,44000,65
1077,15,33=30,48000,70
1077,16,34=34,96000,75
1077,17,34=38,104000,80
1077,18,34=42,112000,85
1077,19,34=46,120000,90
1077,20,34=50,128000,95
1078,1,31=1,0,0
1078,2,31=2,500,6
1078,3,31=3,1000,10
1078,4,31=4,2000,15
1078,5,31=5,4000,20
1078,6,32=6,8000,25
1078,7,32=8,10000,30
1078,8,32=10,12000,35
1078,9,32=12,14000,40
1078,10,32=14,16000,45
1078,11,33=17,32000,50
1078,12,33=20,36000,55
1078,13,33=23,40000,60
1078,14,33=26,44000,65
1078,15,33=30,48000,70
1078,16,34=34,96000,75
1078,17,34=38,104000,80
1078,18,34=42,112000,85
1078,19,34=46,120000,90
1078,20,34=50,128000,95
1079,1,31=1,0,0
1079,2,31=2,500,6
1079,3,31=3,1000,10
1079,4,31=4,2000,15
1079,5,31=5,4000,20
1079,6,32=6,8000,25
1079,7,32=8,10000,30
1079,8,32=10,12000,35
1079,9,32=12,14000,40
1079,10,32=14,16000,45
1079,11,33=17,32000,50
1079,12,33=20,36000,55
1079,13,33=23,40000,60
1079,14,33=26,44000,65
1079,15,33=30,48000,70
1079,16,34=34,96000,75
1079,17,34=38,104000,80
1079,18,34=42,112000,85
1079,19,34=46,120000,90
1079,20,34=50,128000,95
1080,1,31=1,0,0
1080,2,31=2,500,6
1080,3,31=3,1000,10
1080,4,31=4,2000,15
1080,5,31=5,4000,20
1080,6,32=6,8000,25
1080,7,32=8,10000,30
1080,8,32=10,12000,35
1080,9,32=12,14000,40
1080,10,32=14,16000,45
1080,11,33=17,32000,50
1080,12,33=20,36000,55
1080,13,33=23,40000,60
1080,14,33=26,44000,65
1080,15,33=30,48000,70
1080,16,34=34,96000,75
1080,17,34=38,104000,80
1080,18,34=42,112000,85
1080,19,34=46,120000,90
1080,20,34=50,128000,95
1081,1,31=1,0,0
1081,2,31=2,500,6
1081,3,31=3,1000,10
1081,4,31=4,2000,15
1081,5,31=5,4000,20
1081,6,32=6,8000,25
1081,7,32=8,10000,30
1081,8,32=10,12000,35
1081,9,32=12,14000,40
1081,10,32=14,16000,45
1081,11,33=17,32000,50
1081,12,33=20,36000,55
1081,13,33=23,40000,60
1081,14,33=26,44000,65
1081,15,33=30,48000,70
1081,16,34=34,96000,75
1081,17,34=38,104000,80
1081,18,34=42,112000,85
1081,19,34=46,120000,90
1081,20,34=50,128000,95
1082,1,31=1,0,0
1082,2,31=2,500,6
1082,3,31=3,1000,10
1082,4,31=4,2000,15
1082,5,31=5,4000,20
1082,6,32=6,8000,25
1082,7,32=8,10000,30
1082,8,32=10,12000,35
1082,9,32=12,14000,40
1082,10,32=14,16000,45
1082,11,33=17,32000,50
1082,12,33=20,36000,55
1082,13,33=23,40000,60
1082,14,33=26,44000,65
1082,15,33=30,48000,70
1082,16,34=34,96000,75
1082,17,34=38,104000,80
1082,18,34=42,112000,85
1082,19,34=46,120000,90
1082,20,34=50,128000,95
1083,1,31=1,0,0
1083,2,31=2,500,6
1083,3,31=3,1000,10
1083,4,31=4,2000,15
1083,5,31=5,4000,20
1083,6,32=6,8000,25
1083,7,32=8,10000,30
1083,8,32=10,12000,35
1083,9,32=12,14000,40
1083,10,32=14,16000,45
1083,11,33=17,32000,50
1083,12,33=20,36000,55
1083,13,33=23,40000,60
1083,14,33=26,44000,65
1083,15,33=30,48000,70
1083,16,34=34,96000,75
1083,17,34=38,104000,80
1083,18,34=42,112000,85
1083,19,34=46,120000,90
1083,20,34=50,128000,95
1084,1,31=1,0,0
1084,2,31=2,500,6
1084,3,31=3,1000,10
1084,4,31=4,2000,15
1084,5,31=5,4000,20
1084,6,32=6,8000,25
1084,7,32=8,10000,30
1084,8,32=10,12000,35
1084,9,32=12,14000,40
1084,10,32=14,16000,45
1084,11,33=17,32000,50
1084,12,33=20,36000,55
1084,13,33=23,40000,60
1084,14,33=26,44000,65
1084,15,33=30,48000,70
1084,16,34=34,96000,75
1084,17,34=38,104000,80
1084,18,34=42,112000,85
1084,19,34=46,120000,90
1084,20,34=50,128000,95
1085,1,31=1,0,0
1085,2,31=2,500,6
1085,3,31=3,1000,10
1085,4,31=4,2000,15
1085,5,31=5,4000,20
1085,6,32=6,8000,25
1085,7,32=8,10000,30
1085,8,32=10,12000,35
1085,9,32=12,14000,40
1085,10,32=14,16000,45
1085,11,33=17,32000,50
1085,12,33=20,36000,55
1085,13,33=23,40000,60
1085,14,33=26,44000,65
1085,15,33=30,48000,70
1085,16,34=34,96000,75
1085,17,34=38,104000,80
1085,18,34=42,112000,85
1085,19,34=46,120000,90
1085,20,34=50,128000,95
1086,1,31=1,0,0
1086,2,31=2,500,6
1086,3,31=3,1000,10
1086,4,31=4,2000,15
1086,5,31=5,4000,20
1086,6,32=6,8000,25
1086,7,32=8,10000,30
1086,8,32=10,12000,35
1086,9,32=12,14000,40
1086,10,32=14,16000,45
1086,11,33=17,32000,50
1086,12,33=20,36000,55
1086,13,33=23,40000,60
1086,14,33=26,44000,65
1086,15,33=30,48000,70
1086,16,34=34,96000,75
1086,17,34=38,104000,80
1086,18,34=42,112000,85
1086,19,34=46,120000,90
1086,20,34=50,128000,95
1087,1,31=1,0,0
1087,2,31=2,500,6
1087,3,31=3,1000,10
1087,4,31=4,2000,15
1087,5,31=5,4000,20
1087,6,32=6,8000,25
1087,7,32=8,10000,30
1087,8,32=10,12000,35
1087,9,32=12,14000,40
1087,10,32=14,16000,45
1087,11,33=17,32000,50
1087,12,33=20,36000,55
1087,13,33=23,40000,60
1087,14,33=26,44000,65
1087,15,33=30,48000,70
1087,16,34=34,96000,75
1087,17,34=38,104000,80
1087,18,34=42,112000,85
1087,19,34=46,120000,90
1087,20,34=50,128000,95
1088,1,31=1,0,0
1088,2,31=2,500,6
1088,3,31=3,1000,10
1088,4,31=4,2000,15
1088,5,31=5,4000,20
1088,6,32=6,8000,25
1088,7,32=8,10000,30
1088,8,32=10,12000,35
1088,9,32=12,14000,40
1088,10,32=14,16000,45
1088,11,33=17,32000,50
1088,12,33=20,36000,55
1088,13,33=23,40000,60
1088,14,33=26,44000,65
1088,15,33=30,48000,70
1088,16,34=34,96000,75
1088,17,34=38,104000,80
1088,18,34=42,112000,85
1088,19,34=46,120000,90
1088,20,34=50,128000,95
1089,1,31=1,0,0
1089,2,31=2,500,6
1089,3,31=3,1000,10
1089,4,31=4,2000,15
1089,5,31=5,4000,20
1089,6,32=6,8000,25
1089,7,32=8,10000,30
1089,8,32=10,12000,35
1089,9,32=12,14000,40
1089,10,32=14,16000,45
1089,11,33=17,32000,50
1089,12,33=20,36000,55
1089,13,33=23,40000,60
1089,14,33=26,44000,65
1089,15,33=30,48000,70
1089,16,34=34,96000,75
1089,17,34=38,104000,80
1089,18,34=42,112000,85
1089,19,34=46,120000,90
1089,20,34=50,128000,95
1090,1,31=1,0,0
1090,2,31=2,500,6
1090,3,31=3,1000,10
1090,4,31=4,2000,15
1090,5,31=5,4000,20
1090,6,32=6,8000,25
1090,7,32=8,10000,30
1090,8,32=10,12000,35
1090,9,32=12,14000,40
1090,10,32=14,16000,45
1090,11,33=17,32000,50
1090,12,33=20,36000,55
1090,13,33=23,40000,60
1090,14,33=26,44000,65
1090,15,33=30,48000,70
1090,16,34=34,96000,75
1090,17,34=38,104000,80
1090,18,34=42,112000,85
1090,19,34=46,120000,90
1090,20,34=50,128000,95
1091,1,31=1,0,0
1091,2,31=2,500,6
1091,3,31=3,1000,10
1091,4,31=4,2000,15
1091,5,31=5,4000,20
1091,6,32=6,8000,25
1091,7,32=8,10000,30
1091,8,32=10,12000,35
1091,9,32=12,14000,40
1091,10,32=14,16000,45
1091,11,33=17,32000,50
1091,12,33=20,36000,55
1091,13,33=23,40000,60
1091,14,33=26,44000,65
1091,15,33=30,48000,70
1091,16,34=34,96000,75
1091,17,34=38,104000,80
1091,18,34=42,112000,85
1091,19,34=46,120000,90
1091,20,34=50,128000,95
1092,1,31=1,0,0
1092,2,31=2,500,6
1092,3,31=3,1000,10
1092,4,31=4,2000,15
1092,5,31=5,4000,20
1092,6,32=6,8000,25
1092,7,32=8,10000,30
1092,8,32=10,12000,35
1092,9,32=12,14000,40
1092,10,32=14,16000,45
1092,11,33=17,32000,50
1092,12,33=20,36000,55
1092,13,33=23,40000,60
1092,14,33=26,44000,65
1092,15,33=30,48000,70
1092,16,34=34,96000,75
1092,17,34=38,104000,80
1092,18,34=42,112000,85
1092,19,34=46,120000,90
1092,20,34=50,128000,95
1093,1,31=1,0,0
1093,2,31=2,500,6
1093,3,31=3,1000,10
1093,4,31=4,2000,15
1093,5,31=5,4000,20
1093,6,32=6,8000,25
1093,7,32=8,10000,30
1093,8,32=10,12000,35
1093,9,32=12,14000,40
1093,10,32=14,16000,45
1093,11,33=17,32000,50
1093,12,33=20,36000,55
1093,13,33=23,40000,60
1093,14,33=26,44000,65
1093,15,33=30,48000,70
1093,16,34=34,96000,75
1093,17,34=38,104000,80
1093,18,34=42,112000,85
1093,19,34=46,120000,90
1093,20,34=50,128000,95
1094,1,31=1,0,0
1094,2,31=2,500,6
1094,3,31=3,1000,10
1094,4,31=4,2000,15
1094,5,31=5,4000,20
1094,6,32=6,8000,25
1094,7,32=8,10000,30
1094,8,32=10,12000,35
1094,9,32=12,14000,40
1094,10,32=14,16000,45
1094,11,33=17,32000,50
1094,12,33=20,36000,55
1094,13,33=23,40000,60
1094,14,33=26,44000,65
1094,15,33=30,48000,70
1094,16,34=34,96000,75
1094,17,34=38,104000,80
1094,18,34=42,112000,85
1094,19,34=46,120000,90
1094,20,34=50,128000,95
1095,1,31=1,0,0
1095,2,31=2,500,6
1095,3,31=3,1000,10
1095,4,31=4,2000,15
1095,5,31=5,4000,20
1095,6,32=6,8000,25
1095,7,32=8,10000,30
1095,8,32=10,12000,35
1095,9,32=12,14000,40
1095,10,32=14,16000,45
1095,11,33=17,32000,50
1095,12,33=20,36000,55
1095,13,33=23,40000,60
1095,14,33=26,44000,65
1095,15,33=30,48000,70
1095,16,34=34,96000,75
1095,17,34=38,104000,80
1095,18,34=42,112000,85
1095,19,34=46,120000,90
1095,20,34=50,128000,95
1096,1,31=1,0,0
1096,2,31=2,500,6
1096,3,31=3,1000,10
1096,4,31=4,2000,15
1096,5,31=5,4000,20
1096,6,32=6,8000,25
1096,7,32=8,10000,30
1096,8,32=10,12000,35
1096,9,32=12,14000,40
1096,10,32=14,16000,45
1096,11,33=17,32000,50
1096,12,33=20,36000,55
1096,13,33=23,40000,60
1096,14,33=26,44000,65
1096,15,33=30,48000,70
1096,16,34=34,96000,75
1096,17,34=38,104000,80
1096,18,34=42,112000,85
1096,19,34=46,120000,90
1096,20,34=50,128000,95
1097,1,31=1,0,0
1097,2,31=2,500,6
1097,3,31=3,1000,10
1097,4,31=4,2000,15
1097,5,31=5,4000,20
1097,6,32=6,8000,25
1097,7,32=8,10000,30
1097,8,32=10,12000,35
1097,9,32=12,14000,40
1097,10,32=14,16000,45
1097,11,33=17,32000,50
1097,12,33=20,36000,55
1097,13,33=23,40000,60
1097,14,33=26,44000,65
1097,15,33=30,48000,70
1097,16,34=34,96000,75
1097,17,34=38,104000,80
1097,18,34=42,112000,85
1097,19,34=46,120000,90
1097,20,34=50,128000,95
1098,1,31=1,0,0
1098,2,31=2,500,6
1098,3,31=3,1000,10
1098,4,31=4,2000,15
1098,5,31=5,4000,20
1098,6,32=6,8000,25
1098,7,32=8,10000,30
1098,8,32=10,12000,35
1098,9,32=12,14000,40
1098,10,32=14,16000,45
1098,11,33=17,32000,50
1098,12,33=20,36000,55
1098,13,33=23,40000,60
1098,14,33=26,44000,65
1098,15,33=30,48000,70
1098,16,34=34,96000,75
1098,17,34=38,104000,80
1098,18,34=42,112000,85
1098,19,34=46,120000,90
1098,20,34=50,128000,95
1099,1,31=1,0,0
1099,2,31=2,500,6
1099,3,31=3,1000,10
1099,4,31=4,2000,15
1099,5,31=5,4000,20
1099,6,32=6,8000,25
1099,7,32=8,10000,30
1099,8,32=10,12000,35
1099,9,32=12,14000,40
1099,10,32=14,16000,45
1099,11,33=17,32000,50
1099,12,33=20,36000,55
1099,13,33=23,40000,60
1099,14,33=26,44000,65
1099,15,33=30,48000,70
1099,16,34=34,96000,75
1099,17,34=38,104000,80
1099,18,34=42,112000,85
1099,19,34=46,120000,90
1099,20,34=50,128000,95
1100,1,31=1,0,0
1100,2,31=2,500,6
1100,3,31=3,1000,10
1100,4,31=4,2000,15
1100,5,31=5,4000,20
1100,6,32=6,8000,25
1100,7,32=8,10000,30
1100,8,32=10,12000,35
1100,9,32=12,14000,40
1100,10,32=14,16000,45
1100,11,33=17,32000,50
1100,12,33=20,36000,55
1100,13,33=23,40000,60
1100,14,33=26,44000,65
1100,15,33=30,48000,70
1100,16,34=34,96000,75
1100,17,34=38,104000,80
1100,18,34=42,112000,85
1100,19,34=46,120000,90
1100,20,34=50,128000,95
1101,1,31=1,0,0
1101,2,31=2,500,6
1101,3,31=3,1000,10
1101,4,31=4,2000,15
1101,5,31=5,4000,20
1101,6,32=6,8000,25
1101,7,32=8,10000,30
1101,8,32=10,12000,35
1101,9,32=12,14000,40
1101,10,32=14,16000,45
1101,11,33=17,32000,50
1101,12,33=20,36000,55
1101,13,33=23,40000,60
1101,14,33=26,44000,65
1101,15,33=30,48000,70
1101,16,34=34,96000,75
1101,17,34=38,104000,80
1101,18,34=42,112000,85
1101,19,34=46,120000,90
1101,20,34=50,128000,95
1102,1,31=1,0,0
1102,2,31=2,500,6
1102,3,31=3,1000,10
1102,4,31=4,2000,15
1102,5,31=5,4000,20
1102,6,32=6,8000,25
1102,7,32=8,10000,30
1102,8,32=10,12000,35
1102,9,32=12,14000,40
1102,10,32=14,16000,45
1102,11,33=17,32000,50
1102,12,33=20,36000,55
1102,13,33=23,40000,60
1102,14,33=26,44000,65
1102,15,33=30,48000,70
1102,16,34=34,96000,75
1102,17,34=38,104000,80
1102,18,34=42,112000,85
1102,19,34=46,120000,90
1102,20,34=50,128000,95
1103,1,31=1,0,0
1103,2,31=2,500,6
1103,3,31=3,1000,10
1103,4,31=4,2000,15
1103,5,31=5,4000,20
1103,6,32=6,8000,25
1103,7,32=8,10000,30
1103,8,32=10,12000,35
1103,9,32=12,14000,40
1103,10,32=14,16000,45
1103,11,33=17,32000,50
1103,12,33=20,36000,55
1103,13,33=23,40000,60
1103,14,33=26,44000,65
1103,15,33=30,48000,70
1103,16,34=34,96000,75
1103,17,34=38,104000,80
1103,18,34=42,112000,85
1103,19,34=46,120000,90
1103,20,34=50,128000,95
1104,1,31=1,0,0
1104,2,31=2,500,6
1104,3,31=3,1000,10
1104,4,31=4,2000,15
