副本ID,副本类型,副本名,副本描述,前置副本,开启等级,战斗等级,战斗配表,战斗阶段,战斗场景1,战斗场景2,战斗场景3,剧情,BOSS ID,BOSS名称,BOSS头像框,消耗类型,消耗类型值,战争迷雾,挑战次数,过关经验,星级经验修正,过关金钱,星级金钱修正,首次通关奖励,背景音乐,x坐标,y坐标,,
10810,1,平江东,恩威并重，孙伯符一鼓作气平定江东势力,10809,21,24,csv/scene/PT/0810.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,5,孙权,3,1,3,0,9999,256,1=100  2=104  3=108,188,1=100  2=104  3=108,,,318,130,,
10901,1,再降曹1,大势已去，无奈之下张绣再次归顺,10810,22,24,csv/scene/PT/0901.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,58,贾诩,1,1,3,0,9999,260,1=100  2=104  3=108,190,1=100  2=104  3=108,,,-353,-120,,
10902,1,再降曹2,大势已去，无奈之下张绣再次归顺,10901,22,25,csv/scene/PT/0902.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,40,张绣,2,1,3,0,9999,264,1=100  2=104  3=108,192,1=100  2=104  3=108,,,-173,-65,,
10903,1,才女无双1,萧萧胡琴，演绎出的是一段爱恨离愁，余音绕梁三日不绝,10902,23,25,csv/scene/PT/0903.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,13,曹操,1,1,3,0,9999,268,1=100  2=104  3=108,194,1=100  2=104  3=108,,,-250,107,,
10904,1,才女无双2,萧萧胡琴，演绎出的是一段爱恨离愁，余音绕梁三日不绝,10903,23,25,csv/scene/PT/0904.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,25,蔡文姬,2,1,3,0,9999,272,1=100  2=104  3=108,196,1=100  2=104  3=108,,,-381,181,,
10905,1,煮酒论英雄1,天下英雄，唯使君与操耳！,10904,23,25,csv/scene/PT/0905.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,15,关羽,1,1,3,0,9999,276,1=100  2=104  3=108,198,1=100  2=104  3=108,,,-85,158,,
10906,1,煮酒论英雄2,天下英雄，唯使君与操耳！,10905,24,26,csv/scene/PT/0906.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,19,刘备,2,1,3,0,9999,280,1=100  2=104  3=108,200,1=100  2=104  3=108,,,-16,-21,,
10907,1,十胜论1,袁绍大兵将至，军师郭嘉却信心满满，另有说辞,10906,24,26,csv/scene/PT/0907.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,4,夏侯惇,1,1,3,0,9999,284,1=100  2=104  3=108,202,1=100  2=104  3=108,,,90,136,,
10908,1,十胜论2,袁绍大兵将至，军师郭嘉却信心满满，另有说辞,10907,25,26,csv/scene/PT/0908.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,69,徐晃,1,1,3,0,9999,288,1=100  2=104  3=108,204,1=100  2=104  3=108,,,199,0,,
10909,1,十胜论3,袁绍大兵将至，军师郭嘉却信心满满，另有说辞,10908,25,26,csv/scene/PT/0909.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,7,郭嘉,2,1,3,0,9999,292,1=100  2=104  3=108,206,1=100  2=104  3=108,,,320,-135,,
10910,1,兵进徐州,发兵徐州，在大战前扫清隐患！,10909,25,26,csv/scene/PT/0910.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,45,曹仁,3,1,3,0,9999,300,1=100  2=104  3=108,208,1=100  2=104  3=108,,,319,160,,
11001,1,败投袁绍1,刘玄德败退之后再无去处，不得已前往冀州投奔袁绍,10910,26,27,csv/scene/PT/1001.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,123,袁绍,1,1,3,0,9999,305,1=100  2=104  3=108,210,1=100  2=104  3=108,,,-381,173,,
11002,1,败投袁绍2,刘玄德败退之后再无去处，不得已前往冀州投奔袁绍,11001,26,27,csv/scene/PT/1002.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,1,张飞,1,1,3,0,9999,310,1=100  2=104  3=108,212,1=100  2=104  3=108,,,-262,30,,
11003,1,败投袁绍3,刘玄德败退之后再无去处，不得已前往冀州投奔袁绍,11002,27,28,csv/scene/PT/1003.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,19,刘备,2,1,3,0,9999,315,1=100  2=104  3=108,214,1=100  2=104  3=108,,,-340,-132,,
11004,1,降关羽1,人在曹营心在汉！,11003,27,28,csv/scene/PT/1004.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,31,甘夫人,1,1,3,0,9999,320,1=100  2=104  3=108,216,1=100  2=104  3=108,,,-123,-111,,
11005,1,降关羽2,人在曹营心在汉！,11004,28,29,csv/scene/PT/1005.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,18,张辽,1,1,3,0,9999,325,1=100  2=104  3=108,218,1=100  2=104  3=108,,,59,-67,,
11006,1,降关羽3,人在曹营心在汉！,11005,28,29,csv/scene/PT/1006.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,15,关羽,2,1,3,0,9999,330,1=100  2=104  3=108,220,1=100  2=104  3=108,,,242,-85,,
11007,1,白马之围1,白马之战，站在那里的是..颜良！,11006,29,30,csv/scene/PT/1007.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,50,颜良,1,1,3,0,9999,335,1=100  2=104  3=108,222,1=100  2=104  3=108,,,-78,80,,
11008,1,白马之围2,白马之战，站在那里的是..颜良！,11007,29,30,csv/scene/PT/1008.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,69,徐晃,1,1,3,0,9999,340,1=100  2=104  3=108,224,1=100  2=104  3=108,,,82,140,,
11009,1,白马之围3,白马之战，站在那里的是..颜良！,11008,30,31,csv/scene/PT/1009.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,50,颜良,2,1,3,0,9999,345,1=100  2=104  3=108,226,1=100  2=104  3=108,,,243,158,,
11010,1,河北庭柱,河北双雄，颜良文丑，谁可一战？,11009,30,31,csv/scene/PT/1010.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,42,文丑,3,1,3,0,9999,355,1=100  2=104  3=108,228,1=100  2=104  3=108,,,390,130,,
11101,1,斩颜良1,万军之中，谁能诛杀了颜良？,11010,31,32,csv/scene/PT/1101.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,123,袁绍,1,1,3,0,9999,360,1=100  2=104  3=108,230,1=100  2=104  3=108,,,-372,138,,
11102,1,斩颜良2,万军之中，谁能诛杀了颜良？,11101,31,32,csv/scene/PT/1102.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,19,刘备,1,1,3,0,9999,365,1=100  2=104  3=108,232,1=100  2=104  3=108,,,-196,86,,
11103,1,斩颜良3,万军之中，谁能诛杀了颜良？,11102,32,33,csv/scene/PT/1103.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,50,颜良,2,1,3,0,9999,370,1=100  2=104  3=108,234,1=100  2=104  3=108,,,-354,-143,,
11104,1,诛文丑1,文丑骁勇善战，实在不可轻敌,11103,32,33,csv/scene/PT/1104.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,188,田丰,1,1,3,0,9999,375,1=100  2=104  3=108,236,1=100  2=104  3=108,,,-157,-124,,
11105,1,诛文丑2,文丑骁勇善战，实在不可轻敌,11104,33,34,csv/scene/PT/1105.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,42,文丑,1,1,3,0,9999,380,1=100  2=104  3=108,238,1=100  2=104  3=108,,,119,-165,,
11106,1,诛文丑3,文丑骁勇善战，实在不可轻敌,11105,33,34,csv/scene/PT/1106.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,15,关羽,2,1,3,0,9999,385,1=100  2=104  3=108,240,1=100  2=104  3=108,,,-5,-22,,
11107,1,火烧乌巢1,乌巢乃是袁绍粮草大营，如果能够烧毁，将不战而胜！,11106,34,35,csv/scene/PT/1107.csv,3,resource/bg/chibi_1.jpg,resource/bg/chibi_2.jpg,resource/bg/chibi_3.jpg,1,149,许攸,1,1,3,0,9999,390,1=100  2=104  3=108,242,1=100  2=104  3=108,,,48,175,,
11108,1,火烧乌巢2,乌巢乃是袁绍粮草大营，如果能够烧毁，将不战而胜！,11107,34,35,csv/scene/PT/1108.csv,3,resource/bg/chibi_1.jpg,resource/bg/chibi_2.jpg,resource/bg/chibi_3.jpg,1,7,郭嘉,1,1,3,0,9999,395,1=100  2=104  3=108,244,1=100  2=104  3=108,,,160,45,,
11109,1,火烧乌巢3,乌巢乃是袁绍粮草大营，如果能够烧毁，将不战而胜！,11108,35,36,csv/scene/PT/1109.csv,3,resource/bg/chibi_1.jpg,resource/bg/chibi_2.jpg,resource/bg/chibi_3.jpg,1,188,田丰,2,1,3,0,9999,400,1=100  2=104  3=108,246,1=100  2=104  3=108,,,300,-165,,
11110,1,官渡决战,决战在即，胜败在此一举，究竟鹿死谁手？,11109,35,36,csv/scene/PT/1110.csv,3,resource/bg/chibi_1.jpg,resource/bg/chibi_2.jpg,resource/bg/chibi_3.jpg,1,123,袁绍,3,1,3,0,9999,410,1=100  2=104  3=108,248,1=100  2=104  3=108,,,318,150,,
11201,1,千里走单骑1,既知玄德下落，云长挂印封金，不辞而别,11110,36,37,csv/scene/PT/1201.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,237,卞喜,1,1,3,0,9999,416,1=100  2=104  3=108,250,1=100  2=104  3=108,,,-396,-131,,
11202,1,千里走单骑2,既知玄德下落，云长挂印封金，不辞而别,11201,36,37,csv/scene/PT/1202.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,41,夏侯渊,1,1,3,0,9999,422,1=100  2=104  3=108,252,1=100  2=104  3=108,,,-348,109,,
11203,1,千里走单骑3,既知玄德下落，云长挂印封金，不辞而别,11202,37,38,csv/scene/PT/1203.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,4,夏侯惇,2,1,3,0,9999,428,1=100  2=104  3=108,254,1=100  2=104  3=108,,,-238,-48,,
11204,1,卧龙凤雏1,卧龙凤雏，得一可安天下！,11203,37,38,csv/scene/PT/1204.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,60,庞统,1,1,3,0,9999,434,1=100  2=104  3=108,256,1=100  2=104  3=108,,,-50,-96,,
11205,1,卧龙凤雏2,卧龙凤雏，得一可安天下！,11204,38,39,csv/scene/PT/1205.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,9,诸葛亮,1,1,3,0,9999,440,1=100  2=104  3=108,258,1=100  2=104  3=108,,,-180,161,,
11206,1,卧龙凤雏3,卧龙凤雏，得一可安天下！,11205,38,39,csv/scene/PT/1206.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,60,庞统,2,1,3,0,9999,446,1=100  2=104  3=108,260,1=100  2=104  3=108,,,-32,126,,
11207,1,三顾茅庐1,玄德公三顾茅庐，只为求诸葛亮出山相助,11206,39,40,csv/scene/PT/1207.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,153,诸葛果,1,1,3,0,9999,452,1=100  2=104  3=108,262,1=100  2=104  3=108,,,132,161,,
11208,1,三顾茅庐2,玄德公三顾茅庐，只为求诸葛亮出山相助,11207,39,41,csv/scene/PT/1208.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,12,黄月英,1,1,3,0,9999,458,1=100  2=104  3=108,264,1=100  2=104  3=108,,,352,147,,
11209,1,三顾茅庐3,玄德公三顾茅庐，只为求诸葛亮出山相助,11208,40,41,csv/scene/PT/1209.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,19,刘备,2,1,3,0,9999,464,1=100  2=104  3=108,266,1=100  2=104  3=108,,,222,19,,
11210,1,隆中对,听君一席话，胜读十年书！,11209,41,42,csv/scene/PT/1210.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,9,诸葛亮,3,1,3,0,9999,476,1=100  2=104  3=108,268,1=100  2=104  3=108,,,334,-94,,
11301,1,拥立新主1,孙策遇难早逝，孙权登基，百废待兴,11210,41,42,csv/scene/PT/1301.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,2,周瑜,1,1,3,0,9999,482,1=100  2=104  3=108,270,1=100  2=104  3=108,,,-395,179,,
11302,1,拥立新主2,孙策遇难早逝，孙权登基，百废待兴,11301,42,43,csv/scene/PT/1302.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,37,孙策,1,1,3,0,9999,488,1=100  2=104  3=108,272,1=100  2=104  3=108,,,-308,21,,
11303,1,拥立新主3,孙策遇难早逝，孙权登基，百废待兴,11302,42,44,csv/scene/PT/1303.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,5,孙权,2,1,3,0,9999,494,1=100  2=104  3=108,274,1=100  2=104  3=108,,,-377,-155,,
11304,1,兴霸归吴1,锦帆贼甘兴霸，如此好汉需当纳为己用,11303,43,44,csv/scene/PT/1304.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,71,周泰,1,1,3,0,9999,500,1=100  2=104  3=108,276,1=100  2=104  3=108,,,-163,-47,,
11305,1,兴霸归吴2,锦帆贼甘兴霸，如此好汉需当纳为己用,11304,44,45,csv/scene/PT/1305.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,64,太史慈,1,1,3,0,9999,506,1=100  2=104  3=108,278,1=100  2=104  3=108,,,-3,74,,
11306,1,兴霸归吴3,锦帆贼甘兴霸，如此好汉需当纳为己用,11305,44,45,csv/scene/PT/1306.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,6,甘宁,2,1,3,0,9999,512,1=100  2=104  3=108,280,1=100  2=104  3=108,,,-37,-155,,
11307,1,大都督1,周瑜上位，新的血液将为东吴带来新的希望,11306,45,46,csv/scene/PT/1307.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,51,吕蒙,1,1,3,0,9999,518,1=100  2=104  3=108,282,1=100  2=104  3=108,,,135,-132,,
11308,1,大都督2,周瑜上位，新的血液将为东吴带来新的希望,11307,45,46,csv/scene/PT/1308.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,64,太史慈,1,1,3,0,9999,524,1=100  2=104  3=108,284,1=100  2=104  3=108,,,305,-120,,
11309,1,大都督3,周瑜上位，新的血液将为东吴带来新的希望,11308,46,47,csv/scene/PT/1309.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,2,周瑜,2,1,3,0,9999,530,1=100  2=104  3=108,286,1=100  2=104  3=108,,,153,165,,
11310,1,稳固江东,群策群力，文武俱背，全新的东吴朝气朋友同仇敌忾！,11309,47,48,csv/scene/PT/1310.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,5,孙权,3,1,3,0,9999,542,1=100  2=104  3=108,288,1=100  2=104  3=108,,,318,130,,
11401,1,子龙归来1,那边的白袍将军，可是子龙否？,11310,48,48,csv/scene/PT/1401.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,16,赵云,1,1,3,0,9999,549,1=100  2=104  3=108,290,1=100  2=104  3=108,,,-353,-120,,
11402,1,子龙归来2,那边的白袍将军，可是子龙否？,11401,48,49,csv/scene/PT/1402.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,153,诸葛果,1,1,3,0,9999,556,1=100  2=104  3=108,292,1=100  2=104  3=108,,,-173,-65,,
11403,1,子龙归来3,那边的白袍将军，可是子龙否？,11402,49,50,csv/scene/PT/1403.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,19,刘备,2,1,3,0,9999,563,1=100  2=104  3=108,294,1=100  2=104  3=108,,,-250,107,,
11404,1,新野之战1,火烧新野，新官上任的第一把火！,11403,50,50,csv/scene/PT/1404.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,109,李典,1,1,3,0,9999,570,1=100  2=104  3=108,296,1=100  2=104  3=108,,,-381,181,,
11405,1,新野之战2,火烧新野，新官上任的第一把火！,11404,50,51,csv/scene/PT/1405.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,69,徐晃,1,1,3,0,9999,577,1=100  2=104  3=108,298,1=100  2=104  3=108,,,-85,158,,
11406,1,新野之战3,火烧新野，新官上任的第一把火！,11405,51,51,csv/scene/PT/1406.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,41,夏侯渊,2,1,3,0,9999,584,1=100  2=104  3=108,300,1=100  2=104  3=108,,,-16,-21,,
11407,1,火烧博望坡1,博望坡之战，且看卧龙退敌,11406,51,52,csv/scene/PT/1407.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,66,于禁,1,1,3,0,9999,591,1=100  2=104  3=108,302,1=100  2=104  3=108,,,90,136,,
11408,1,火烧博望坡2,博望坡之战，且看卧龙退敌,11407,52,53,csv/scene/PT/1408.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,58,贾诩,1,1,3,0,9999,598,1=100  2=104  3=108,304,1=100  2=104  3=108,,,199,0,,
11409,1,火烧博望坡3,博望坡之战，且看卧龙退敌,11408,53,53,csv/scene/PT/1409.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,45,曹仁,2,1,3,0,9999,605,1=100  2=104  3=108,306,1=100  2=104  3=108,,,320,-135,,
11410,1,运筹帷幄,有了军师，打仗都有了主心骨,11409,53,54,csv/scene/PT/1410.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,12,黄月英,3,1,3,0,9999,619,1=100  2=104  3=108,308,1=100  2=104  3=108,,,319,160,,
11501,1,南下荆州1,曹操大军南下，荆州危矣！,11410,54,55,csv/scene/PT/1501.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,152,郭女王,1,1,3,0,9999,626,1=100  2=104  3=108,310,1=100  2=104  3=108,,,-381,173,,
11502,1,南下荆州2,曹操大军南下，荆州危矣！,11501,55,55,csv/scene/PT/1502.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,74,曹丕,1,1,3,0,9999,633,1=100  2=104  3=108,312,1=100  2=104  3=108,,,-262,30,,
11503,1,南下荆州3,曹操大军南下，荆州危矣！,11502,55,56,csv/scene/PT/1503.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,58,贾诩,2,1,3,0,9999,640,1=100  2=104  3=108,314,1=100  2=104  3=108,,,-340,-132,,
11504,1,单骑救主1,少主与夫人在乱军中失散，谁可以去救救他们,11503,56,57,csv/scene/PT/1504.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,647,1=100  2=104  3=108,316,1=100  2=104  3=108,,,-123,-111,,
11505,1,单骑救主2,少主与夫人在乱军中失散，谁可以去救救他们,11504,57,57,csv/scene/PT/1505.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,66,于禁,1,1,3,0,9999,654,1=100  2=104  3=108,318,1=100  2=104  3=108,,,59,-67,,
11506,1,单骑救主3,少主与夫人在乱军中失散，谁可以去救救他们,11505,57,58,csv/scene/PT/1506.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,16,赵云,2,1,3,0,9999,661,1=100  2=104  3=108,320,1=100  2=104  3=108,,,242,-85,,
11507,1,大闹长坂桥1,长板桥，翼德一人，力敌百万大军,11506,58,59,csv/scene/PT/1507.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,45,曹仁,1,1,3,0,9999,668,1=100  2=104  3=108,322,1=100  2=104  3=108,,,-78,80,,
11508,1,大闹长坂桥2,长板桥，翼德一人，力敌百万大军,11507,59,59,csv/scene/PT/1508.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,4,夏侯惇,1,1,3,0,9999,675,1=100  2=104  3=108,324,1=100  2=104  3=108,,,82,140,,
11509,1,大闹长坂桥3,长板桥，翼德一人，力敌百万大军,11508,59,60,csv/scene/PT/1509.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,13,曹操,1,1,3,0,9999,682,1=100  2=104  3=108,326,1=100  2=104  3=108,,,243,158,,
11510,1,败走汉津口,携民渡江，如此得人心者，唯玄德尔！,11509,60,61,csv/scene/PT/1510.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,19,刘备,1,1,3,0,9999,696,1=100  2=104  3=108,328,1=100  2=104  3=108,,,390,130,,
11601,1,舌战群儒1,且看卧龙舌战群儒,,61,62,csv/scene/PT/1601.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,704,1=100  2=104  3=108,330,1=100  2=104  3=108,,,-372,138,,
11602,1,舌战群儒2,且看卧龙舌战群儒,11601,62,62,csv/scene/PT/1602.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,712,1=100  2=104  3=108,332,1=100  2=104  3=108,,,-196,86,,
11603,1,舌战群儒3,且看卧龙舌战群儒,11602,62,63,csv/scene/PT/1603.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,720,1=100  2=104  3=108,334,1=100  2=104  3=108,,,-354,-143,,
11604,1,智激周瑜1,诸葛亮妙计激怒周瑜，大事可成,11603,63,64,csv/scene/PT/1604.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,728,1=100  2=104  3=108,336,1=100  2=104  3=108,,,-157,-124,,
11605,1,智激周瑜2,诸葛亮妙计激怒周瑜，大事可成,11604,64,64,csv/scene/PT/1605.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,736,1=100  2=104  3=108,338,1=100  2=104  3=108,,,119,-165,,
11606,1,智激周瑜3,诸葛亮妙计激怒周瑜，大事可成,11605,64,65,csv/scene/PT/1606.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,744,1=100  2=104  3=108,340,1=100  2=104  3=108,,,-5,-22,,
11607,1,群英会1,东吴群英荟萃，蒋干苦不堪言,11606,65,66,csv/scene/PT/1607.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,752,1=100  2=104  3=108,342,1=100  2=104  3=108,,,48,175,,
11608,1,群英会2,东吴群英荟萃，蒋干苦不堪言,11607,66,66,csv/scene/PT/1608.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,760,1=100  2=104  3=108,344,1=100  2=104  3=108,,,160,45,,
11609,1,群英会3,东吴群英荟萃，蒋干苦不堪言,11608,66,67,csv/scene/PT/1609.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,768,1=100  2=104  3=108,346,1=100  2=104  3=108,,,300,-165,,
11610,1,草船借箭,神鬼莫测，诸葛亮草船借箭,11609,67,68,csv/scene/PT/1610.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,786,1=100  2=104  3=108,348,1=100  2=104  3=108,,,318,150,,
11701,1,苦肉计1,东吴老臣苦肉计，能否骗过曹操,11610,68,69,csv/scene/PT/1701.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,1,张飞,1,1,3,0,9999,804,1=100  2=104  3=108,350,1=100  2=104  3=108,,,-396,-131,,
