技能ID,技能名称,技能描述,辅助描述,技能星级,可升等级,消耗,攻击次数,作用范围类型,作用对象,作用中心横坐标,作用对象职业,作用对象阵营,作用对象属性,效果阵营覆盖,阵营覆盖成长,效果职业覆盖,职业覆盖成长,二级属性临时变更,临时变更成长,攻击系数,攻击系数成长,攻击常数,攻击常数成长,中毒系数,中毒系数成长,中毒常数,中毒常数成长,持续时间,伤害次数,无视防御,催眠,催眠成长,吸血百分比,吸血成长,攻击偷取,攻击偷取成长,增加怒气消耗,增加怒气消耗成长,怒气值增加,怒气值增加成长,伤害类型,伤害效果成长,驱散debuff,技能子弹,BUFF ID,技能展示图片,技能音效,技能icon,技能卡牌资源
84,归心策,己方全体将领每回合回复%.1f%%攻击的生命值，且蜀国将领有50%%的额外回复加成，持续4回合。,1=28=0.7,,20,4,0,4,3,,,,,3=-0.42,0.0105,,,0,,0,0,,,-0.28,-0.007,,,2000,4,,0,,,,,,,,,,,,,207,1,resource/skill_info_pic/84.png,,resource/icon/skill/skill_icon.png,
85,雄略,己方全体将领提升%.1f%%的攻击，且吴国将领额外提升%.1f%%的攻击，持续5秒。,1=24=0.6 2=12=0.3,,20,3,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,207,31,resource/skill_info_pic/85.png,,resource/icon/skill/37.png,
86,蜀地卧龙,己方全体将领每回合回复%.1f%%攻击的生命值，且蜀国将领有50%%的额外回复加成，持续4回合。,1=25=0.625,,20,4,0,4,3,,,,,3=-0.38,0.0095,,,0,,0,0,,,-0.25,-0.00625,,,2000,4,,0,,,,,,,,,,,,,207,2,resource/skill_info_pic/86.png,,resource/icon/skill/skill_icon.png,
87,江东良弼,己方全体将领每回合回复%.1f%%攻击的生命值，且吴国将领有50%%的额外回复加成，持续4回合。,1=25=0.625,,20,4,0,4,3,,,,,4=-0.38,0.0095,,,0,,0,0,,,-0.25,-0.00625,,,2000,4,,0,,,,,,,,,,,,,207,3,resource/skill_info_pic/87.png,,resource/icon/skill/skill_icon.png,
88,殒身策,自身格挡提升%d，闪避降低%d，持续8秒。,1=550=13.75 2=240=6,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,518,169 175,resource/skill_info_pic/88.png,,resource/icon/skill/168.png,
89,横栏怒扫,对敌方前方武将造成%.1f%%自身损失生命值的伤害。,1=50=2.5,,20,2,0,4,1,1,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,2=50,2.5,,528,,resource/skill_info_pic/89.png,,resource/icon/skill/158.png,
90,飞矢奔袭,对敌方所有将领造成%.1f%%的伤害，且对骑兵将领造成50%%的额外伤害。,1=105=2.625,,20,4,1,4,1,,,,,,,3=1.52,0.038,0,,1.05,0.02625,,,0,0,,,0,0,,0,,,,,,,,,,,,,53,,resource/skill_info_pic/90.png,,resource/icon/skill/skill_icon.png,
91,旋风射,对敌方所有将领造成%.1f%%的伤害，且对弓兵将领造成50%%的额外伤害。,1=95=2.375,,20,4,1,4,1,,,,,,,4=1.42,0.0355,0,,0.95,0.02375,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/91.png,,resource/icon/skill/skill_icon.png,
92,猛袭箭矢,对敌方所有将领造成%.1f%%的伤害，且对军师将领造成50%%的额外伤害。,1=95=2.375,,20,4,1,4,1,,,,,,,5=1.42,0.0355,0,,0.95,0.02375,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/92.png,,resource/icon/skill/skill_icon.png,
93,黄须一怒,对前方一列敌人造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,1=192=4.8,,20,3,1,2,1,,,,,,,,,0,,1.92,0.048,,,0,0,,,0,0,,0,,,,,,,,,,,,,32,207,resource/skill_info_pic/93.png,,resource/icon/skill/skill_icon.png,
94,虎骑杀,对前方一列敌人造成%.1f%%的伤害，并机率使其缓速，持续6秒。,1=192=4.8,,20,3,1,2,1,,,,,,,,,0,,1.92,0.048,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,254,resource/skill_info_pic/94.png,,resource/icon/skill/60.png,
95,武圣附体,对前方一列敌人造成%.1f%%的伤害，并机率使其冰冻，持续3秒。,1=192=4.8,,20,3,1,2,1,,,,,,,,,0,,1.92,0.048,,,0,0,,,0,0,,0,,,,,,,,,,,,,32,234,resource/skill_info_pic/95.png,,resource/icon/skill/skill_icon.png,
96,穿云箭,对后排敌人造成%.1f%%的伤害。,1=225=5.625,,20,3,1,3,1,4,,,,,,,,0,,2.25,0.05625,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/96.png,,resource/icon/skill/skill_icon.png,
97,凌云箭,对后排敌人造成%.1f%%的伤害。,1=225=5.625,,20,3,1,3,1,4,,,,,,,,0,,2.25,0.05625,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/97.png,,resource/icon/skill/skill_icon.png,
98,翼羽箭,对后排敌人造成%.1f%%的伤害，且对敌人防御弱化12%%，持续3秒。,1=210=5.25,,20,3,1,3,1,4,,,,,,,,0,,2.1,0.0525,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,145,resource/skill_info_pic/98.png,,resource/icon/skill/skill_icon.png,
99,凉州威骑,对前方一列敌人在成%.1f%%的伤害。,1=200=5,,20,3,1,2,1,,,,,,,,,0,,2,0.05,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,108,resource/skill_info_pic/99.png,,resource/icon/skill/skill_icon.png,
100,绝代风华,对前方一列敌人在成%.1f%%的伤害，且对敌人攻击弱化5%%，持续3秒。,1=188=4.7,,20,3,1,2,1,,,,,,,,,0,,1.88,0.047,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/100.png,,resource/icon/skill/skill_icon.png,
101,流星矢,对后排敌人造成%.1f%%的伤害，且附带100的命中。,1=220=5.5,,20,3,1,3,1,4,,,,,,,,1=100,,2.2,0.055,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/101.png,,resource/icon/skill/skill_icon.png,
102,疾风矢,对前排敌人造成%.1f%%的伤害，且附带120的破击。,1=220=5.5,,20,3,1,3,1,1,,,,,,,,2=120,,2.2,0.055,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/102.png,,resource/icon/skill/skill_icon.png,
103,江东铁骑,对前方一列敌人造成%.1f%%的伤害，且附带120的暴击。,1=195=4.875,,20,3,1,2,1,,,,,,,,,3=120,,1.95,0.04875,,,0,0,,,0,0,,0,,,,,,,,,,,,,32,,resource/skill_info_pic/103.png,,resource/icon/skill/skill_icon.png,
104,北海之谋,对全体敌方武将造成%.1f%%的伤害，但易被格挡。,1=128=3.2,,20,4,1,4,1,,,,,,,,,2=-333,,1.28,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,,resource/skill_info_pic/104.png,,resource/icon/skill/skill_icon.png,
105,狂士风骨,对敌方攻击力最高武将造成每回合%.1f%%攻击的伤害（无视防御），持续4回合，且对其攻击弱化8%%，持续3秒.,1=52-1.3,,20,2,0,4,1,,,,1,,,,,0,,0,0,,,0.52,0.013,,,4000,4,,0,,,,,,,,,,,,,57,84 110,resource/skill_info_pic/105.png,,resource/icon/skill/skill_icon.png,
106,妇人之毒,对敌方攻击力最高武将造成每回合%.1f%%攻击的伤害（无视防御），持续4回合，且对其攻击弱化12%%，持续3秒.,1=50=1.25,,20,2,0,4,1,,,,1,,,,,0,,0,0,,,0.5,0.0125,,,4000,4,,0,,,,,,,,,,,,,275,85 111,resource/skill_info_pic/106.png,,resource/icon/skill/skill_icon.png,
107,河间铁蹄,对最后方敌方单体目标造成%.1f%%的伤害。,1=278=6.95,,20,2,1,4,1,4,,,,,,,,0,,2.78,0.0695,,,0,0,,,0,0,,0,,,,,,,,,,,,,123,,resource/skill_info_pic/107.png,,resource/icon/skill/skill_icon.png,
108,飒踏击,对敌方生命值最低的目标造成%.1f%%的伤害。,1=282=7.05,,20,2,1,4,1,,,,2,,,,,0,,2.82,0.0705,,,0,0,,,0,0,,0,,,,,,,,,,,,,266,,resource/skill_info_pic/108.png,,resource/icon/skill/skill_icon.png,
109,引爆,引爆后方敌人，对敌方后2排武将造成%.1f%%的爆炸伤害。,1=138=3.45,,20,3,1,6,1,4,,,,,,,,0,,1.38,0.0345,,,0,0,,,0,0,,0,,,,,,,,,,,,,544,,resource/skill_info_pic/109.png,,resource/icon/skill/128.png,
110,截击,对敌方攻击力最高武将造成%.1f%%的伤害，且对其攻击弱化12%%，持续3秒.,1=258=6.45,,20,2,1,4,1,,,,1,,,,,0,,2.58,0.0645,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,112,resource/skill_info_pic/110.png,,resource/icon/skill/56.png,
111,武圣义子,对前2排敌方将领造成%.1f%%基本攻击。,1=132=3.3,,20,3,0,5,1,1,,,,,,,,0,,1.32,0.033,,,0,0,,,0,0,,0,,,,,,,,,,,,,108,,resource/skill_info_pic/111.png,,resource/icon/skill/skill_icon.png,
112,白耳骑行,己方全体将领提升%.1f%%的攻击，且骑兵将领额外提升%.1f%%的攻击，持续5秒。,1=16=0.4 2=10=0.25,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,207,33,resource/skill_info_pic/112.png,,resource/icon/skill/skill_icon.png,
113,万箭齐发,指挥盟军中的弓箭手对全体敌方武将造成%.1f%%的伤害，连续3轮。,1=40=1,,20,4,3,4,1,,,,,,,,,0,,0.4,0.01,,,0,0,,,0,0,,0,,,,,,,,,,,,,554,,resource/skill_info_pic/113.png,,resource/icon/skill/165.png,
114,江东妙谋,己方全体将领提升%.1f%%的攻击，且吴国将领额外提升%.1f%%的攻击，持续5秒。,1=18=0.45 2=8=0.2,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,207,35,resource/skill_info_pic/114.png,,resource/icon/skill/skill_icon.png,
115,魏武中庭,己方全体将领提升%.1f%%的攻击，且魏国将领额外提升%.1f%%的攻击，持续5秒。,1=18=0.45 2=8=0.2,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,207,36,resource/skill_info_pic/115.png,,resource/icon/skill/skill_icon.png,
116,卧龙之女,己方生命值最低将领每回合回复%.1f%%攻击力的生命，持续4回合。,1=41=1.025,,20,2,0,4,3,,,,2,,,,,0,,0,0,,,-0.41,-0.01025,,,2000,4,,0,,,,,,,,,,,,,144,4,resource/skill_info_pic/116.png,,resource/icon/skill/90.png,
117,白眉最良,己方全体将领提升%.1f%%的防御，且步兵将领额外提升%.1f%%的防御，持续6秒。,1=28=0.7 2=12=0.3,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,208,60,resource/skill_info_pic/117.png,,resource/icon/skill/skill_icon.png,
118,幼长谋略,对敌方所有将领造成%.1f%%的伤害，但命中较低。,1=124=3.1,,20,4,1,4,1,,,903.69,,,,,,1=-333,,1.24,0.031,,,0,0,,,0,0,,0,,,,,,,,,,,,,116,,resource/skill_info_pic/118.png,,resource/icon/skill/skill_icon.png,
119,荆襄女主,己方全体将领提升%.1f%%的防御，且群雄将领额外提升%.1f%%的防御，持续6秒。,1=28=0.7 2=12=0.3,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,208,62,resource/skill_info_pic/119.png,,resource/icon/skill/skill_icon.png,
120,扶倾汉庭,己方全体将领提升%d的闪避，且提升%d的抵抗，持续6秒。,1=150=3.75 2=6.25,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,208,170 198,resource/skill_info_pic/120.png,,resource/icon/skill/skill_icon.png,
121,百战策,己方全体将领提升%.1f%%的防御，且魏国将领额外提升%.1f%%的防御，持续6秒。,1=28=0.7 2=12=0.3,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,208,63,resource/skill_info_pic/121.png,,resource/icon/skill/skill_icon.png,
122,飞羽策,己方全体将领提升%.1f%%的攻击速度，持续6秒。,1=20=1,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,208,285,resource/skill_info_pic/122.png,,resource/icon/skill/skill_icon.png,
123,荆州叛将,己方攻击最高将领提升攻击%.1f%%，持续6秒。,1=36=0.9,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,37,resource/skill_info_pic/123.png,,resource/icon/skill/skill_icon.png,
124,昭烈帝后,己方防御最高将领提升格挡%d，持续8秒。,1=350=8.75,,20,2,0,4,3,,,,3,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,176,resource/skill_info_pic/124.png,,resource/icon/skill/skill_icon.png,
125,策士诀,己方攻击最高将领提升暴击%d，持续6秒。,1=420=10.5,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,185,resource/skill_info_pic/125.png,,resource/icon/skill/skill_icon.png,
126,神武冰心,己方攻击最高将领提升命中%d，持续8秒。,1=350=8.75,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,162,resource/skill_info_pic/126.png,,resource/icon/skill/skill_icon.png,
127,护军,己方防御最高将领提升防御%.1f%%，持续8秒。,1=55=1.375,,20,2,0,4,3,,,,3,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,65,resource/skill_info_pic/127.png,,resource/icon/skill/skill_icon.png,
128,炽炎气,自身攻击提升%.1f%%，持续8秒。,1=25=0.625,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,38,resource/skill_info_pic/128.png,,resource/icon/skill/skill_icon.png,
129,武圣护卫,对前排敌人造成%.1f%%的伤害。,1=225=5.625,,20,3,1,3,1,1,,,,,,,,0,,2.25,0.05625,,,0,0,,,0,0,,0,,,,,,,,,,,,,166,,resource/skill_info_pic/129.png,,resource/icon/skill/129.png,
130,护主死战,自身暴击提升%d，持续8秒。,1=420=10.5,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,186,resource/skill_info_pic/130.png,,resource/icon/skill/skill_icon.png,
131,同仕魏吴,自身闪避提升%d，持续8秒。,1=270=6.75,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,171,resource/skill_info_pic/131.png,,resource/icon/skill/skill_icon.png,
132,吴军虎贲,自身破击提升%d，持续8秒。,1=350=8.75,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,180,resource/skill_info_pic/132.png,,resource/icon/skill/skill_icon.png,
133,掌典禁卫,自身格挡提升%d，持续8秒。,1=320=8,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,177,resource/skill_info_pic/133.png,,resource/icon/skill/skill_icon.png,
134,钢铁步卒,对前排敌人造成%.1f%%的伤害。,1=222=5.55,,20,3,1,3,1,1,,,,,,,,0,,2.22,0.0555,,,0,0,,,0,0,,0,,,,,,,,,,,,,54,,resource/skill_info_pic/134.png,,resource/icon/skill/skill_icon.png,
135,铁血奔流,对全体敌人造成%.1f%%的伤害。,1=96=2.4,,20,4,1,4,1,,,,,,,,,0,,0.96,0.024,,,0,0,,,0,0,,0,,,,,,,,,,,,,53,,resource/skill_info_pic/135.png,,resource/icon/skill/3.png,
136,黑山洪流,自身暴击提升%d，爆伤提升%.1f%%，持续8秒。,1=330=8.25 2=33=0.825,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,187 193,resource/skill_info_pic/136.png,,resource/icon/skill/skill_icon.png,
137,真元气,自身命中提升%d，持续8秒。,1=450=11.25,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,163,resource/skill_info_pic/137.png,,resource/icon/skill/skill_icon.png,
138,强骑策,自身攻击提升%.1f%%，持续8秒。,1=40=1,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,39,resource/skill_info_pic/138.png,,resource/icon/skill/skill_icon.png,
139,御敌策,自身防御提升%.1f%%，持续8秒。,1=64=1.6,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,66,resource/skill_info_pic/139.png,,resource/icon/skill/skill_icon.png,
140,一字元龙,自身攻击提升%.1f%%，持续8秒。,1=40=1,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,40,resource/skill_info_pic/140.png,,resource/icon/skill/skill_icon.png,
141,宛城悲歌,自身每回合回%.1f%%攻击的生命，持续4回合。,1=72=1.8,,20,2,0,1,2,,,,,,,,,0,,0,0,,,-0.72,-0.018,,,2000,4,,0,,,,,,,,,,,,,302,5,resource/skill_info_pic/141.png,,resource/icon/skill/skill_icon.png,
142,坚壁诀,自身防御提升%.1f%%，持续8秒。,1=64=1.6,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,67,resource/skill_info_pic/142.png,,resource/icon/skill/skill_icon.png,
143,龙鸣诀,对前排敌人造成%.1f%%的伤害。,1=236=5.9,,20,3,1,3,1,1,,,,,,,,0,,2.36,0.059,,,0,0,,,0,0,,0,,,,,,,,,,,,,194,,resource/skill_info_pic/143.png,,resource/icon/skill/skill_icon.png,
144,枭骑兵,对前排敌方武将造成%.1f%%的伤害，且机率使其流血，持续8秒。,1=225=5.625,,20,3,1,3,1,1,,,,,,,,0,,2.25,0.05625,,,0.05,0.00125,,,8000,8,,0,,,,,,,,,,,,,546,1096,resource/skill_info_pic/144.png,,resource/icon/skill/114.png,
145,猛袭策,对前排敌人造成%.1f%%的伤害。,1=232=5.8 ,,20,3,1,3,1,1,,,,,,,,0,,2.32,0.058,,,0,0,,,0,0,,0,,,,,,,,,,,,,194,,resource/skill_info_pic/145.png,,resource/icon/skill/skill_icon.png,
146,西凉枭骑,自身每回合回复%.1f%%攻击的生命，持续4回合，且提升12%%的攻击，持续3秒。,1=50=1.25,,20,2,0,1,2,,,,,,,,,0,,0,0,,,-0.65,-0.01625,,,2000,4,,0,,,,,,,,,,,,,302,6 42,resource/skill_info_pic/146.png,,resource/icon/skill/114.png,
147,狼烟诀,自身攻击提升%.1f%%，持续8秒。,1=40=1 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,43,resource/skill_info_pic/147.png,,resource/icon/skill/skill_icon.png,
148,西蜀后相,自身防御提升%.1f%%，持续8秒。,1=64=1.6 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,69,resource/skill_info_pic/148.png,,resource/icon/skill/skill_icon.png,
149,巴中称王,自身爆伤提升%d，持续8秒。,1=60=3 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,1196,resource/skill_info_pic/149.png,,resource/icon/skill/skill_icon.png,
150,魏之智囊,对敌方所有将领攻击弱化%.1f%%，且额外对敌方步兵将领攻击弱化%.1f%%，持续6秒。,1=20=0.5 2=8=0.2,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,109,113,resource/skill_info_pic/150.png,,resource/icon/skill/skill_icon.png,
151,子远送谋,对敌方所有将领攻击弱化%.1f%%，且额外对敌方骑兵将领攻击弱化%.1f%%，持续6秒。,1=20=0.5 2=8=0.2,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,109,114,resource/skill_info_pic/151.png,,resource/icon/skill/skill_icon.png,
152,卸甲策,对敌方所有将领攻击弱化%.1f%%，且额外对敌方弓兵将领攻击弱化%.1f%%，持续6秒。,1=20=0.5 2=8=0.2,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,109,115,resource/skill_info_pic/152.png,,resource/icon/skill/skill_icon.png,
153,凋零策,对敌方所有将领攻击弱化%.1f%%，且额外对敌方军师将领攻击弱化%.1f%%，持续6秒。,1=20=0.5 2=8=0.2,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,121,116,resource/skill_info_pic/153.png,,resource/icon/skill/skill_icon.png,
154,子龙良弼,对前方一列敌人攻击弱化%.1f%%，持续6秒。,1=32=0.8 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,276,117,resource/skill_info_pic/154.png,,resource/icon/skill/skill_icon.png,
155,烽火灭,对前方一列敌人攻击弱化%.1f%%，持续6秒。,1=32=0.8 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,276,118,resource/skill_info_pic/155.png,,resource/icon/skill/skill_icon.png,
156,白银子弟,对前方一列敌人造成%.1f%%的伤害。,1=202=5.05 ,,20,3,1,2,1,,,,,,,,,0,,2.02,0.0505,,,0,0,,,0,0,,0,,,,,,,,,,,,,32,,resource/skill_info_pic/156.png,,resource/icon/skill/skill_icon.png,
157,残阳策,对前方一列敌人防御弱化%.1f%%，持续6秒。,1=48=1.2 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,276,146,resource/skill_info_pic/157.png,,resource/icon/skill/skill_icon.png,
158,狂霸气息,对前方一列敌人防御弱化%.1f%%，持续6秒。,1=48=1.2 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,147,resource/skill_info_pic/158.png,,resource/icon/skill/skill_icon.png,
159,奇袭突进,对前方一列敌人攻击弱化%.1f%%，防御弱化%.1f%%，持续6秒。,1=24=0.6 2=24=0.6,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,119 148,resource/skill_info_pic/159.png,,resource/icon/skill/skill_icon.png,
160,乐不思蜀,对前方一列敌人攻击弱化%.1f%%，防御弱化%.1f%%，持续6秒。,1=16=0.4 2=24=0.6,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,120 149,resource/skill_info_pic/160.png,,resource/icon/skill/skill_icon.png,
161,追风矢,对前方一列敌人造成%.1f%%的伤害，且对其攻击弱化4%%，持续3秒。,1=196=4.9,,20,3,1,2,1,,,,,,,,,0,,1.96,0.049,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,121,resource/skill_info_pic/161.png,,resource/icon/skill/skill_icon.png,
162,浮靡气息,对敌方攻击力最高将领攻击弱化%.1f%%，持续6秒。,1=36=0.9 ,,20,2,0,4,1,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,143,122,resource/skill_info_pic/162.png,,resource/icon/skill/134.png,
163,蚀心策,对敌方攻击力最高武将造成%.1f%%的伤害，且对其攻击弱化4%%，持续3秒。,1=239=5.975,,20,2,1,4,1,,,,1,,,,,0,,2.39,0.05975,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,123,resource/skill_info_pic/163.png,,resource/icon/skill/skill_icon.png,
164,强魏之计,己方全体将领每回合回复%.1f%%攻击的生命，且魏国将领有50%%的额外回复加成，持续4回合。,1=24=0.6 ,,20,4,0,4,3,,,,,1=-0.36,-0.009,,,0,,0,0,,,-0.24,-0.006,,,2000,4,,0,,,,,,,,,,,,,304,7,resource/skill_info_pic/164.png,,resource/icon/skill/skill_icon.png,
165,相府长史,己方全体将领每回合回复%.1f%%攻击的生命，且蜀国将领有50%%的额外回复加成，持续4回合。,1=24=0.6 ,,20,4,0,4,3,,,,,2=-0.36,-0.009,,,0,,0,0,,,-0.24,-0.006,,,2000,4,,0,,,,,,,,,,,,,304,8,resource/skill_info_pic/165.png,,resource/icon/skill/skill_icon.png,
166,天降甘霖,己方全体将领每回合回复%.1f%%攻击的生命，且群雄将领有50%%的额外回复加成，持续4回合。,1=24=0.6 ,,20,4,0,4,3,,,,,4=-0.36,-0.009,,,0,,0,0,,,-0.24,-0.006,,,2000,4,,0,,,,,,,,,,,,,304,9,resource/skill_info_pic/166.png,,resource/icon/skill/skill_icon.png,
167,江东相国,己方全体将领每回合回复%.1f%%攻击的生命，且吴国将领有50%%的额外回复加成，持续4回合。,1=24=0.6 ,,20,4,0,4,3,,,,,3=-0.36,-0.009,,,0,,0,0,,,-0.24,-0.006,,,2000,4,,0,,,,,,,,,,,,,304,10,resource/skill_info_pic/167.png,,resource/icon/skill/skill_icon.png,
168,酒池肉林,将自身沉浸于酒池肉林之中，抵消%d的自身所受伤害，且自身回复一定的血量。,1=2000=200,,20,3,0,1,2,,,,,,,,,0,,0,0,,,-0.05,-0.00125,-2,-1,3200,8,,0,,,,,,,,,,,,,548,302 1016,resource/skill_info_pic/168.png,,resource/icon/skill/133.png,
169,老将归心,自身立即回复%.1f%%攻击的生命。,1=220=5.5 ,,20,2,0,1,2,,,,,,,,,0,,-2.2,-0.055,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,,resource/skill_info_pic/169.png,,resource/icon/skill/skill_icon.png,
170,藤甲秘术,己方全体将领防御提升%.1f%%，持续6秒。,1=30=0.75 ,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,70,resource/skill_info_pic/170.png,,resource/icon/skill/skill_icon.png,
171,虎踞雄兵,"自身命中提升%d，破击提升%d,持续8秒。",1=160=4 2=180=4.5,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,164 182,resource/skill_info_pic/171.png,,resource/icon/skill/skill_icon.png,
172,白马义从,召唤白马义从对全体敌方将领造成%.1f%%的伤害，且对步兵将领额外造成50%%的伤害。,1=95=2.38,,20,4,1,4,1,,,,,,,1=1.32,0.033,0,,0.95,0.02375,,,0,0,,,0,0,,0,,,,,,,,,,,,,552,,resource/skill_info_pic/172.png,,resource/icon/skill/4.png,
173,魏王之女,自身爆伤提升%.1f%%。,1=100=2.5 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,194,resource/skill_info_pic/173.png,,resource/icon/skill/skill_icon.png,
174,落笔成兵,对敌方所有将领造成%.1f%%的伤害，且对步兵将领造成50%%的额外伤害。,1=90=2.25 ,,20,4,1,4,1,,,,,,,1=1.35,0.03375,0,,0.9,0.0225,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/174.png,,resource/icon/skill/skill_icon.png,
175,劫骑箭,对敌方所有将领造成%.1f%%的伤害，且对骑兵将领造成50%%的额外伤害。,1=90=2.25 ,,20,4,1,4,1,,,,,,,3=1.35,0.03375,0,,0.9,0.0225,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/175.png,,resource/icon/skill/skill_icon.png,
176,灭弓矢,对敌方所有将领造成%.1f%%的伤害，且对弓兵将领造成50%%的额外伤害。,1=90=2.25 ,,20,4,1,4,1,,,,,,,4=1.35,0.03375,0,,0.9,0.0225,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/176.png,,resource/icon/skill/skill_icon.png,
